,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Memphis Depay,11.0,nl NED,FW,24-312,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,29.0,75.9,3.0,36.0,4.0,3.0,3.0,292.0,120.0,15.0,15.0,100.0,4.0,7.0,57.1,2.0,6.0,33.3,1.0,3.0,1.0,0.0,24.0,5.0,2.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,19.0,3.0,7.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,15.0,3.0,35.0,100.0,3.0,0.0,116.0,79.0,1.0,1.0,4.0,3.0,49.0,32.0,65.3,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1,Moussa Dembélé,9.0,fr FRA,FW,22-163,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,7.0,10.0,70.0,0.0,13.0,0.0,0.0,0.0,77.0,0.0,6.0,7.0,85.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,15.0,0.0,0.0,0.0,47.0,13.0,0.0,0.0,4.0,0.0,22.0,15.0,68.2,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
2,Bertrand Traoré,10.0,bf BFA,FW,23-107,86.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,9.0,1.0,1.0,2.0,0.1,0.1,0.0,2.0,1.0,19.0,27.0,70.4,2.0,33.0,2.0,2.0,3.0,252.0,72.0,7.0,11.0,63.6,9.0,10.0,90.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,3.0,4.0,24.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.4,2.0,7.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,18.0,17.0,2.0,39.0,66.7,2.0,0.0,130.0,32.0,0.0,0.0,1.0,0.0,45.0,33.0,73.3,13.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,33.3
3,Martin Terrier,7.0,fr FRA,FW,21-293,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,0.0,48.0,16.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,Nabil Fekir,18.0,fr FRA,AM,25-157,90.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,48.0,36.0,2.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,32.0,38.0,84.2,1.0,40.0,6.0,3.0,3.0,447.0,64.0,19.0,22.0,86.4,10.0,12.0,83.3,1.0,1.0,100.0,0.0,3.0,0.0,0.0,36.0,2.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,2.0,5.0,31.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,16.7,3.0,23.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,33.0,13.0,5.0,46.0,100.0,3.0,0.0,228.0,150.0,2.0,3.0,3.0,1.0,51.0,32.0,62.7,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,6.0,14.3
5,Houssem Aouar,8.0,fr FRA,DM,20-175,87.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,52.0,18.0,2.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,30.0,43.0,69.8,4.0,45.0,1.0,3.0,4.0,486.0,96.0,18.0,23.0,78.3,8.0,10.0,80.0,3.0,6.0,50.0,1.0,1.0,1.0,0.0,43.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,29.0,8.0,6.0,7.0,31.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,7.0,38.9,7.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,36.0,15.0,3.0,52.0,75.0,3.0,0.0,154.0,55.0,0.0,0.0,4.0,1.0,49.0,38.0,77.6,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
6,Pape Cheikh Diop,24.0,sn SEN,DM,21-136,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,13.0,12.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,Lucas Tousart,29.0,fr FRA,DM,21-237,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,23.0,3.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,27.0,34.0,79.4,2.0,25.0,0.0,0.0,0.0,420.0,115.0,13.0,15.0,86.7,10.0,13.0,76.9,3.0,4.0,75.0,2.0,1.0,1.0,0.0,34.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,4.0,6.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,4.0,50.0,2.0,9.0,39.1,3.0,18.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,5.0,11.0,25.0,8.0,0.0,44.0,0.0,0.0,0.0,88.0,32.0,0.0,0.0,1.0,0.0,19.0,17.0,89.5,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,100.0
8,Ferland Mendy,22.0,fr FRA,WB,23-197,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,51.0,76.5,6.0,54.0,6.0,6.0,8.0,661.0,234.0,21.0,27.0,77.8,14.0,16.0,87.5,4.0,5.0,80.0,0.0,4.0,0.0,0.0,41.0,10.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,30.0,16.0,5.0,31.0,9.0,0.0,9.0,0.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,14.3,5.0,6.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,11.0,32.0,28.0,0.0,58.0,75.0,8.0,0.0,159.0,77.0,1.0,0.0,2.0,4.0,48.0,42.0,87.5,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,50.0
9,Kenny Tete,23.0,nl NED,WB,23-074,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,14.0,3.0,0.0,2.0,0.1,0.1,0.2,2.0,1.0,31.0,45.0,68.9,6.0,36.0,0.0,0.0,0.0,593.0,257.0,12.0,15.0,80.0,15.0,21.0,71.4,4.0,8.0,50.0,1.0,3.0,2.0,0.0,40.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,9.0,12.0,3.0,36.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,35.7,4.0,9.0,1.0,0.0,0.0,2.0,3.0,4.0,0.0,1.0,17.0,34.0,11.0,3.0,56.0,0.0,0.0,0.0,121.0,56.0,0.0,0.0,1.0,0.0,34.0,25.0,73.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,50.0
