,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Glenn Murray,17.0,eng ENG,FW,35-025,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,33.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,Jürgen Locadia,9.0,nl NED,FW,24-347,75.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,28.0,20.0,0.0,1.0,0.0,0.0,0.0,0.4,3.0,0.0,9.0,16.0,56.3,1.0,19.0,1.0,1.0,1.0,183.0,55.0,6.0,11.0,54.5,1.0,1.0,100.0,2.0,2.0,100.0,2.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,1.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,20.0,1.0,9.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,18.0,4.0,28.0,100.0,1.0,0.0,36.0,13.0,0.0,0.0,7.0,0.0,45.0,21.0,46.7,7.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,12.5
2,Solly March,20.0,eng ENG,"AM,LM",24-092,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,22.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,24.0,54.2,1.0,27.0,4.0,2.0,3.0,214.0,28.0,6.0,11.0,54.5,4.0,4.0,100.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,4.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,40.9,6.0,7.0,9.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,8.0,15.0,17.0,1.0,39.0,66.7,2.0,0.0,127.0,59.0,0.0,0.0,2.0,1.0,37.0,21.0,56.8,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,5.0,28.6
3,José Izquierdo,19.0,co COL,LM,26-105,79.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,15.0,0.0,0.0,2.0,0.1,0.1,0.0,1.0,1.0,13.0,15.0,86.7,1.0,23.0,4.0,4.0,4.0,183.0,49.0,7.0,7.0,100.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,20.0,6.0,3.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,7.0,15.0,4.0,26.0,100.0,4.0,0.0,153.0,79.0,1.0,1.0,1.0,3.0,24.0,19.0,79.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
4,Yves Bissouma,8.0,ml MLI,AM,22-051,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,1.0,0.0,0.3,0.3,0.0,1.0,0.0,5.0,6.0,83.3,0.0,6.0,3.0,2.0,2.0,71.0,27.0,3.0,3.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,7.0,100.0,2.0,0.0,74.0,50.0,1.0,1.0,0.0,0.0,6.0,6.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Beram Kayal,7.0,il ISR,CM,30-171,90.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,29.0,27.0,4.0,0.0,3.0,0.4,0.4,0.0,0.0,0.0,13.0,17.0,76.5,3.0,14.0,0.0,1.0,1.0,205.0,44.0,6.0,8.0,75.0,7.0,8.0,87.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,1.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,6.0,33.3,4.0,7.0,25.9,13.0,13.0,1.0,1.0,0.0,2.0,4.0,3.0,0.0,3.0,9.0,14.0,7.0,2.0,28.0,100.0,1.0,0.0,69.0,41.0,0.0,0.0,2.0,0.0,12.0,9.0,75.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,50.0
6,Dale Stephens,6.0,eng ENG,CM,29-130,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,22.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,35.0,62.9,3.0,16.0,0.0,0.0,0.0,453.0,159.0,10.0,14.0,71.4,8.0,10.0,80.0,4.0,10.0,40.0,0.0,4.0,1.0,0.0,34.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,15.0,2.0,28.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,5.0,2.0,4.0,0.0,2.0,6.0,33.3,4.0,9.0,40.9,11.0,9.0,2.0,2.0,0.0,0.0,7.0,2.0,0.0,3.0,12.0,29.0,6.0,1.0,46.0,0.0,0.0,0.0,53.0,20.0,0.0,0.0,0.0,0.0,19.0,18.0,94.7,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,14.0,3.0,1.0,75.0
7,Alireza Jahanbakhsh,16.0,ir IRN,RM,25-070,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.0,15.0,3.0,2.0,2.0,0.1,0.1,0.0,3.0,0.0,15.0,24.0,62.5,2.0,17.0,3.0,0.0,0.0,266.0,100.0,5.0,6.0,83.3,3.0,5.0,60.0,3.0,8.0,37.5,0.0,1.0,0.0,0.0,19.0,5.0,3.0,0.0,6.0,5.0,3.0,2.0,0.0,1.0,1.0,13.0,1.0,10.0,1.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,50.0,1.0,6.0,40.0,8.0,4.0,3.0,0.0,0.0,2.0,5.0,1.0,0.0,3.0,10.0,11.0,18.0,3.0,33.0,0.0,0.0,0.0,125.0,70.0,0.0,1.0,2.0,1.0,20.0,14.0,70.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,50.0
8,Gaëtan Bong,3.0,cm CMR,LB,30-178,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,10.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,38.0,63.2,2.0,17.0,2.0,0.0,3.0,386.0,284.0,10.0,12.0,83.3,11.0,17.0,64.7,2.0,8.0,25.0,0.0,4.0,1.0,0.0,20.0,18.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,14.0,12.0,15.0,5.0,1.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,4.0,2.0,3.0,2.0,6.0,19.0,18.0,16.0,0.0,34.0,0.0,0.0,1.0,62.0,31.0,0.0,0.0,0.0,1.0,21.0,18.0,85.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
9,Lewis Dunk,5.0,eng ENG,CB,26-333,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,68.8,0.0,7.0,0.0,0.0,0.0,293.0,11.0,2.0,2.0,100.0,3.0,4.0,75.0,6.0,9.0,66.7,0.0,1.0,0.0,0.0,13.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,11.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,4.0,25.0,3.0,3.0,30.0,9.0,0.0,1.0,2.0,0.0,0.0,5.0,18.0,0.0,19.0,33.0,10.0,0.0,0.0,39.0,0.0,0.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,70.0
10,Shane Duffy,4.0,ie IRL,CB,26-292,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,1.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,15.0,24.0,62.5,1.0,10.0,0.0,0.0,0.0,245.0,68.0,5.0,6.0,83.3,8.0,10.0,80.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,22.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,7.0,2.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,22.0,0.0,22.0,41.0,8.0,2.0,2.0,48.0,0.0,0.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,85.7
11,Bruno,2.0,es ESP,RB,38-019,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,61.9,3.0,14.0,1.0,0.0,0.0,247.0,165.0,5.0,5.0,100.0,5.0,5.0,100.0,3.0,9.0,33.3,0.0,1.0,0.0,0.0,18.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,7.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,40.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,15.0,8.0,5.0,0.0,26.0,0.0,0.0,0.0,43.0,7.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,25.0
12,Bernardo,30.0,br BRA,RB,23-159,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,50.0,1.0,4.0,0.0,0.0,0.0,90.0,23.0,0.0,0.0,0.0,4.0,7.0,57.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,7.0,4.0,1.0,0.0,8.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,Mathew Ryan,1.0,au AUS,GK,26-195,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,35.0,37.1,0.0,10.0,0.0,0.0,0.0,659.0,477.0,0.0,0.0,0.0,3.0,3.0,100.0,10.0,32.0,31.3,0.0,1.0,0.0,0.0,16.0,19.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,31.0,1.0,28.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,40.0,1.0,0.0,0.0,22.0,0.0,0.0,0.0,90.0,63.0,0.0,0.0,0.0,0.0,9.0,8.0,88.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
