,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Umut Bozok,19.0,tr TUR,FW,22-052,44.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,10.0,0.0,1.0,3.0,58.0,8.0,2.0,2.0,100.0,0.0,1.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,55.6,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,1.0,11.0,33.3,1.0,0.0,16.0,5.0,0.0,0.0,0.0,2.0,16.0,10.0,62.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,Hervé Lybohy,27.0,ne NIG,CB,35-109,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,19.0,1.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,5.0,9.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
2,Baptiste Guillaume,25.0,be BEL,FW,23-147,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,66.7,1.0,10.0,0.0,0.0,1.0,111.0,37.0,5.0,7.0,71.4,3.0,5.0,60.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,37.5,2.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,6.0,7.0,2.0,16.0,0.0,0.0,0.0,44.0,9.0,0.0,0.0,1.0,0.0,19.0,8.0,42.1,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0
3,Gaëtan Paquiez,15.0,fr FRA,LB,24-268,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,58.8,1.0,11.0,0.0,0.0,1.0,138.0,78.0,6.0,9.0,66.7,4.0,5.0,80.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,10.0,7.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,5.0,3.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,5.0,40.0,3.0,5.0,62.5,6.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,5.0,14.0,5.0,5.0,0.0,17.0,0.0,1.0,0.0,25.0,5.0,0.0,0.0,0.0,1.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
4,Denis Bouanga,10.0,ga GAB,LM,23-364,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,21.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,12.0,17.0,70.6,2.0,33.0,5.0,4.0,11.0,141.0,82.0,7.0,8.0,87.5,2.0,4.0,50.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,2.0,12.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,50.0,2.0,9.0,42.9,10.0,6.0,5.0,0.0,0.0,2.0,2.0,3.0,0.0,3.0,12.0,15.0,20.0,4.0,40.0,36.4,5.0,0.0,138.0,103.0,2.0,1.0,5.0,2.0,37.0,25.0,67.6,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
5,Sada Thioub,22.0,sn SEN,RM,23-162,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,16.0,20.0,80.0,1.0,27.0,2.0,2.0,3.0,286.0,57.0,8.0,9.0,88.9,5.0,8.0,62.5,3.0,3.0,100.0,0.0,1.0,0.0,0.0,19.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,2.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,66.7,1.0,3.0,23.1,6.0,2.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,13.0,19.0,2.0,31.0,66.7,2.0,0.0,96.0,41.0,1.0,1.0,4.0,3.0,43.0,23.0,53.5,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0
6,Rachid Alioui,7.0,ma MAR,RM,26-145,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,80.0,0.0,8.0,0.0,0.0,0.0,48.0,2.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,1.0,8.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,1.0,1.0,9.0,6.0,66.7,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
7,Theo Valls,18.0,fr FRA,DM,22-327,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0,13.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,32.0,43.0,74.4,2.0,36.0,2.0,2.0,2.0,495.0,115.0,19.0,22.0,86.4,12.0,14.0,85.7,1.0,6.0,16.7,1.0,1.0,0.0,0.0,36.0,7.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,8.0,11.0,32.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,66.7,1.0,5.0,38.5,10.0,1.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,18.0,16.0,16.0,0.0,42.0,100.0,2.0,0.0,153.0,78.0,0.0,0.0,0.0,0.0,32.0,25.0,78.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
8,Téji Savanier,11.0,fr FRA,DM,26-323,90.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,65.0,29.0,3.0,0.0,1.0,0.1,0.1,0.0,4.0,0.0,29.0,51.0,56.9,4.0,54.0,6.0,6.0,7.0,871.0,342.0,8.0,18.0,44.4,10.0,13.0,76.9,11.0,18.0,61.1,2.0,11.0,0.0,0.0,43.0,8.0,4.0,0.0,15.0,7.0,0.0,4.0,0.0,0.0,0.0,21.0,12.0,18.0,4.0,44.0,1.0,0.0,1.0,0.0,4.0,1.0,6.0,3.0,0.0,2.0,1.0,2.0,5.0,40.0,3.0,7.0,24.1,11.0,15.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,16.0,37.0,16.0,0.0,57.0,85.7,6.0,0.0,267.0,144.0,2.0,0.0,1.0,1.0,36.0,33.0,91.7,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,50.0
9,Faitout Maouassa,12.0,fr FRA,"FW,LB",20-127,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,10.0,60.0,0.0,10.0,2.0,2.0,2.0,126.0,38.0,2.0,3.0,66.7,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,1.0,1.0,7.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,0.0,8.0,100.0,2.0,0.0,63.0,24.0,0.0,0.0,1.0,0.0,7.0,7.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
