,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Fabio Ceravolo,9.0,it ITA,FW,32-032,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,71.4,3.0,17.0,0.0,1.0,2.0,147.0,54.0,5.0,7.0,71.4,1.0,1.0,100.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,15.0,9.0,3.0,26.0,50.0,2.0,1.0,83.0,34.0,0.0,0.0,6.0,2.0,28.0,18.0,64.3,7.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
1,Luca Siligardi,26.0,it ITA,FW,31-070,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,33.3,0.0,6.0,1.0,1.0,1.0,24.0,0.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,9.0,100.0,1.0,0.0,27.0,21.0,1.0,0.0,2.0,0.0,8.0,7.0,87.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,25.0
2,Mattia Sprocati,93.0,it ITA,AM,25-343,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,10.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,12.0,18.0,66.7,5.0,21.0,4.0,2.0,2.0,176.0,95.0,7.0,9.0,77.8,5.0,5.0,100.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,6.0,2.0,5.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,100.0,0.0,2.0,20.0,3.0,4.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,5.0,8.0,19.0,2.0,29.0,100.0,2.0,0.0,116.0,48.0,1.0,0.0,1.0,3.0,31.0,22.0,71.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,Juraj Kucka,87.0,sk SVK,AM,32-039,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,13.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,16.0,27.0,59.3,2.0,17.0,2.0,0.0,0.0,221.0,88.0,11.0,18.0,61.1,5.0,8.0,62.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,3.0,4.0,15.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,6.0,50.0,3.0,4.0,30.8,2.0,10.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,8.0,26.0,6.0,2.0,38.0,0.0,0.0,0.0,115.0,57.0,0.0,0.0,4.0,3.0,28.0,21.0,75.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,6.0,6.0,50.0
4,Antonino Barillà,17.0,it ITA,DM,31-005,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,70.0,0.0,12.0,1.0,1.0,1.0,141.0,47.0,3.0,3.0,100.0,2.0,3.0,66.7,2.0,4.0,50.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,3.0,8.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,7.0,10.0,3.0,0.0,18.0,100.0,1.0,0.0,46.0,12.0,0.0,0.0,1.0,1.0,10.0,9.0,90.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
5,Luca Rigoni,32.0,it ITA,DM,34-120,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,94.7,1.0,17.0,1.0,0.0,0.0,383.0,121.0,6.0,6.0,100.0,8.0,9.0,88.9,4.0,4.0,100.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,3.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,4.0,50.0,2.0,2.0,16.7,7.0,5.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,12.0,16.0,2.0,1.0,28.0,0.0,0.0,0.0,113.0,56.0,0.0,0.0,1.0,1.0,19.0,16.0,84.2,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
6,Federico Dimarco,3.0,it ITA,WB,21-147,89.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,38.0,8.0,1.0,0.0,3.0,0.1,0.1,0.0,2.0,0.0,16.0,27.0,59.3,3.0,19.0,2.0,1.0,1.0,401.0,268.0,4.0,8.0,50.0,6.0,9.0,66.7,5.0,9.0,55.6,0.0,4.0,1.0,0.0,16.0,11.0,4.0,0.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,7.0,7.0,13.0,21.0,1.0,0.0,5.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,8.0,16.0,14.0,2.0,27.0,100.0,1.0,0.0,76.0,41.0,0.0,1.0,1.0,1.0,18.0,16.0,88.9,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
7,Alessandro Bastoni,95.0,it ITA,WB,19-358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Marcello Gazzola,23.0,it ITA,WB,34-003,87.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,36.0,69.4,4.0,23.0,4.0,1.0,3.0,454.0,239.0,10.0,16.0,62.5,14.0,16.0,87.5,1.0,3.0,33.3,1.0,2.0,1.0,1.0,28.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,8.0,12.0,2.0,23.0,3.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,11.0,19.0,16.0,1.0,37.0,33.3,1.0,0.0,123.0,67.0,0.0,0.0,0.0,2.0,26.0,24.0,92.3,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
9,Matteo Scozzarella,21.0,it ITA,WB,30-305,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
