,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Seydou Doumbia,22.0,ci CIV,FW,31-020,77.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,22.0,24.0,3.0,2.0,1.0,0.4,0.4,0.0,1.0,1.0,4.0,10.0,40.0,0.0,13.0,2.0,1.0,3.0,36.0,3.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,1.0,100.0,0.0,6.0,25.0,1.0,8.0,15.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,9.0,12.0,5.0,21.0,33.3,1.0,0.0,39.0,22.0,0.0,0.0,1.0,1.0,34.0,11.0,32.4,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
1,Douglas Luiz,12.0,br BRA,CM,20-256,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,0.0,5.0,0.0,0.0,0.0,107.0,19.0,2.0,2.0,100.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,50.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,6.0,4.0,3.0,0.0,11.0,0.0,0.0,0.0,30.0,28.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
2,Borja García,10.0,es ESP,"LW,FW",28-079,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76.0,21.0,3.0,1.0,1.0,0.1,0.1,0.2,3.0,0.0,54.0,63.0,85.7,7.0,62.0,7.0,4.0,6.0,841.0,235.0,31.0,35.0,88.6,16.0,17.0,94.1,6.0,10.0,60.0,2.0,4.0,6.0,0.0,60.0,3.0,1.0,0.0,17.0,2.0,1.0,1.0,0.0,0.0,0.0,41.0,12.0,10.0,11.0,49.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,100.0,0.0,5.0,23.8,5.0,10.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,11.0,50.0,22.0,2.0,73.0,66.7,4.0,0.0,284.0,96.0,3.0,0.0,1.0,1.0,72.0,58.0,80.6,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
3,Portu,9.0,es ESP,"RW,FW",26-244,90.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0,44.0,0.0,1.0,1.0,0.1,0.1,0.6,3.0,2.0,14.0,19.0,73.7,1.0,23.0,4.0,0.0,0.0,207.0,39.0,7.0,8.0,87.5,5.0,8.0,62.5,1.0,1.0,100.0,3.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,1.0,17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.9,1.0,28.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,11.0,14.0,7.0,27.0,0.0,0.0,0.0,66.0,43.0,0.0,0.0,3.0,3.0,50.0,22.0,44.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
4,Aleix García,23.0,es ESP,"CM,AM",21-206,90.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,61.0,37.0,3.0,0.0,1.0,0.3,0.3,0.0,2.0,0.0,42.0,50.0,84.0,4.0,52.0,8.0,1.0,2.0,750.0,240.0,22.0,25.0,88.0,13.0,14.0,92.9,7.0,11.0,63.6,1.0,6.0,1.0,0.0,47.0,3.0,2.0,1.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,27.0,17.0,6.0,9.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,4.0,25.0,3.0,9.0,24.3,9.0,22.0,6.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,40.0,16.0,0.0,58.0,50.0,1.0,0.0,206.0,98.0,3.0,0.0,1.0,0.0,44.0,42.0,95.5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,100.0
5,Pere Pons,8.0,es ESP,"CM,AM",25-334,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,33.0,3.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,37.0,46.0,80.4,3.0,39.0,3.0,1.0,3.0,593.0,125.0,19.0,22.0,86.4,15.0,20.0,75.0,2.0,3.0,66.7,1.0,1.0,1.0,0.0,44.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,12.0,2.0,9.0,34.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,9.0,27.3,10.0,21.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,11.0,41.0,10.0,1.0,55.0,33.3,1.0,0.0,177.0,92.0,4.0,0.0,0.0,3.0,37.0,30.0,81.1,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,66.7
6,Valery,34.0,es ESP,WB,19-058,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,29.0,72.4,1.0,22.0,3.0,4.0,4.0,349.0,99.0,9.0,11.0,81.8,10.0,11.0,90.9,2.0,4.0,50.0,0.0,1.0,0.0,0.0,23.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,5.0,4.0,20.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,23.5,5.0,8.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,17.0,7.0,2.0,28.0,100.0,4.0,0.0,150.0,85.0,0.0,1.0,1.0,1.0,17.0,15.0,88.2,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
7,Marc Muniesa,20.0,es ESP,WB,26-299,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,12.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,54.5,1.0,8.0,2.0,0.0,0.0,84.0,42.0,3.0,3.0,100.0,3.0,4.0,75.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,41.7,7.0,4.0,1.0,1.0,0.0,2.0,4.0,3.0,0.0,5.0,10.0,10.0,2.0,0.0,19.0,0.0,0.0,0.0,46.0,22.0,1.0,0.0,0.0,0.0,7.0,6.0,85.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
8,Pedro Porro,24.0,es ESP,WB,19-129,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,17.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,37.0,73.0,3.0,31.0,5.0,2.0,5.0,454.0,181.0,12.0,13.0,92.3,12.0,19.0,63.2,2.0,4.0,50.0,0.0,3.0,0.0,0.0,28.0,9.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,16.0,9.0,1.0,24.0,3.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,5.9,7.0,6.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,12.0,22.0,18.0,1.0,40.0,40.0,3.0,0.0,106.0,58.0,1.0,0.0,1.0,3.0,28.0,25.0,89.3,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
9,Jonás Ramalho,4.0,es ESP,WB,25-224,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,63.6,0.0,12.0,1.0,1.0,1.0,136.0,33.0,4.0,4.0,100.0,2.0,5.0,40.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,4.0,9.0,0.0,14.0,100.0,1.0,0.0,21.0,14.0,0.0,0.0,1.0,1.0,12.0,9.0,75.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
