,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Karim Benzema,9.0,fr FRA,FW,31-046,74.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,56.0,6.0,1.0,0.0,0.0,0.6,0.6,0.0,2.0,0.0,40.0,48.0,83.3,3.0,42.0,6.0,1.0,1.0,503.0,68.0,27.0,30.0,90.0,13.0,15.0,86.7,0.0,0.0,0.0,0.0,1.0,3.0,0.0,45.0,3.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,9.0,0.0,10.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,33.0,13.0,54.0,100.0,1.0,0.0,238.0,89.0,1.0,1.0,2.0,1.0,63.0,48.0,76.2,17.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
1,Mariano,7.0,do DOM,FW,25-186,16.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,6.0,0.0,0.0,0.0,23.0,23.0,1.0,0.0,1.0,1.0,8.0,5.0,62.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Vinicius Júnior,28.0,br BRA,"LW,RW",18-206,86.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,66.0,8.0,0.0,0.0,0.0,0.5,0.5,0.3,5.0,2.0,39.0,47.0,83.0,5.0,63.0,15.0,5.0,9.0,631.0,115.0,18.0,19.0,94.7,16.0,20.0,80.0,3.0,3.0,100.0,1.0,1.0,2.0,0.0,46.0,1.0,0.0,0.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,40.0,5.0,2.0,10.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,24.0,44.0,14.0,65.0,55.6,5.0,0.0,398.0,289.0,4.0,5.0,1.0,4.0,68.0,56.0,82.4,10.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
3,Isco,22.0,es ESP,LW,26-288,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,100.0,2.0,4.0,3.0,0.0,0.0,66.0,41.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,52.0,37.0,1.0,0.0,0.0,1.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Gareth Bale,11.0,wls WAL,"RW,LW",29-202,62.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,31.0,6.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,21.0,27.0,77.8,1.0,24.0,3.0,0.0,0.0,280.0,31.0,15.0,17.0,88.2,5.0,8.0,62.5,1.0,2.0,50.0,1.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,8.0,4.0,22.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,19.0,4.0,30.0,0.0,0.0,0.0,103.0,30.0,1.0,1.0,1.0,1.0,37.0,28.0,75.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
5,Marco Asensio,20.0,es ESP,RW,23-013,28.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,10.0,1.0,0.0,1.0,0.0,0.0,0.2,1.0,1.0,13.0,14.0,92.9,0.0,14.0,3.0,0.0,0.0,209.0,29.0,7.0,8.0,87.5,2.0,2.0,100.0,3.0,3.0,100.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,3.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,9.0,8.0,3.0,18.0,0.0,0.0,0.0,113.0,61.0,1.0,1.0,1.0,0.0,17.0,15.0,88.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Dani Ceballos,24.0,es ESP,CM,22-180,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,110.0,19.0,2.0,0.0,3.0,0.3,0.3,0.1,5.0,0.0,89.0,94.0,94.7,11.0,89.0,6.0,2.0,3.0,1497.0,334.0,48.0,48.0,100.0,35.0,35.0,100.0,5.0,8.0,62.5,4.0,9.0,3.0,0.0,90.0,4.0,3.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,81.0,7.0,6.0,7.0,86.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,66.7,1.0,4.0,21.1,2.0,12.0,5.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,13.0,76.0,33.0,4.0,107.0,66.7,2.0,0.0,453.0,247.0,5.0,0.0,2.0,1.0,90.0,86.0,95.6,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0
7,Luka Modrić,10.0,hr CRO,CM,33-147,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,18.0,1.0,0.0,2.0,0.0,0.0,0.1,5.0,0.0,84.0,100.0,84.0,10.0,86.0,16.0,1.0,1.0,1593.0,531.0,34.0,36.0,94.4,33.0,38.0,86.8,15.0,22.0,68.2,4.0,8.0,1.0,0.0,92.0,8.0,1.0,0.0,19.0,6.0,1.0,7.0,0.0,0.0,0.0,70.0,13.0,17.0,11.0,89.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,5.0,27.8,3.0,11.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,68.0,35.0,2.0,99.0,100.0,1.0,0.0,536.0,225.0,3.0,1.0,1.0,3.0,92.0,89.0,96.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
8,Casemiro,14.0,br BRA,DM,26-345,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,97.0,21.0,5.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,79.0,85.0,92.9,5.0,70.0,6.0,0.0,1.0,1363.0,324.0,35.0,36.0,97.2,31.0,33.0,93.9,9.0,10.0,90.0,0.0,4.0,0.0,0.0,81.0,4.0,4.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,73.0,2.0,10.0,10.0,69.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,3.0,7.0,42.9,4.0,13.0,61.9,7.0,13.0,1.0,0.0,0.0,1.0,7.0,2.0,0.0,2.0,23.0,69.0,9.0,0.0,93.0,0.0,0.0,0.0,359.0,234.0,1.0,0.0,0.0,0.0,75.0,71.0,94.7,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,11.0,5.0,1.0,83.3
9,Sergio Reguilón,23.0,es ESP,LB,22-049,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,83.0,7.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,1.0,69.0,74.0,93.2,5.0,61.0,8.0,1.0,1.0,1045.0,394.0,45.0,45.0,100.0,20.0,21.0,95.2,4.0,8.0,50.0,1.0,7.0,0.0,0.0,66.0,8.0,0.0,0.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,58.0,11.0,5.0,63.0,3.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,3.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,16.0,55.0,19.0,1.0,75.0,100.0,1.0,0.0,243.0,142.0,6.0,1.0,2.0,0.0,62.0,62.0,100.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
