,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Marcus Thuram,11.0,fr FRA,FW,21-279,90.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,38.0,20.0,1.0,0.0,0.0,1.2,0.3,0.0,7.0,1.0,16.0,23.0,69.6,3.0,29.0,5.0,4.0,4.0,221.0,67.0,10.0,14.0,71.4,6.0,8.0,75.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,21.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,15.0,4.0,4.0,3.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,1.0,9.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,14.0,26.0,11.0,35.0,100.0,4.0,0.0,114.0,59.0,1.0,1.0,3.0,2.0,46.0,28.0,60.9,14.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,5.0,16.7
1,Marcus Coco,24.0,fr FRA,"LM,LW",22-322,90.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,43.0,33.0,3.0,0.0,1.0,0.8,0.8,0.2,5.0,0.0,18.0,25.0,72.0,3.0,30.0,10.0,1.0,2.0,308.0,48.0,6.0,8.0,75.0,11.0,13.0,84.6,1.0,4.0,25.0,2.0,2.0,0.0,0.0,25.0,0.0,0.0,0.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,17.0,2.0,6.0,5.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,15.2,11.0,15.0,7.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,13.0,32.0,8.0,43.0,50.0,1.0,0.0,289.0,218.0,5.0,2.0,4.0,1.0,47.0,30.0,63.8,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,1.0,75.0
2,Ludovic Blas,7.0,fr FRA,"RM,RW",21-132,90.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,51.0,38.0,2.0,2.0,0.0,0.4,0.4,0.1,4.0,0.0,28.0,36.0,77.8,6.0,49.0,10.0,8.0,9.0,668.0,174.0,7.0,10.0,70.0,15.0,19.0,78.9,6.0,6.0,100.0,2.0,3.0,4.0,1.0,36.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,26.0,5.0,5.0,29.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,6.0,15.8,6.0,24.0,8.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,6.0,24.0,30.0,4.0,51.0,88.9,9.0,0.0,312.0,197.0,6.0,0.0,3.0,1.0,37.0,35.0,94.6,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0
3,Lucas Deaux,8.0,fr FRA,AM,30-137,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,18.0,77.8,0.0,13.0,0.0,0.0,0.0,261.0,65.0,6.0,9.0,66.7,4.0,5.0,80.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,5.0,12.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,8.0,9.0,0.0,21.0,0.0,0.0,0.0,47.0,6.0,0.0,0.0,0.0,0.0,17.0,16.0,94.1,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
4,Alexandre Mendy,9.0,gw GNB,FW,25-053,45.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,17.0,10.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,5.0,8.0,62.5,0.0,9.0,2.0,1.0,1.0,50.0,13.0,4.0,5.0,80.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,6.0,17.0,100.0,1.0,0.0,42.0,34.0,1.0,0.0,1.0,1.0,20.0,12.0,60.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,66.7
5,Lebogang Phiri,6.0,za RSA,CM,24-184,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,24.0,2.0,1.0,3.0,0.0,0.0,0.1,7.0,0.0,52.0,55.0,94.5,10.0,50.0,10.0,0.0,0.0,933.0,299.0,28.0,29.0,96.6,17.0,17.0,100.0,7.0,9.0,77.8,4.0,10.0,2.0,0.0,55.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,6.0,7.0,11.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,8.0,33.3,4.0,18.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,44.0,14.0,0.0,63.0,0.0,0.0,0.0,315.0,185.0,1.0,0.0,1.0,0.0,47.0,46.0,97.9,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
6,Étienne Didot,22.0,fr FRA,CM,35-292,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,33.0,1.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,19.0,27.0,70.4,3.0,22.0,2.0,0.0,0.0,336.0,78.0,10.0,11.0,90.9,6.0,8.0,75.0,3.0,8.0,37.5,1.0,3.0,1.0,0.0,24.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,13.0,5.0,9.0,4.0,19.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,6.0,18.2,8.0,18.0,7.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,6.0,20.0,11.0,0.0,32.0,0.0,0.0,0.0,114.0,57.0,1.0,0.0,0.0,1.0,24.0,20.0,83.3,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
7,Nolan Roux,26.0,fr FRA,CM,31-072,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,100.0,0.0,4.0,0.0,0.0,0.0,66.0,0.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,60.0,0.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,4.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
8,Pedro Rebocho,5.0,pt POR,LB,24-109,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,44.0,56.0,78.6,6.0,31.0,1.0,1.0,1.0,851.0,406.0,16.0,16.0,100.0,24.0,28.0,85.7,4.0,12.0,33.3,1.0,2.0,1.0,1.0,34.0,22.0,5.0,0.0,8.0,0.0,5.0,5.0,3.0,1.0,0.0,23.0,13.0,20.0,33.0,8.0,3.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,18.8,7.0,4.0,5.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,16.0,27.0,23.0,1.0,42.0,100.0,1.0,0.0,168.0,78.0,0.0,0.0,0.0,0.0,28.0,27.0,96.4,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
9,Jérémy Sorbon,15.0,fr FRA,CB,35-280,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,2.0,1.0,1.0,0.0,0.0,0.3,2.0,0.0,31.0,34.0,91.2,2.0,21.0,0.0,0.0,0.0,576.0,190.0,9.0,9.0,100.0,19.0,21.0,90.5,2.0,3.0,66.7,2.0,2.0,0.0,0.0,33.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,3.0,5.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,7.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,4.0,22.0,24.0,1.0,1.0,41.0,0.0,0.0,0.0,177.0,101.0,0.0,0.0,0.0,0.0,25.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,75.0
