,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Nicola Sansone,10.0,it ITA,FW,27-161,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,46.0,30.0,3.0,0.0,1.0,0.1,0.1,0.1,3.0,0.0,20.0,30.0,66.7,1.0,39.0,7.0,2.0,6.0,318.0,93.0,10.0,12.0,83.3,7.0,10.0,70.0,2.0,7.0,28.6,1.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,8.0,3.0,4.0,2.0,0.0,0.0,0.0,19.0,4.0,7.0,7.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,16.7,5.0,7.0,23.3,7.0,13.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,19.0,24.0,1.0,44.0,33.3,2.0,0.0,251.0,188.0,3.0,1.0,1.0,4.0,50.0,32.0,64.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
1,Federico Santander,9.0,py PAR,FW,27-259,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,31.0,1.0,0.0,0.0,0.0,0.0,0.6,6.0,0.0,13.0,20.0,65.0,1.0,17.0,2.0,0.0,3.0,128.0,45.0,9.0,12.0,75.0,2.0,4.0,50.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,20.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,16.1,2.0,16.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,9.0,20.0,6.0,30.0,0.0,0.0,0.0,69.0,22.0,0.0,1.0,2.0,1.0,50.0,22.0,44.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,4.0,8.0,33.3
2,Simone Edera,20.0,it ITA,FW,22-040,65.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,33.0,26.0,4.0,2.0,0.0,0.4,0.4,0.2,4.0,0.0,11.0,18.0,61.1,1.0,25.0,5.0,2.0,6.0,163.0,70.0,8.0,11.0,72.7,2.0,3.0,66.7,1.0,4.0,25.0,2.0,0.0,1.0,0.0,14.0,4.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,9.0,4.0,5.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,100.0,0.0,11.0,42.3,7.0,14.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,11.0,17.0,5.0,29.0,33.3,2.0,0.0,201.0,167.0,1.0,1.0,0.0,1.0,35.0,18.0,51.4,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
3,Mattias Svanberg,32.0,se SWE,FW,20-044,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,17.0,58.8,0.0,17.0,0.0,0.0,3.0,113.0,13.0,7.0,9.0,77.8,3.0,6.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,5.0,4.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,16.0,2.0,21.0,0.0,0.0,0.0,65.0,40.0,1.0,0.0,1.0,0.0,18.0,17.0,94.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
4,Andrea Poli,16.0,it ITA,CM,29-142,71.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,45.0,46.0,3.0,0.0,2.0,0.2,0.2,0.0,3.0,0.0,29.0,36.0,80.6,2.0,40.0,2.0,2.0,3.0,419.0,92.0,20.0,22.0,90.9,9.0,10.0,90.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,36.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,3.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,4.0,0.0,4.0,18.0,39.1,9.0,28.0,9.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,8.0,26.0,14.0,2.0,45.0,66.7,2.0,0.0,176.0,126.0,1.0,0.0,2.0,0.0,35.0,31.0,88.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
5,Blerim Džemaili,31.0,ch SUI,CM,32-312,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,13.0,53.8,1.0,10.0,0.0,0.0,0.0,107.0,33.0,3.0,4.0,75.0,4.0,8.0,50.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,11.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,25.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,7.0,4.0,0.0,13.0,0.0,0.0,0.0,33.0,4.0,0.0,0.0,0.0,0.0,11.0,10.0,90.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
6,Erick Pulgar,5.0,cl CHI,CM,25-034,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,31.0,5.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,46.0,54.0,85.2,3.0,38.0,1.0,0.0,1.0,914.0,303.0,22.0,24.0,91.7,14.0,16.0,87.5,10.0,14.0,71.4,1.0,3.0,0.0,0.0,46.0,8.0,4.0,0.0,14.0,2.0,1.0,1.0,0.0,0.0,0.0,33.0,7.0,14.0,7.0,43.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,3.0,0.0,4.0,6.0,66.7,2.0,9.0,29.0,17.0,12.0,2.0,0.0,0.0,2.0,6.0,0.0,0.0,5.0,22.0,34.0,10.0,0.0,56.0,0.0,0.0,0.0,125.0,40.0,0.0,0.0,0.0,0.0,34.0,33.0,97.1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,100.0
7,Diego Falcinelli,91.0,it ITA,CM,27-237,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,5.0,5.0,100.0,0.0,7.0,0.0,0.0,0.0,45.0,6.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,7.0,0.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,1.0,10.0,6.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Roberto Soriano,21.0,it ITA,CM,28-010,90.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,58.0,32.0,2.0,0.0,1.0,0.8,0.8,0.3,10.0,1.0,36.0,45.0,80.0,7.0,47.0,10.0,1.0,2.0,474.0,202.0,24.0,28.0,85.7,10.0,13.0,76.9,1.0,1.0,100.0,4.0,5.0,2.0,1.0,45.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,10.0,2.0,8.0,33.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,37.5,7.0,19.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,9.0,24.0,30.0,6.0,58.0,50.0,1.0,0.0,264.0,153.0,4.0,1.0,1.0,1.0,57.0,43.0,75.4,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,33.3
9,Mitchell Dijks,35.0,nl NED,LB,26-009,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,18.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,27.0,37.0,73.0,1.0,22.0,4.0,1.0,2.0,499.0,243.0,8.0,9.0,88.9,18.0,24.0,75.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,19.0,18.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,10.0,15.0,15.0,3.0,1.0,18.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,7.0,38.9,6.0,11.0,1.0,0.0,0.0,3.0,5.0,1.0,0.0,5.0,17.0,26.0,14.0,0.0,33.0,50.0,1.0,0.0,178.0,104.0,2.0,0.0,1.0,1.0,18.0,15.0,83.3,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
