,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Patrik Schick,14.0,cz CZE,FW,22-312,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,13.0,1.0,0.0,0.0,0.0,0.0,0.2,4.0,0.0,14.0,20.0,70.0,3.0,21.0,3.0,2.0,4.0,183.0,53.0,9.0,10.0,90.0,4.0,7.0,57.1,0.0,1.0,0.0,2.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,7.0,8.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,23.1,0.0,5.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,20.0,12.0,3.0,32.0,50.0,2.0,0.0,82.0,32.0,2.0,2.0,4.0,1.0,49.0,27.0,55.1,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,50.0
1,Alessandro Florenzi,24.0,it ITA,"LW,RB",27-266,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,46.0,10.0,1.0,3.0,3.0,0.2,0.2,0.1,4.0,0.0,29.0,38.0,76.3,5.0,32.0,4.0,4.0,4.0,451.0,230.0,13.0,14.0,92.9,11.0,12.0,91.7,2.0,7.0,28.6,2.0,4.0,1.0,1.0,32.0,6.0,0.0,0.0,10.0,1.0,2.0,4.0,0.0,0.0,0.0,23.0,4.0,11.0,0.0,36.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,4.0,3.0,1.0,0.0,2.0,4.0,2.0,0.0,3.0,12.0,17.0,23.0,2.0,40.0,100.0,4.0,0.0,153.0,80.0,2.0,1.0,0.0,0.0,37.0,28.0,75.7,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2,Cengiz Ünder,17.0,tr TUR,RW,21-141,82.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,29.0,8.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,13.0,19.0,68.4,3.0,27.0,4.0,2.0,4.0,186.0,64.0,4.0,5.0,80.0,7.0,8.0,87.5,0.0,3.0,0.0,0.0,3.0,0.0,0.0,18.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,7.0,12.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,19.0,4.0,28.0,50.0,2.0,1.0,130.0,47.0,0.0,1.0,1.0,0.0,32.0,24.0,75.0,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
3,Javier Pastore,27.0,ar ARG,AM,29-165,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,0.0,11.0,1.0,2.0,2.0,76.0,21.0,4.0,5.0,80.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,3.0,7.0,1.0,13.0,100.0,2.0,0.0,32.0,16.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Nicolò Zaniolo,22.0,it ITA,AM,19-153,76.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,32.0,17.0,2.0,0.0,0.0,0.1,0.1,0.0,2.0,1.0,12.0,17.0,70.6,0.0,26.0,3.0,3.0,6.0,203.0,26.0,4.0,4.0,100.0,7.0,9.0,77.8,0.0,2.0,0.0,0.0,1.0,0.0,0.0,14.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,3.0,11.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,5.0,4.0,23.5,0.0,9.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,17.0,15.0,4.0,29.0,50.0,3.0,1.0,134.0,46.0,1.0,1.0,4.0,0.0,28.0,23.0,82.1,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Diego Perotti,8.0,ar ARG,"LW,AM",30-129,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,90.0,0.0,11.0,2.0,1.0,1.0,105.0,26.0,5.0,6.0,83.3,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,6.0,5.0,1.0,12.0,100.0,1.0,0.0,131.0,90.0,2.0,1.0,0.0,2.0,13.0,10.0,76.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Steven Nzonzi,42.0,fr FRA,DM,29-352,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,10.0,2.0,1.0,2.0,0.1,0.1,0.0,5.0,0.0,45.0,58.0,77.6,8.0,45.0,1.0,2.0,2.0,735.0,269.0,22.0,29.0,75.9,21.0,24.0,87.5,2.0,5.0,40.0,2.0,3.0,0.0,0.0,58.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,9.0,9.0,5.0,41.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,3.0,30.0,2.0,5.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,5.0,10.0,38.0,19.0,4.0,65.0,100.0,2.0,0.0,119.0,25.0,0.0,0.0,0.0,0.0,48.0,44.0,91.7,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,100.0
7,Bryan Cristante,4.0,it ITA,DM,23-274,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,48.0,17.0,1.0,1.0,1.0,0.1,0.1,0.0,1.0,1.0,30.0,42.0,71.4,5.0,38.0,3.0,0.0,0.0,572.0,184.0,15.0,18.0,83.3,8.0,14.0,57.1,7.0,10.0,70.0,1.0,7.0,0.0,0.0,41.0,1.0,1.0,0.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,32.0,4.0,6.0,4.0,37.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,23.5,5.0,9.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,25.0,19.0,1.0,47.0,0.0,0.0,0.0,200.0,72.0,1.0,0.0,0.0,1.0,36.0,33.0,91.7,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
8,Aleksandar Kolarov,11.0,rs SRB,LB,33-022,90.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,74.0,8.0,4.0,1.0,2.0,0.8,0.0,0.0,1.0,0.0,52.0,62.0,83.9,7.0,45.0,4.0,2.0,4.0,957.0,359.0,17.0,19.0,89.5,26.0,28.0,92.9,6.0,11.0,54.5,1.0,4.0,2.0,1.0,49.0,13.0,5.0,0.0,11.0,4.0,3.0,0.0,0.0,0.0,0.0,33.0,15.0,14.0,44.0,5.0,5.0,8.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,50.0,1.0,2.0,25.0,7.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,2.0,23.0,37.0,21.0,1.0,60.0,50.0,2.0,0.0,247.0,169.0,1.0,0.0,0.0,0.0,49.0,44.0,89.8,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
9,Juan Jesus,5.0,br BRA,CB,27-175,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,43.0,83.7,0.0,30.0,0.0,0.0,0.0,767.0,212.0,7.0,8.0,87.5,23.0,25.0,92.0,5.0,9.0,55.6,0.0,0.0,0.0,0.0,38.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,6.0,33.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,6.0,32.0,17.0,1.0,0.0,45.0,0.0,0.0,0.0,86.0,23.0,0.0,0.0,0.0,0.0,32.0,31.0,96.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
