,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Krzysztof Piątek,19.0,pl POL,FW,23-217,86.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,24.0,39.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,11.0,13.0,84.6,0.0,15.0,1.0,0.0,1.0,128.0,8.0,9.0,11.0,81.8,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,12.8,1.0,22.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,8.0,13.0,4.0,21.0,0.0,0.0,0.0,19.0,2.0,0.0,1.0,5.0,1.0,48.0,17.0,35.4,8.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
1,Patrick Cutrone,63.0,it ITA,FW,21-031,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Hakan Çalhanoğlu,10.0,tr TUR,"LW,CM",24-360,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,28.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,30.0,44.0,68.2,3.0,29.0,5.0,0.0,0.0,635.0,172.0,9.0,10.0,90.0,13.0,18.0,72.2,7.0,15.0,46.7,0.0,4.0,0.0,0.0,39.0,5.0,2.0,0.0,10.0,4.0,2.0,2.0,0.0,0.0,0.0,22.0,11.0,11.0,5.0,36.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,32.1,7.0,15.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,30.0,14.0,1.0,48.0,0.0,0.0,0.0,178.0,101.0,2.0,1.0,2.0,1.0,46.0,36.0,78.3,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
3,Suso,8.0,es ESP,RW,25-076,86.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,45.0,25.0,1.0,1.0,0.0,0.1,0.1,0.0,4.0,0.0,22.0,34.0,64.7,3.0,39.0,6.0,5.0,5.0,397.0,129.0,8.0,8.0,100.0,11.0,16.0,68.8,2.0,8.0,25.0,1.0,2.0,2.0,0.0,32.0,2.0,2.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,6.0,10.0,31.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,8.0,7.0,13.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,23.0,23.0,2.0,44.0,100.0,5.0,0.0,230.0,105.0,5.0,0.0,1.0,3.0,42.0,37.0,88.1,7.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
4,Diego Laxalt,93.0,uy URU,LW,25-361,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.2,0.2,0.0,1.0,0.0,1.0,2.0,50.0,0.0,4.0,0.0,1.0,1.0,14.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,100.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Lucas Paquetá,39.0,br BRA,CM,21-160,76.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,32.0,31.0,2.0,0.0,0.0,0.1,0.1,0.2,2.0,2.0,15.0,18.0,83.3,4.0,24.0,2.0,1.0,1.0,300.0,166.0,4.0,6.0,66.7,9.0,10.0,90.0,2.0,2.0,100.0,1.0,5.0,1.0,1.0,18.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,6.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,22.6,8.0,20.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,19.0,8.0,2.0,32.0,100.0,1.0,0.0,93.0,79.0,1.0,0.0,3.0,3.0,31.0,23.0,74.2,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
6,Samu Castillejo,7.0,es ESP,"LW,RW",24-016,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,6.0,6.0,100.0,2.0,6.0,2.0,0.0,0.0,108.0,45.0,3.0,3.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,53.0,19.0,1.0,0.0,0.0,0.0,6.0,6.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Franck Kessié,79.0,ci CIV,CM,22-046,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,34.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,45.0,54.0,83.3,5.0,40.0,3.0,2.0,2.0,806.0,186.0,22.0,27.0,81.5,17.0,18.0,94.4,6.0,9.0,66.7,0.0,2.0,1.0,0.0,54.0,0.0,0.0,0.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,36.0,15.0,3.0,15.0,35.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,2.0,100.0,0.0,14.0,41.2,8.0,19.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,10.0,42.0,15.0,2.0,61.0,100.0,2.0,0.0,199.0,112.0,2.0,0.0,3.0,0.0,50.0,45.0,90.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
8,Tiemoué Bakayoko,14.0,fr FRA,DM,24-170,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,23.0,1.0,1.0,1.0,0.0,0.0,0.1,4.0,0.0,66.0,71.0,93.0,3.0,55.0,6.0,1.0,2.0,1190.0,196.0,28.0,29.0,96.6,29.0,30.0,96.7,8.0,10.0,80.0,2.0,4.0,2.0,1.0,70.0,1.0,1.0,0.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,58.0,13.0,0.0,20.0,48.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.4,9.0,14.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,6.0,24.0,63.0,9.0,1.0,89.0,50.0,1.0,0.0,273.0,155.0,3.0,0.0,1.0,4.0,69.0,67.0,97.1,5.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,50.0
9,Ricardo Rodríguez,68.0,ch SUI,LB,26-162,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,11.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,56.0,63.0,88.9,5.0,49.0,5.0,2.0,2.0,1166.0,427.0,22.0,23.0,95.7,27.0,28.0,96.4,7.0,11.0,63.6,1.0,3.0,2.0,0.0,53.0,10.0,1.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,13.0,10.0,39.0,13.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.1,9.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,8.0,25.0,40.0,8.0,0.0,61.0,100.0,2.0,0.0,227.0,87.0,2.0,0.0,0.0,1.0,48.0,46.0,95.8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,25.0
