,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Krzysztof Piątek,19.0,pl POL,FW,23-272,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,34.0,2.0,0.0,1.0,0.1,0.1,0.2,3.0,0.0,17.0,17.0,100.0,1.0,21.0,2.0,0.0,1.0,301.0,54.0,8.0,8.0,100.0,4.0,4.0,100.0,3.0,3.0,100.0,2.0,1.0,2.0,1.0,15.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,2.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,23.5,0.0,16.0,18.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,13.0,14.0,8.0,26.0,0.0,0.0,0.0,69.0,21.0,0.0,0.0,5.0,1.0,42.0,19.0,45.2,7.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
1,Samu Castillejo,7.0,es ESP,"LW,WB,RM",24-071,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,41.0,37.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,29.0,75.9,1.0,33.0,7.0,0.0,4.0,407.0,101.0,14.0,14.0,100.0,5.0,8.0,62.5,3.0,6.0,50.0,0.0,2.0,0.0,0.0,26.0,3.0,0.0,1.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,21.0,2.0,6.0,21.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,8.0,21.6,9.0,20.0,8.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,9.0,15.0,18.0,3.0,38.0,0.0,0.0,0.0,153.0,98.0,0.0,2.0,0.0,4.0,43.0,31.0,72.1,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
2,Suso,8.0,es ESP,RW,25-131,63.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,49.0,14.0,0.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,28.0,38.0,73.7,4.0,46.0,15.0,3.0,5.0,490.0,149.0,11.0,14.0,78.6,14.0,17.0,82.4,3.0,6.0,50.0,1.0,2.0,1.0,1.0,36.0,2.0,0.0,0.0,4.0,1.0,5.0,2.0,1.0,0.0,0.0,27.0,5.0,6.0,35.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,35.7,5.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,22.0,24.0,4.0,47.0,60.0,3.0,1.0,300.0,221.0,1.0,2.0,3.0,1.0,50.0,39.0,78.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
3,Patrick Cutrone,63.0,it ITA,FW,21-086,27.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,3.0,5.0,60.0,0.0,9.0,0.0,1.0,2.0,29.0,0.0,3.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,11.0,50.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,17.0,9.0,52.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
4,Hakan Çalhanoğlu,10.0,tr TUR,"CM,LM",25-050,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,29.0,2.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,57.0,69.0,82.6,10.0,59.0,3.0,1.0,3.0,1256.0,385.0,17.0,18.0,94.4,29.0,31.0,93.5,9.0,17.0,52.9,1.0,7.0,1.0,0.0,62.0,7.0,2.0,1.0,7.0,6.0,1.0,5.0,4.0,0.0,0.0,46.0,6.0,17.0,9.0,58.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,40.0,3.0,8.0,27.6,4.0,17.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,21.0,40.0,20.0,2.0,71.0,33.3,1.0,0.0,236.0,86.0,0.0,0.0,2.0,1.0,74.0,62.0,83.8,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
5,Tiemoué Bakayoko,14.0,fr FRA,"CM,DM",24-225,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,61.0,31.0,4.0,0.0,2.0,0.1,0.1,0.1,4.0,0.0,39.0,47.0,83.0,4.0,50.0,7.0,2.0,3.0,645.0,173.0,21.0,26.0,80.8,13.0,15.0,86.7,5.0,5.0,100.0,2.0,3.0,0.0,0.0,45.0,2.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,1.0,11.0,33.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,7.0,22.6,8.0,16.0,7.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,15.0,35.0,15.0,4.0,60.0,66.7,2.0,0.0,195.0,114.0,1.0,1.0,3.0,3.0,54.0,46.0,85.2,5.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
6,Lucas Biglia,21.0,ar ARG,"DM,CM",33-059,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,30.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,50.0,54.0,92.6,3.0,39.0,1.0,0.0,0.0,986.0,263.0,24.0,27.0,88.9,14.0,14.0,100.0,10.0,11.0,90.9,1.0,8.0,0.0,0.0,52.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,9.0,10.0,5.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,10.0,33.3,18.0,10.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,29.0,32.0,5.0,0.0,60.0,0.0,0.0,0.0,153.0,56.0,0.0,0.0,0.0,1.0,40.0,37.0,92.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
7,Lucas Paquetá,39.0,br BRA,CM,21-215,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,17.0,58.8,2.0,17.0,5.0,1.0,2.0,213.0,50.0,4.0,5.0,80.0,4.0,5.0,80.0,2.0,5.0,40.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,3.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,3.0,0.0,22.0,50.0,1.0,1.0,98.0,71.0,0.0,0.0,0.0,1.0,22.0,21.0,95.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
8,Ricardo Rodríguez,68.0,ch SUI,LB,26-217,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,27.0,37.0,73.0,2.0,23.0,2.0,0.0,0.0,529.0,226.0,7.0,9.0,77.8,18.0,19.0,94.7,2.0,7.0,28.6,0.0,2.0,1.0,1.0,30.0,7.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,21.0,6.0,10.0,26.0,5.0,0.0,6.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,4.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,20.0,14.0,11.0,2.0,35.0,0.0,0.0,0.0,148.0,98.0,1.0,0.0,0.0,0.0,27.0,27.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
9,Andrea Conti,12.0,it ITA,"RB,WB",25-028,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,15.0,2.0,0.0,2.0,0.0,0.0,0.2,3.0,0.0,24.0,31.0,77.4,3.0,20.0,7.0,0.0,0.0,396.0,189.0,13.0,15.0,86.7,10.0,13.0,76.9,1.0,3.0,33.3,2.0,1.0,2.0,1.0,25.0,6.0,0.0,0.0,6.0,1.0,3.0,1.0,0.0,1.0,0.0,17.0,8.0,6.0,2.0,23.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,6.7,8.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,13.0,17.0,10.0,0.0,32.0,0.0,0.0,0.0,160.0,106.0,1.0,0.0,0.0,1.0,23.0,22.0,95.7,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
