,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Fabio Quagliarella,27.0,it ITA,FW,35-360,84.0,2.0,1.0,2.0,2.0,5.0,2.0,0.0,0.0,48.0,20.0,0.0,0.0,0.0,1.8,0.3,0.4,8.0,2.0,26.0,38.0,68.4,3.0,35.0,4.0,2.0,2.0,349.0,86.0,15.0,18.0,83.3,7.0,11.0,63.6,2.0,4.0,50.0,2.0,2.0,1.0,0.0,37.0,1.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,6.0,4.0,5.0,32.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,30.0,8.0,44.0,100.0,2.0,0.0,134.0,35.0,1.0,1.0,2.0,1.0,58.0,38.0,65.5,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
1,Dawid Kownacki,99.0,pl POL,FW,21-318,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,3.0,1.0,0.0,0.0,52.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,34.0,28.0,1.0,0.0,0.0,1.0,9.0,2.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2,Grégoire Defrel,92.0,mq MTQ,FW,27-223,73.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,29.0,2.0,0.0,0.0,0.1,0.1,0.1,5.0,1.0,19.0,22.0,86.4,2.0,30.0,2.0,2.0,4.0,327.0,67.0,10.0,12.0,83.3,7.0,8.0,87.5,2.0,2.0,100.0,3.0,0.0,2.0,0.0,22.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,19.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,10.0,34.5,1.0,16.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,21.0,3.0,33.0,50.0,2.0,0.0,132.0,39.0,1.0,0.0,1.0,1.0,42.0,26.0,61.9,11.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0
3,Manolo Gabbiadini,23.0,it ITA,FW,27-061,17.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,8.0,9.0,88.9,0.0,9.0,0.0,0.0,0.0,144.0,20.0,4.0,5.0,80.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.5,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,11.0,0.0,0.0,0.0,45.0,8.0,0.0,0.0,0.0,1.0,13.0,10.0,76.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,Riccardo Saponara,5.0,it ITA,AM,27-036,90.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,73.0,23.0,1.0,1.0,2.0,0.1,0.1,0.7,8.0,2.0,42.0,56.0,75.0,10.0,58.0,13.0,1.0,2.0,711.0,206.0,19.0,24.0,79.2,18.0,23.0,78.3,4.0,5.0,80.0,6.0,4.0,6.0,0.0,56.0,0.0,0.0,2.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,6.0,20.0,34.0,1.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,8.7,4.0,14.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,43.0,33.0,3.0,73.0,50.0,2.0,0.0,419.0,287.0,5.0,0.0,0.0,3.0,67.0,57.0,85.1,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
5,Karol Linetty,16.0,pl POL,CM,23-358,90.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,56.0,22.0,2.0,2.0,1.0,0.6,0.6,0.1,3.0,0.0,39.0,48.0,81.3,8.0,43.0,5.0,0.0,0.0,547.0,174.0,26.0,29.0,89.7,12.0,17.0,70.6,1.0,1.0,100.0,1.0,4.0,0.0,0.0,48.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,4.0,4.0,14.0,32.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,6.0,27.3,5.0,12.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,11.0,32.0,17.0,3.0,56.0,0.0,0.0,0.0,235.0,150.0,1.0,1.0,0.0,1.0,54.0,43.0,79.6,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
6,Dennis Praet,10.0,be BEL,CM,24-257,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,26.0,4.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,43.0,50.0,86.0,3.0,49.0,7.0,0.0,0.0,753.0,250.0,18.0,19.0,94.7,23.0,26.0,88.5,2.0,2.0,100.0,1.0,5.0,0.0,0.0,49.0,1.0,1.0,1.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,39.0,6.0,5.0,5.0,44.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,5.0,19.2,3.0,20.0,3.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,10.0,34.0,21.0,0.0,58.0,0.0,0.0,0.0,228.0,125.0,3.0,0.0,0.0,2.0,48.0,43.0,89.6,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
7,Albin Ekdal,6.0,se SWE,DM,29-182,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,22.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,55.0,67.0,82.1,6.0,57.0,5.0,3.0,3.0,985.0,251.0,26.0,28.0,92.9,19.0,21.0,90.5,7.0,11.0,63.6,2.0,3.0,0.0,0.0,63.0,4.0,4.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,48.0,11.0,8.0,11.0,52.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0,0.0,1.0,7.0,14.3,6.0,9.0,40.9,4.0,17.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,3.0,12.0,59.0,15.0,0.0,74.0,100.0,3.0,0.0,333.0,170.0,4.0,0.0,0.0,1.0,57.0,53.0,93.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,100.0
8,Nicola Murru,29.0,it ITA,LB,24-041,76.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,53.0,11.0,4.0,0.0,1.0,0.1,0.1,0.1,2.0,1.0,39.0,46.0,84.8,4.0,36.0,6.0,0.0,0.0,760.0,305.0,17.0,19.0,89.5,15.0,18.0,83.3,7.0,9.0,77.8,1.0,4.0,0.0,0.0,40.0,6.0,1.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,8.0,5.0,37.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,33.3,2.0,2.0,18.2,2.0,6.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,14.0,29.0,16.0,1.0,48.0,0.0,0.0,0.0,142.0,71.0,3.0,0.0,0.0,0.0,38.0,35.0,92.1,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
9,Júnior Tavares,22.0,br BRA,LB,22-172,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,15.0,0.0,1.0,1.0,236.0,125.0,10.0,10.0,100.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,10.0,1.0,0.0,16.0,100.0,1.0,0.0,71.0,30.0,0.0,0.0,0.0,0.0,12.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
