,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Florian Kainz,7.0,at AUT,"LW,FW",25-361,54.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26.0,3.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,11.0,19.0,57.9,1.0,20.0,1.0,0.0,4.0,202.0,39.0,5.0,7.0,71.4,5.0,6.0,83.3,1.0,4.0,25.0,0.0,0.0,1.0,0.0,16.0,3.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,3.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,14.0,14.0,1.0,24.0,0.0,1.0,0.0,59.0,26.0,1.0,0.0,1.0,0.0,26.0,22.0,84.6,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,Claudio Pizarro,4.0,pe PER,"LW,AM",40-017,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,23.0,73.9,3.0,20.0,0.0,0.0,0.0,307.0,98.0,7.0,11.0,63.6,8.0,10.0,80.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,23.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,6.0,6.0,14.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,17.0,10.0,0.0,29.0,0.0,0.0,0.0,51.0,22.0,0.0,0.0,2.0,1.0,28.0,25.0,89.3,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0
2,Max Kruse,10.0,de GER,FW,30-215,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,43.0,57.0,75.4,5.0,60.0,6.0,0.0,1.0,1007.0,191.0,16.0,19.0,84.2,17.0,21.0,81.0,10.0,16.0,62.5,1.0,5.0,1.0,0.0,55.0,2.0,0.0,0.0,2.0,7.0,3.0,1.0,0.0,0.0,0.0,35.0,8.0,14.0,35.0,20.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,50.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,42.0,25.0,2.0,66.0,0.0,0.0,0.0,211.0,77.0,1.0,1.0,2.0,3.0,67.0,60.0,89.6,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
3,Yuya Osako,8.0,jp JPN,"RW,FW",28-155,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,57.9,1.0,20.0,3.0,1.0,1.0,193.0,70.0,5.0,7.0,71.4,4.0,8.0,50.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,6.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,6.0,13.0,5.0,0.0,23.0,100.0,1.0,0.0,77.0,35.0,1.0,0.0,1.0,1.0,18.0,17.0,94.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
4,Sebastian Langkamp,15.0,de GER,"CB,RW",30-278,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,54.5,0.0,3.0,0.0,0.0,0.0,74.0,15.0,4.0,6.0,66.7,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,10.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
5,Davy Klaassen,30.0,nl NED,"CM,LM,DM",25-241,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,39.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,26.0,31.0,83.9,1.0,25.0,0.0,1.0,1.0,488.0,112.0,14.0,17.0,82.4,8.0,9.0,88.9,4.0,5.0,80.0,0.0,1.0,0.0,0.0,30.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,7.0,6.0,22.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,100.0,0.0,2.0,33.3,2.0,3.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,6.0,22.0,12.0,0.0,38.0,100.0,1.0,0.0,42.0,8.0,0.0,0.0,0.0,0.0,25.0,22.0,88.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
6,Nuri Şahin,17.0,tr TUR,"DM,CM",30-045,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,40.0,50.0,80.0,3.0,39.0,1.0,0.0,0.0,781.0,182.0,18.0,20.0,90.0,17.0,22.0,77.3,5.0,8.0,62.5,1.0,5.0,0.0,0.0,48.0,2.0,2.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,37.0,4.0,9.0,38.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,3.0,37.5,3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,24.0,26.0,4.0,0.0,52.0,0.0,0.0,0.0,60.0,39.0,0.0,0.0,0.0,0.0,38.0,38.0,100.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,100.0
7,Kevin Möhwald,6.0,de GER,DM,25-109,13.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,9.0,12.0,75.0,2.0,12.0,0.0,0.0,0.0,139.0,60.0,6.0,6.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,15.0,0.0,0.0,0.0,33.0,20.0,0.0,0.0,0.0,1.0,12.0,12.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8,Maximilian Eggestein,35.0,de GER,"CM,RM,AM",21-316,90.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,44.0,8.0,4.0,0.0,2.0,0.1,0.1,0.1,2.0,0.0,25.0,32.0,78.1,2.0,31.0,1.0,0.0,0.0,443.0,209.0,11.0,13.0,84.6,11.0,14.0,78.6,3.0,5.0,60.0,1.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,6.0,3.0,25.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,4.0,25.0,3.0,1.0,12.5,5.0,2.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,15.0,16.0,15.0,3.0,44.0,0.0,0.0,0.0,94.0,44.0,1.0,0.0,0.0,1.0,32.0,29.0,90.6,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
9,Ludwig Augustinsson,5.0,se SWE,"LB,WB",24-182,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,7.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,58.0,68.0,85.3,4.0,45.0,3.0,0.0,1.0,1059.0,497.0,23.0,27.0,85.2,28.0,31.0,90.3,7.0,10.0,70.0,0.0,3.0,1.0,0.0,53.0,15.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,34.0,22.0,12.0,42.0,6.0,6.0,14.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,28.6,3.0,1.0,3.0,1.0,0.0,3.0,3.0,1.0,0.0,3.0,24.0,40.0,20.0,1.0,67.0,0.0,0.0,0.0,129.0,61.0,0.0,0.0,2.0,1.0,51.0,49.0,96.1,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
