,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Charlie Austin,10.0,eng ENG,FW,29-038,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,10.0,70.0,0.0,12.0,0.0,1.0,1.0,100.0,2.0,3.0,4.0,75.0,1.0,2.0,50.0,1.0,2.0,50.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,6.0,0.0,16.0,100.0,1.0,0.0,35.0,13.0,0.0,0.0,1.0,1.0,22.0,12.0,54.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,28.6
1,Manolo Gabbiadini,20.0,it ITA,FW,26-259,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,2.0,5.0,40.0,0.0,3.0,1.0,0.0,0.0,15.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,6.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,9.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,20.0
2,Nathan Redmond,22.0,eng ENG,"LW,RM",24-159,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,52.0,13.0,2.0,0.0,1.0,0.1,0.1,0.0,5.0,0.0,29.0,38.0,76.3,3.0,46.0,14.0,3.0,9.0,569.0,133.0,15.0,16.0,93.8,8.0,12.0,66.7,5.0,9.0,55.6,1.0,2.0,1.0,0.0,37.0,1.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,23.0,4.0,11.0,2.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,46.2,1.0,9.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,30.0,26.0,3.0,51.0,33.3,4.0,1.0,350.0,256.0,5.0,2.0,1.0,1.0,44.0,36.0,81.8,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
3,Stuart Armstrong,17.0,sct SCO,RW,26-135,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,11.0,14.0,78.6,0.0,17.0,2.0,0.0,2.0,297.0,75.0,4.0,5.0,80.0,3.0,3.0,100.0,3.0,5.0,60.0,2.0,1.0,0.0,0.0,12.0,2.0,0.0,0.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0,10.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.1,4.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,11.0,8.0,2.0,18.0,0.0,0.0,0.0,103.0,65.0,1.0,1.0,2.0,0.0,20.0,15.0,75.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4,Danny Ings,9.0,eng ENG,FW,26-020,35.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,27.0,2.0,1.0,0.0,0.0,0.1,0.1,0.4,4.0,0.0,15.0,19.0,78.9,2.0,22.0,5.0,2.0,2.0,311.0,82.0,8.0,9.0,88.9,2.0,4.0,50.0,5.0,5.0,100.0,4.0,2.0,2.0,1.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,1.0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,14.0,4.0,27.0,100.0,2.0,0.0,155.0,61.0,2.0,0.0,4.0,0.0,29.0,25.0,86.2,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,75.0
5,Mario Lemina,18.0,ga GAB,"CM,DM",24-345,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,58.0,12.0,0.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,41.0,50.0,82.0,2.0,43.0,5.0,0.0,2.0,663.0,151.0,19.0,21.0,90.5,15.0,16.0,93.8,3.0,9.0,33.3,0.0,4.0,0.0,0.0,49.0,1.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,38.0,6.0,6.0,13.0,35.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,39.0,20.0,3.0,57.0,0.0,0.0,1.0,276.0,129.0,3.0,0.0,0.0,0.0,50.0,47.0,94.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
6,Oriol Romeu,14.0,es ESP,"CM,DM",26-322,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,39.0,46.0,84.8,3.0,35.0,7.0,0.0,0.0,636.0,143.0,19.0,21.0,90.5,16.0,20.0,80.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,46.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,7.0,3.0,38.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,66.7,1.0,3.0,23.1,2.0,10.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,3.0,10.0,40.0,10.0,1.0,55.0,0.0,0.0,0.0,183.0,110.0,3.0,0.0,0.0,0.0,36.0,36.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,33.3
7,Ryan Bertrand,21.0,eng ENG,"WB,LB",29-007,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,7.0,3.0,0.0,2.0,0.0,0.0,0.1,4.0,0.0,31.0,41.0,75.6,3.0,25.0,7.0,0.0,0.0,365.0,128.0,19.0,19.0,100.0,8.0,15.0,53.3,0.0,2.0,0.0,2.0,2.0,1.0,1.0,31.0,10.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,9.0,12.0,28.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,100.0,0.0,4.0,57.1,2.0,1.0,4.0,1.0,0.0,1.0,3.0,2.0,0.0,3.0,9.0,20.0,24.0,1.0,40.0,0.0,0.0,0.0,190.0,89.0,3.0,1.0,0.0,0.0,32.0,26.0,81.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3
8,Cédric Soares,2.0,pt POR,WB,26-346,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,13.0,16.0,81.3,0.0,10.0,1.0,0.0,0.0,186.0,26.0,8.0,9.0,88.9,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,1.0,10.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.1,3.0,5.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,7.0,7.0,9.0,1.0,18.0,0.0,0.0,0.0,33.0,21.0,1.0,0.0,0.0,0.0,13.0,10.0,76.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,25.0
9,Mohamed Elyounoussi,11.0,no NOR,LM,24-008,35.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,4.0,0.0,2.0,1.0,0.3,0.3,0.4,7.0,0.0,15.0,21.0,71.4,1.0,16.0,7.0,0.0,0.0,301.0,147.0,7.0,9.0,77.8,4.0,4.0,100.0,4.0,8.0,50.0,5.0,0.0,1.0,1.0,14.0,7.0,0.0,0.0,1.0,3.0,2.0,6.0,1.0,4.0,1.0,10.0,2.0,9.0,4.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,100.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,22.0,2.0,22.0,0.0,0.0,0.0,124.0,86.0,2.0,1.0,1.0,2.0,21.0,18.0,85.7,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,33.3
