,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Lois Diony,9.0,fr FRA,FW,25-242,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,33.3,0.0,3.0,0.0,0.0,0.0,7.0,3.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,42.9,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Timothée Kolodziejczak,5.0,fr FRA,CB,26-322,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,38.0,81.6,3.0,33.0,0.0,0.0,0.0,623.0,277.0,6.0,8.0,75.0,23.0,25.0,92.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,37.0,1.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,4.0,32.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,8.0,40.0,12.0,1.0,0.0,47.0,0.0,0.0,0.0,284.0,180.0,0.0,0.0,0.0,0.0,32.0,31.0,96.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2,Rémy Cabella,7.0,fr FRA,"FW,LW",28-164,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.0,30.0,2.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,42.0,48.0,87.5,3.0,51.0,7.0,5.0,5.0,636.0,106.0,26.0,27.0,96.3,16.0,18.0,88.9,0.0,3.0,0.0,2.0,2.0,2.0,0.0,47.0,1.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,8.0,3.0,9.0,35.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,20.0,4.0,4.0,13.3,13.0,13.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,21.0,36.0,11.0,1.0,58.0,100.0,5.0,1.0,360.0,246.0,3.0,1.0,1.0,0.0,46.0,41.0,89.1,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
3,Romain Hamouma,21.0,fr FRA,"RW,RM",31-143,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,3.0,0.2,0.2,0.0,0.0,0.0,8.0,10.0,80.0,1.0,9.0,2.0,0.0,1.0,103.0,16.0,6.0,7.0,85.7,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,10.0,2.0,1.0,15.0,0.0,0.0,0.0,41.0,26.0,0.0,0.0,0.0,1.0,15.0,8.0,53.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7
4,Kévin Monnet-Paquet,22.0,fr FRA,RM,30-000,53.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,2.0,0.0,0.0,0.2,1.0,1.0,8.0,13.0,61.5,0.0,17.0,0.0,0.0,0.0,119.0,18.0,6.0,9.0,66.7,1.0,2.0,50.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.6,10.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0,9.0,6.0,4.0,20.0,0.0,0.0,0.0,48.0,22.0,0.0,0.0,1.0,2.0,28.0,15.0,53.6,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
5,Wahbi Khazri,10.0,tn TUN,"LM,AM",27-192,90.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,38.0,17.0,2.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,17.0,25.0,68.0,2.0,31.0,7.0,2.0,2.0,331.0,60.0,6.0,8.0,75.0,5.0,7.0,71.4,4.0,7.0,57.1,1.0,2.0,0.0,0.0,21.0,4.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,16.0,2.0,7.0,0.0,24.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,11.8,3.0,11.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,18.0,2.0,33.0,100.0,2.0,0.0,158.0,68.0,1.0,0.0,3.0,3.0,44.0,29.0,65.9,9.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
6,Yann M'Vila,6.0,fr FRA,"CM,DM",28-051,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,71.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,50.0,61.0,82.0,1.0,51.0,0.0,0.0,0.0,946.0,237.0,20.0,23.0,87.0,23.0,25.0,92.0,6.0,12.0,50.0,0.0,3.0,0.0,0.0,59.0,2.0,2.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,6.0,6.0,53.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,11.8,10.0,5.0,2.0,0.0,0.0,1.0,2.0,4.0,0.0,5.0,34.0,36.0,4.0,0.0,69.0,0.0,0.0,0.0,159.0,51.0,0.0,0.0,0.0,1.0,49.0,49.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0
7,Ole Selnæs,17.0,no NOR,"CM,DM",24-043,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,40.0,85.0,1.0,34.0,2.0,0.0,0.0,824.0,230.0,10.0,13.0,76.9,15.0,16.0,93.8,9.0,9.0,100.0,0.0,4.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,4.0,7.0,32.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,2.0,12.5,7.0,8.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,14.0,29.0,3.0,0.0,43.0,0.0,0.0,0.0,156.0,84.0,0.0,0.0,0.0,0.0,33.0,32.0,97.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
8,Makhtar Gueye,31.0,sn SEN,CM,20-258,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Gabriel Silva,11.0,br BRA,LB,27-098,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,15.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,70.0,1.0,25.0,1.0,0.0,0.0,464.0,240.0,16.0,18.0,88.9,8.0,11.0,72.7,3.0,9.0,33.3,0.0,3.0,0.0,0.0,34.0,6.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,14.0,25.0,6.0,2.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,20.0,11.0,3.0,1.0,0.0,0.0,4.0,2.0,5.0,0.0,11.0,29.0,18.0,5.0,0.0,45.0,0.0,0.0,0.0,143.0,67.0,0.0,0.0,1.0,0.0,18.0,17.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
