,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Anastasios Donis,11.0,gr GRE,FW,22-158,45.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,26.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,18.0,20.0,90.0,1.0,18.0,2.0,1.0,2.0,267.0,58.0,10.0,11.0,90.9,7.0,8.0,87.5,1.0,1.0,100.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,4.0,3.0,1.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,3.0,23.0,50.0,1.0,0.0,63.0,28.0,0.0,1.0,1.0,2.0,38.0,22.0,57.9,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
1,Mario Gómez,27.0,de GER,FW,33-208,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,2.0,16.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Nicolás González,22.0,ar ARG,"AM,FW",20-303,90.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,40.0,14.0,1.0,0.0,0.0,0.2,0.2,0.3,3.0,2.0,23.0,34.0,67.6,2.0,27.0,7.0,1.0,1.0,331.0,39.0,14.0,19.0,73.7,9.0,12.0,75.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,33.0,1.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,24.0,5.0,5.0,23.0,6.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,7.1,0.0,5.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,18.0,24.0,5.0,39.0,100.0,1.0,0.0,296.0,142.0,5.0,0.0,1.0,1.0,48.0,34.0,70.8,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,75.0
3,Steven Zuber,9.0,ch SUI,"LW,LM",27-170,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,60.0,9.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,1.0,35.0,47.0,74.5,4.0,47.0,8.0,0.0,0.0,562.0,127.0,14.0,18.0,77.8,18.0,24.0,75.0,2.0,4.0,50.0,1.0,1.0,2.0,1.0,45.0,2.0,0.0,0.0,11.0,1.0,4.0,1.0,0.0,0.0,0.0,33.0,5.0,9.0,16.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.2,1.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,22.0,37.0,1.0,58.0,0.0,0.0,0.0,260.0,124.0,2.0,0.0,3.0,2.0,63.0,47.0,74.6,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
4,Alexander Esswein,14.0,de GER,"RW,RM",28-315,87.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,57.0,11.0,3.0,1.0,2.0,0.1,0.1,0.3,6.0,1.0,30.0,44.0,68.2,2.0,42.0,1.0,3.0,3.0,535.0,127.0,15.0,17.0,88.2,12.0,18.0,66.7,3.0,8.0,37.5,3.0,1.0,3.0,2.0,41.0,3.0,0.0,0.0,8.0,0.0,7.0,3.0,0.0,0.0,0.0,21.0,11.0,12.0,7.0,36.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,54.5,1.0,5.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,5.0,17.0,38.0,5.0,54.0,100.0,3.0,0.0,219.0,109.0,1.0,1.0,4.0,2.0,53.0,44.0,83.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
5,Andreas Beck,32.0,de GER,RW,31-327,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Santiago Ascacíbar,6.0,ar ARG,DM,21-343,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,26.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,64.0,74.0,86.5,10.0,58.0,11.0,1.0,1.0,1216.0,266.0,17.0,21.0,81.0,39.0,43.0,90.7,6.0,8.0,75.0,0.0,9.0,1.0,0.0,73.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,54.0,11.0,9.0,7.0,60.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,19.2,8.0,17.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,13.0,54.0,18.0,0.0,81.0,100.0,1.0,0.0,267.0,154.0,1.0,0.0,0.0,0.0,57.0,53.0,93.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,19.0,1.0,3.0,25.0
7,Christian Gentner,20.0,de GER,DM,33-173,57.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,57.0,12.0,1.0,0.0,1.0,0.3,0.3,0.0,2.0,0.0,37.0,45.0,82.2,6.0,33.0,7.0,0.0,0.0,865.0,200.0,9.0,9.0,100.0,19.0,24.0,79.2,9.0,12.0,75.0,0.0,5.0,1.0,0.0,45.0,0.0,0.0,1.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,28.0,7.0,10.0,6.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,4.0,6.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,4.0,11.0,30.0,20.0,5.0,56.0,0.0,0.0,0.0,204.0,125.0,1.0,0.0,0.0,3.0,45.0,41.0,91.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
8,Daniel Didavi,10.0,de GER,DM,28-347,33.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,9.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,23.0,26.0,88.5,1.0,20.0,2.0,0.0,0.0,425.0,79.0,12.0,13.0,92.3,9.0,9.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,22.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,3.0,19.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,4.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,18.0,8.0,2.0,27.0,0.0,0.0,0.0,81.0,52.0,1.0,0.0,1.0,1.0,23.0,21.0,91.3,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
9,Emiliano Insúa,2.0,ar ARG,LB,30-027,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,111.0,16.0,2.0,1.0,3.0,0.1,0.1,0.0,2.0,0.0,78.0,96.0,81.3,3.0,68.0,10.0,2.0,3.0,1507.0,349.0,29.0,36.0,80.6,44.0,49.0,89.8,5.0,11.0,45.5,1.0,3.0,2.0,1.0,79.0,17.0,3.0,0.0,17.0,4.0,5.0,2.0,0.0,0.0,0.0,60.0,18.0,18.0,66.0,13.0,3.0,12.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,37.5,6.0,7.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0,4.0,22.0,60.0,36.0,4.0,94.0,66.7,2.0,0.0,393.0,194.0,2.0,2.0,0.0,4.0,72.0,68.0,94.4,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,66.7
