,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Andrea Belotti,9.0,it ITA,FW,25-065,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,39.0,16.0,0.0,1.0,2.0,0.4,0.4,0.0,4.0,0.0,15.0,22.0,68.2,1.0,26.0,1.0,3.0,7.0,221.0,41.0,10.0,14.0,71.4,2.0,4.0,50.0,2.0,3.0,66.7,1.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.8,0.0,8.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,18.0,21.0,4.0,38.0,42.9,3.0,0.0,75.0,22.0,0.0,0.0,4.0,1.0,64.0,29.0,45.3,12.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,5.0,4.0,5.0,44.4
1,Iago Falque,14.0,es ESP,FW,29-050,80.0,1.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,52.0,27.0,0.0,2.0,3.0,0.4,0.4,0.2,5.0,0.0,20.0,31.0,64.5,3.0,38.0,7.0,2.0,4.0,396.0,153.0,7.0,11.0,63.6,8.0,12.0,66.7,5.0,8.0,62.5,3.0,3.0,2.0,2.0,30.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,18.0,4.0,9.0,24.0,5.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,25.9,4.0,17.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,5.0,23.0,26.0,7.0,50.0,50.0,2.0,0.0,286.0,170.0,1.0,3.0,2.0,2.0,56.0,31.0,55.4,10.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,11.0,1.0,4.0,20.0
2,Álex Berenguer,21.0,es ESP,FW,23-234,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,60.0,0.0,6.0,1.0,0.0,0.0,91.0,29.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,2.0,7.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,2.0,7.0,5.0,71.4,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Soualiho Meïté,23.0,fr FRA,CM,24-343,65.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,28.0,2.0,1.0,0.0,0.0,0.0,0.1,2.0,1.0,20.0,23.0,87.0,2.0,31.0,4.0,4.0,7.0,301.0,111.0,11.0,11.0,100.0,5.0,6.0,83.3,2.0,2.0,100.0,1.0,1.0,1.0,1.0,23.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,4.0,4.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,10.0,35.7,8.0,15.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,22.0,10.0,1.0,32.0,57.1,4.0,0.0,154.0,61.0,2.0,0.0,1.0,1.0,37.0,22.0,59.5,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,42.9
4,Cristian Ansaldi,15.0,ar ARG,CM,32-156,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,1.0,5.0,2.0,1.0,3.0,35.0,14.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,66.7,1.0,3.0,33.3,1.0,5.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,7.0,33.3,1.0,0.0,35.0,29.0,1.0,0.0,0.0,0.0,6.0,3.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Saša Lukić,7.0,rs SRB,CM,22-194,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,45.0,4.0,1.0,1.0,0.0,0.0,0.1,3.0,0.0,35.0,40.0,87.5,3.0,28.0,4.0,1.0,1.0,560.0,112.0,17.0,18.0,94.4,9.0,11.0,81.8,5.0,6.0,83.3,1.0,3.0,1.0,1.0,39.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,6.0,5.0,6.0,29.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,6.0,66.7,2.0,11.0,24.4,11.0,31.0,3.0,0.0,0.0,1.0,5.0,1.0,0.0,2.0,10.0,33.0,12.0,0.0,52.0,100.0,1.0,0.0,166.0,78.0,0.0,0.0,1.0,1.0,32.0,24.0,75.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,18.0,1.0,5.0,16.7
6,Daniele Baselli,8.0,it ITA,CM,26-348,89.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,31.0,2.0,2.0,2.0,0.1,0.1,0.0,3.0,0.0,32.0,41.0,78.0,4.0,29.0,1.0,1.0,1.0,452.0,130.0,17.0,19.0,89.5,12.0,15.0,80.0,1.0,3.0,33.3,1.0,3.0,1.0,1.0,39.0,2.0,0.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,25.0,5.0,11.0,6.0,30.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,8.0,25.0,6.0,10.0,32.3,11.0,14.0,6.0,0.0,0.0,2.0,4.0,2.0,0.0,4.0,13.0,29.0,13.0,0.0,51.0,100.0,1.0,0.0,95.0,33.0,1.0,0.0,1.0,2.0,28.0,22.0,78.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,1.0,75.0
7,Vincenzo Millico,72.0,it ITA,CM,18-195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Ola Aina,34.0,ng NGA,WB,22-138,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,21.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,21.0,39.0,53.8,4.0,28.0,5.0,0.0,0.0,334.0,158.0,11.0,13.0,84.6,7.0,14.0,50.0,2.0,10.0,20.0,0.0,2.0,2.0,1.0,30.0,9.0,1.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,18.0,3.0,18.0,9.0,20.0,1.0,8.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,8.0,38.1,13.0,5.0,3.0,0.0,0.0,3.0,5.0,1.0,0.0,3.0,20.0,27.0,11.0,0.0,44.0,0.0,0.0,0.0,225.0,167.0,2.0,0.0,0.0,2.0,28.0,22.0,78.6,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
9,Lorenzo De Silvestri,29.0,it ITA,WB,30-276,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,53.0,18.0,0.0,0.0,2.0,0.2,0.2,0.5,5.0,0.0,18.0,41.0,43.9,7.0,18.0,2.0,0.0,0.0,336.0,214.0,9.0,16.0,56.3,7.0,19.0,36.8,2.0,4.0,50.0,3.0,4.0,0.0,0.0,34.0,7.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,11.0,19.0,3.0,15.0,9.0,7.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,16.7,5.0,6.0,7.0,0.0,0.0,2.0,0.0,4.0,0.0,5.0,12.0,27.0,17.0,5.0,46.0,0.0,0.0,0.0,103.0,45.0,0.0,0.0,2.0,1.0,33.0,29.0,87.9,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,8.0,1.0,88.9
