,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Anthony Martial,11.0,fr FRA,FW,23-039,72.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,31.0,10.0,0.0,0.0,1.0,0.2,0.2,0.3,2.0,0.0,17.0,26.0,65.4,1.0,26.0,6.0,1.0,2.0,204.0,62.0,13.0,17.0,76.5,4.0,8.0,50.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,5.0,4.0,0.0,22.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,1.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,14.0,4.0,31.0,50.0,1.0,0.0,178.0,116.0,1.0,3.0,0.0,1.0,35.0,28.0,80.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,100.0
1,Romelu Lukaku,9.0,be BEL,FW,25-245,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,5.0,9.0,55.6,0.0,7.0,1.0,1.0,1.0,63.0,5.0,3.0,5.0,60.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,1.0,11.0,100.0,1.0,0.0,12.0,4.0,0.0,1.0,0.0,1.0,15.0,10.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,75.0
2,Marcus Rashford,10.0,eng ENG,"FW,LW",21-074,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,34.0,8.0,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,14.0,17.0,82.4,0.0,27.0,6.0,1.0,2.0,210.0,31.0,6.0,7.0,85.7,8.0,9.0,88.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,2.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,12.5,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,12.0,22.0,4.0,34.0,50.0,1.0,0.0,136.0,98.0,2.0,3.0,5.0,3.0,53.0,26.0,49.1,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,20.0
3,Jesse Lingard,14.0,eng ENG,"AM,RW",26-029,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,14.0,2.0,1.0,1.0,0.2,0.2,0.0,3.0,1.0,27.0,33.0,81.8,3.0,32.0,1.0,1.0,1.0,384.0,98.0,17.0,20.0,85.0,5.0,5.0,100.0,3.0,4.0,75.0,0.0,4.0,1.0,0.0,32.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,6.0,4.0,2.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,5.0,35.7,2.0,8.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,27.0,12.0,1.0,40.0,100.0,1.0,0.0,142.0,33.0,1.0,0.0,0.0,2.0,45.0,26.0,57.8,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
4,Diogo Dalot,20.0,pt POR,RW,19-301,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,3.0,0.0,0.0,0.0,74.0,29.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
5,Paul Pogba,6.0,fr FRA,"CM,AM",25-304,89.0,0.0,1.0,0.0,0.0,6.0,5.0,1.0,0.0,60.0,14.0,1.0,0.0,2.0,0.6,0.6,0.3,8.0,1.0,29.0,35.0,82.9,5.0,54.0,5.0,4.0,6.0,584.0,147.0,13.0,16.0,81.3,12.0,12.0,100.0,4.0,7.0,57.1,3.0,4.0,2.0,0.0,35.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,8.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,35.7,5.0,7.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,13.0,27.0,25.0,6.0,60.0,66.7,5.0,1.0,163.0,117.0,1.0,0.0,4.0,6.0,49.0,44.0,89.8,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
6,Scott McTominay,39.0,sct SCO,AM,22-036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,14.0,6.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Ander Herrera,21.0,es ESP,"CM,DM",29-152,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,14.0,1.0,2.0,3.0,0.0,0.0,0.1,3.0,0.0,41.0,45.0,91.1,5.0,39.0,5.0,3.0,3.0,695.0,200.0,22.0,24.0,91.7,14.0,14.0,100.0,4.0,6.0,66.7,2.0,2.0,0.0,0.0,44.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,4.0,4.0,39.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,28.6,5.0,8.0,1.0,0.0,0.0,3.0,3.0,6.0,0.0,5.0,19.0,30.0,13.0,1.0,57.0,100.0,3.0,0.0,164.0,69.0,1.0,0.0,0.0,0.0,34.0,32.0,94.1,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
8,Nemanja Matić,31.0,rs SRB,DM,30-165,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,19.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,34.0,73.5,1.0,30.0,2.0,1.0,1.0,503.0,192.0,10.0,13.0,76.9,9.0,10.0,90.0,5.0,10.0,50.0,0.0,4.0,0.0,0.0,34.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,4.0,10.0,30.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,3.0,15.8,8.0,10.0,1.0,1.0,0.0,2.0,8.0,3.0,0.0,7.0,19.0,30.0,5.0,0.0,48.0,100.0,1.0,0.0,150.0,55.0,1.0,0.0,0.0,2.0,26.0,25.0,96.2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0
9,Luke Shaw,23.0,eng ENG,LB,23-185,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,50.0,57.0,87.7,5.0,38.0,4.0,1.0,1.0,868.0,534.0,25.0,28.0,89.3,20.0,21.0,95.2,4.0,7.0,57.1,1.0,4.0,1.0,0.0,45.0,12.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,11.0,44.0,2.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,1.0,14.3,6.0,1.0,0.0,0.0,0.0,2.0,3.0,9.0,0.0,9.0,26.0,38.0,9.0,0.0,60.0,100.0,1.0,0.0,202.0,109.0,1.0,0.0,0.0,0.0,36.0,35.0,97.2,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
