,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Júlio Tavares,11.0,cv CPV,FW,30-013,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,40.0,12.0,0.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,19.0,27.0,70.4,1.0,29.0,1.0,1.0,4.0,293.0,40.0,8.0,13.0,61.5,10.0,13.0,76.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,10.0,4.0,8.0,9.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,0.0,8.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,21.0,8.0,36.0,25.0,1.0,0.0,74.0,21.0,0.0,1.0,4.0,1.0,53.0,32.0,60.4,8.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,3.0,5.0,6.0,45.5
1,Benjamin Jeannot,29.0,fr FRA,FW,26-314,62.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,10.0,0.0,0.0,0.0,0.3,0.3,0.0,2.0,0.0,17.0,26.0,65.4,4.0,25.0,2.0,0.0,0.0,324.0,92.0,5.0,6.0,83.3,9.0,11.0,81.8,2.0,3.0,66.7,0.0,2.0,0.0,0.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,3.0,6.0,17.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,30.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,19.0,12.0,4.0,32.0,0.0,0.0,0.0,76.0,27.0,0.0,0.0,1.0,1.0,37.0,27.0,73.0,7.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
2,Wesley Saïd,9.0,fr FRA,FW,23-227,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,13.0,92.3,3.0,16.0,5.0,0.0,1.0,231.0,113.0,6.0,7.0,85.7,5.0,5.0,100.0,1.0,1.0,100.0,0.0,3.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,2.0,16.0,0.0,0.0,0.0,71.0,52.0,0.0,0.0,1.0,1.0,19.0,13.0,68.4,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Naïm Sliti,10.0,tn TUN,LM,26-128,90.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,56.0,9.0,1.0,0.0,0.0,0.2,0.2,0.7,9.0,1.0,37.0,47.0,78.7,9.0,46.0,11.0,4.0,4.0,652.0,281.0,14.0,15.0,93.3,20.0,22.0,90.9,3.0,8.0,37.5,5.0,2.0,6.0,1.0,38.0,9.0,3.0,0.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,33.0,5.0,9.0,3.0,42.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,11.1,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,26.0,34.0,1.0,46.0,100.0,4.0,0.0,287.0,217.0,6.0,0.0,3.0,2.0,59.0,38.0,64.4,7.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0
4,Wesley Lautoa,24.0,nc NCL,CM,31-099,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,65.0,95.4,4.0,63.0,8.0,2.0,3.0,1228.0,280.0,22.0,24.0,91.7,29.0,29.0,100.0,11.0,12.0,91.7,0.0,4.0,1.0,0.0,63.0,2.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,5.0,6.0,50.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,3.0,66.7,1.0,3.0,30.0,2.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,16.0,59.0,6.0,0.0,70.0,66.7,3.0,0.0,399.0,230.0,1.0,0.0,0.0,1.0,52.0,52.0,100.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,50.0
5,Jordan Marié,14.0,fr FRA,CM,27-064,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,3.0,0.0,0.0,0.0,120.0,22.0,1.0,1.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
6,Mehdi Abeid,8.0,dz ALG,CM,26-118,78.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,71.0,5.0,2.0,3.0,1.0,0.5,0.5,0.0,2.0,0.0,52.0,62.0,83.9,2.0,60.0,2.0,0.0,0.0,924.0,175.0,27.0,31.0,87.1,18.0,20.0,90.0,7.0,10.0,70.0,0.0,4.0,0.0,0.0,60.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,53.0,6.0,3.0,5.0,56.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,25.0,3.0,1.0,20.0,1.0,3.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,10.0,49.0,13.0,2.0,69.0,0.0,0.0,0.0,247.0,129.0,0.0,0.0,1.0,1.0,56.0,52.0,92.9,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
7,Frédéric Sammaritano,7.0,fr FRA,CM,32-254,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,7.0,1.0,0.0,0.0,85.0,14.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,24.0,14.0,0.0,0.0,0.0,0.0,8.0,7.0,87.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,Romain Amalfitano,20.0,fr FRA,RM,29-097,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,15.0,1.0,3.0,1.0,0.1,0.1,0.3,4.0,0.0,30.0,36.0,83.3,2.0,38.0,5.0,1.0,2.0,577.0,129.0,16.0,17.0,94.1,8.0,13.0,61.5,6.0,6.0,100.0,2.0,4.0,1.0,0.0,34.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,28.0,1.0,7.0,3.0,31.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,26.7,1.0,11.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,5.0,32.0,12.0,0.0,46.0,50.0,1.0,0.0,220.0,93.0,1.0,0.0,1.0,1.0,38.0,33.0,86.8,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
9,Oussama Haddadi,5.0,tn TUN,LB,26-308,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,6.0,0.0,1.0,2.0,0.0,0.0,0.1,3.0,0.0,53.0,66.0,80.3,4.0,56.0,8.0,0.0,1.0,805.0,211.0,31.0,33.0,93.9,16.0,20.0,80.0,4.0,7.0,57.1,1.0,3.0,1.0,1.0,60.0,6.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,8.0,15.0,48.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,4.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,13.0,45.0,22.0,2.0,70.0,0.0,0.0,0.0,272.0,164.0,3.0,1.0,2.0,1.0,61.0,55.0,90.2,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
