,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Yaya Sanogo,9.0,fr FRA,FW,26-098,66.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,23.0,20.0,0.0,0.0,2.0,0.2,0.2,0.2,3.0,0.0,9.0,13.0,69.2,0.0,13.0,0.0,0.0,0.0,94.0,4.0,6.0,8.0,75.0,2.0,2.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,1.0,9.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,19.0,9.0,23.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,3.0,1.0,30.0,16.0,53.3,7.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,75.0
1,Aaron Leya Iseka,10.0,be BEL,FW,21-171,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,1.0,0.0,1.0,0.0,0.0,0.4,1.0,0.0,5.0,6.0,83.3,0.0,5.0,0.0,0.0,0.0,56.0,0.0,5.0,5.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,10.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,16.0,5.0,31.3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
2,Max Gradel,7.0,ci CIV,LW,31-156,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,43.0,8.0,1.0,1.0,2.0,0.6,0.6,0.0,6.0,2.0,23.0,30.0,76.7,3.0,32.0,9.0,2.0,2.0,376.0,140.0,13.0,17.0,76.5,8.0,9.0,88.9,1.0,1.0,100.0,0.0,2.0,2.0,0.0,29.0,1.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,8.0,5.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,1.0,5.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,5.0,19.0,21.0,6.0,42.0,100.0,2.0,0.0,212.0,147.0,1.0,2.0,1.0,0.0,55.0,31.0,56.4,7.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,4.0,2.0,66.7
3,Mathieu Dossevi,14.0,tg TOG,RW,31-082,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,61.0,17.0,2.0,0.0,3.0,0.1,0.1,0.3,6.0,0.0,31.0,45.0,68.9,0.0,38.0,10.0,2.0,2.0,570.0,163.0,16.0,18.0,88.9,9.0,14.0,64.3,6.0,10.0,60.0,5.0,0.0,3.0,3.0,36.0,9.0,1.0,0.0,11.0,3.0,9.0,3.0,0.0,2.0,0.0,22.0,7.0,16.0,2.0,39.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,4.0,23.5,5.0,5.0,7.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,8.0,14.0,41.0,11.0,52.0,100.0,2.0,0.0,247.0,162.0,1.0,3.0,2.0,3.0,52.0,37.0,71.2,11.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
4,Jimmy Durmaz,21.0,se SWE,AM,30-044,90.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,64.0,10.0,1.0,0.0,3.0,1.2,0.4,0.1,6.0,1.0,39.0,51.0,76.5,7.0,42.0,12.0,1.0,2.0,615.0,224.0,24.0,25.0,96.0,10.0,14.0,71.4,4.0,9.0,44.4,2.0,2.0,3.0,1.0,44.0,7.0,4.0,0.0,16.0,3.0,4.0,3.0,0.0,3.0,0.0,31.0,7.0,13.0,37.0,11.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,20.0,2.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,5.0,35.0,28.0,6.0,57.0,50.0,1.0,1.0,184.0,107.0,2.0,1.0,0.0,2.0,49.0,45.0,91.8,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
5,Kalidou Sidibé,26.0,fr FRA,CM,20-097,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,76.5,0.0,14.0,0.0,0.0,1.0,230.0,53.0,7.0,8.0,87.5,4.0,6.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,2.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.1,10.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,13.0,3.0,2.0,23.0,0.0,0.0,0.0,30.0,6.0,0.0,0.0,2.0,1.0,17.0,14.0,82.4,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
6,John Bostock,15.0,tt TRI,CM,27-110,45.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,38.0,13.0,1.0,0.0,0.0,0.1,0.1,0.0,3.0,1.0,28.0,34.0,82.4,3.0,27.0,4.0,0.0,0.0,480.0,95.0,17.0,18.0,94.4,7.0,8.0,87.5,3.0,5.0,60.0,0.0,1.0,0.0,0.0,32.0,2.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,6.0,25.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,15.4,2.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,27.0,13.0,1.0,37.0,0.0,0.0,0.0,167.0,71.0,2.0,0.0,1.0,0.0,31.0,29.0,93.5,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
7,Ibrahim Sangaré,17.0,ci CIV,CM,21-154,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,63.0,22.0,2.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,42.0,52.0,80.8,3.0,48.0,5.0,1.0,2.0,951.0,400.0,16.0,17.0,94.1,16.0,18.0,88.9,10.0,16.0,62.5,1.0,9.0,2.0,1.0,50.0,2.0,2.0,0.0,13.0,3.0,2.0,0.0,0.0,0.0,0.0,26.0,8.0,18.0,3.0,47.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,31.8,8.0,12.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,16.0,38.0,12.0,2.0,62.0,50.0,1.0,0.0,217.0,110.0,0.0,0.0,1.0,2.0,46.0,42.0,91.3,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,15.0,2.0,3.0,40.0
8,Issiaga Sylla,12.0,gn GUI,LB,25-124,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,9.0,0.0,3.0,3.0,0.0,0.0,0.1,3.0,0.0,33.0,44.0,75.0,4.0,43.0,10.0,1.0,2.0,598.0,257.0,15.0,16.0,93.8,12.0,16.0,75.0,5.0,9.0,55.6,2.0,1.0,1.0,1.0,41.0,3.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,2.0,13.0,38.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,22.2,3.0,5.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,15.0,29.0,14.0,4.0,52.0,50.0,1.0,0.0,214.0,118.0,2.0,0.0,0.0,2.0,39.0,37.0,94.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
9,Christopher Jullien,6.0,fr FRA,CB,26-044,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,4.0,0.0,2.0,3.0,0.1,0.1,0.0,0.0,0.0,32.0,36.0,88.9,4.0,22.0,0.0,0.0,0.0,687.0,205.0,6.0,7.0,85.7,18.0,19.0,94.7,7.0,9.0,77.8,0.0,1.0,0.0,0.0,33.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,9.0,10.0,17.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,6.0,28.0,20.0,3.0,2.0,44.0,0.0,0.0,0.0,139.0,64.0,0.0,0.0,0.0,1.0,24.0,22.0,91.7,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,100.0
