,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Marko Šćepović,44.0,rs SRB,FW,27-204,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,1.0,0.0,1.0,0.0,0.0,0.2,2.0,1.0,8.0,14.0,57.1,1.0,13.0,2.0,0.0,0.0,139.0,21.0,3.0,6.0,50.0,2.0,4.0,50.0,2.0,2.0,100.0,1.0,1.0,0.0,0.0,11.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,8.3,1.0,16.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,10.0,8.0,3.0,16.0,0.0,0.0,0.0,57.0,20.0,0.0,0.0,0.0,2.0,29.0,13.0,44.8,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,Georgi Milanov,77.0,bg BUL,AM,26-297,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,6.0,13.0,46.2,1.0,16.0,3.0,2.0,3.0,89.0,29.0,3.0,6.0,50.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,1.0,4.5,2.0,15.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,13.0,7.0,2.0,20.0,66.7,3.0,0.0,109.0,76.0,1.0,1.0,0.0,3.0,32.0,12.0,37.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
2,István Kovács,10.0,hu HUN,RW,26-261,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,66.7,1.0,6.0,1.0,0.0,0.0,83.0,13.0,2.0,4.0,50.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,8.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,1.0,8.0,6.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Szabolcs Huszti,9.0,hu HUN,AM,35-239,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,34.0,2.0,1.0,1.0,0.0,0.0,0.1,3.0,0.0,10.0,13.0,76.9,1.0,12.0,0.0,0.0,0.0,189.0,63.0,3.0,5.0,60.0,6.0,6.0,100.0,1.0,2.0,50.0,2.0,0.0,1.0,0.0,9.0,4.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,9.0,1.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,7.0,28.6,5.0,5.0,14.7,17.0,15.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,9.0,9.0,1.0,19.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,2.0,0.0,13.0,10.0,76.9,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4,Armin Hodžić,15.0,ba BIH,AM,24-026,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,6.0,1.0,0.0,2.0,44.0,2.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,7.0,0.0,1.0,0.0,57.0,48.0,1.0,0.0,0.0,0.0,8.0,5.0,62.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Boban Nikolov,19.0,mk MKD,"CM,LW",24-138,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,23.0,4.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,11.0,17.0,64.7,1.0,17.0,2.0,1.0,1.0,207.0,46.0,5.0,6.0,83.3,3.0,5.0,60.0,2.0,4.0,50.0,1.0,1.0,0.0,0.0,16.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,4.0,10.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,33.3,2.0,3.0,13.0,11.0,11.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,9.0,14.0,5.0,3.0,27.0,100.0,1.0,0.0,55.0,20.0,0.0,1.0,1.0,1.0,22.0,16.0,72.7,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
6,Loïc Nego,11.0,hu HUN,"CM,DM",27-332,90.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,26.0,21.0,3.0,2.0,1.0,0.4,0.4,0.0,0.0,0.0,8.0,16.0,50.0,3.0,18.0,1.0,0.0,0.0,107.0,64.0,5.0,8.0,62.5,3.0,7.0,42.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,3.0,33.3,2.0,5.0,23.8,14.0,5.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,9.0,6.0,11.0,4.0,26.0,0.0,0.0,0.0,61.0,18.0,0.0,1.0,1.0,0.0,26.0,13.0,50.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
7,Anel Hadžić,8.0,ba BIH,DM,29-119,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,85.7,1.0,14.0,0.0,0.0,1.0,410.0,148.0,5.0,5.0,100.0,6.0,8.0,75.0,6.0,7.0,85.7,0.0,1.0,1.0,1.0,20.0,1.0,1.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,4.0,3.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,9.5,14.0,7.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,15.0,16.0,2.0,0.0,30.0,0.0,0.0,0.0,44.0,10.0,0.0,0.0,0.0,0.0,16.0,15.0,93.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
8,Máté Pátkai,17.0,hu HUN,DM,30-282,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,1.0,5.0,0.0,0.0,0.0,119.0,42.0,3.0,3.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
9,Stopira,22.0,cv CPV,LB,30-207,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,12.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,57.1,3.0,17.0,0.0,1.0,1.0,302.0,211.0,10.0,15.0,66.7,6.0,10.0,60.0,2.0,7.0,28.6,0.0,2.0,0.0,0.0,24.0,11.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,6.0,16.0,0.0,4.0,10.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,2.0,16.7,10.0,1.0,1.0,1.0,0.0,2.0,3.0,6.0,0.0,7.0,22.0,26.0,7.0,1.0,42.0,100.0,1.0,0.0,75.0,28.0,1.0,0.0,0.0,3.0,30.0,22.0,73.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,2.0,77.8
