,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Wout Weghorst,9.0,nl NED,FW,26-018,74.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,32.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,17.0,52.9,1.0,20.0,2.0,2.0,3.0,104.0,12.0,6.0,12.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,1.0,3.0,10.0,3.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0,55.0,1.0,14.0,5.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,17.0,14.0,1.0,31.0,66.7,2.0,0.0,57.0,42.0,1.0,0.0,3.0,3.0,43.0,20.0,46.5,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
1,Daniel Ginczek,33.0,de GER,FW,27-134,16.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,8.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
2,Josip Brekalo,7.0,hr CRO,LW,20-063,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,18.0,1.0,1.0,0.0,0.0,0.0,0.1,4.0,0.0,31.0,39.0,79.5,7.0,32.0,6.0,3.0,3.0,608.0,188.0,12.0,12.0,100.0,13.0,15.0,86.7,6.0,11.0,54.5,1.0,2.0,2.0,0.0,31.0,8.0,3.0,1.0,12.0,4.0,1.0,4.0,0.0,0.0,0.0,31.0,3.0,5.0,2.0,36.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,22.2,2.0,10.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,17.0,28.0,1.0,38.0,100.0,3.0,0.0,163.0,76.0,1.0,1.0,2.0,2.0,44.0,32.0,72.7,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Admir Mehmedi,14.0,ch SUI,LW,27-162,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,50.0,1.0,4.0,0.0,0.0,0.0,50.0,11.0,2.0,3.0,66.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,6.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,80.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Renato Steffen,8.0,ch SUI,RW,26-295,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,22.0,1.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,16.0,28.0,57.1,3.0,17.0,0.0,1.0,3.0,271.0,81.0,6.0,12.0,50.0,10.0,13.0,76.9,0.0,1.0,0.0,0.0,2.0,1.0,0.0,27.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,5.0,23.0,2.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,7.0,31.8,6.0,11.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,22.0,11.0,3.0,35.0,33.3,2.0,0.0,52.0,9.0,1.0,0.0,2.0,0.0,35.0,25.0,71.4,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
5,Maximilian Arnold,27.0,de GER,CM,24-090,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,49.0,14.0,3.0,2.0,2.0,0.0,0.0,0.3,4.0,1.0,22.0,36.0,61.1,3.0,22.0,3.0,0.0,0.0,485.0,168.0,8.0,10.0,80.0,6.0,13.0,46.2,7.0,10.0,70.0,3.0,1.0,3.0,1.0,31.0,5.0,2.0,0.0,10.0,2.0,4.0,3.0,0.0,0.0,0.0,21.0,7.0,8.0,25.0,6.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,4.0,2.0,14.3,3.0,9.0,2.0,1.0,0.0,1.0,5.0,1.0,0.0,2.0,11.0,20.0,19.0,1.0,44.0,0.0,0.0,0.0,87.0,53.0,0.0,1.0,2.0,0.0,35.0,26.0,74.3,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
6,Josuha Guilavogui,23.0,fr FRA,CM,27-340,45.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,16.0,4.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,7.0,12.0,58.3,1.0,4.0,1.0,0.0,0.0,131.0,30.0,3.0,4.0,75.0,4.0,6.0,66.7,0.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,5.0,7.0,5.0,1.0,16.0,0.0,0.0,0.0,29.0,18.0,1.0,0.0,0.0,0.0,7.0,7.0,100.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
7,Yannick Gerhardt,13.0,de GER,CM,24-165,45.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,17.0,6.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,6.0,13.0,46.2,1.0,5.0,0.0,0.0,0.0,92.0,44.0,3.0,6.0,50.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,33.3,3.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,8.0,7.0,3.0,17.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,1.0,0.0,16.0,11.0,68.8,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
8,Ignacio Camacho,4.0,es ESP,DM,28-113,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,12.0,5.0,2.0,3.0,0.0,0.0,0.5,1.0,0.0,34.0,43.0,79.1,2.0,23.0,0.0,0.0,0.0,714.0,220.0,15.0,17.0,88.2,8.0,10.0,80.0,11.0,15.0,73.3,1.0,2.0,2.0,0.0,42.0,1.0,1.0,1.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,29.0,7.0,7.0,5.0,31.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,3.0,66.7,1.0,9.0,75.0,2.0,9.0,1.0,0.0,0.0,3.0,7.0,4.0,0.0,5.0,25.0,28.0,6.0,0.0,54.0,0.0,0.0,0.0,111.0,41.0,0.0,0.0,0.0,0.0,30.0,29.0,96.7,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,50.0
9,Jérôme Roussillon,15.0,fr FRA,LB,25-231,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,54.0,74.1,4.0,40.0,3.0,3.0,3.0,642.0,244.0,20.0,21.0,95.2,15.0,21.0,71.4,4.0,9.0,44.4,0.0,1.0,0.0,0.0,45.0,9.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,15.0,3.0,41.0,3.0,1.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,62.5,5.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,37.0,20.0,3.0,54.0,100.0,3.0,0.0,159.0,104.0,5.0,0.0,3.0,2.0,51.0,45.0,88.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
