,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,John Guidetti,10.0,se SWE,FW,27-167,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,21.0,71.4,2.0,20.0,1.0,1.0,3.0,215.0,63.0,11.0,13.0,84.6,3.0,5.0,60.0,1.0,2.0,50.0,1.0,1.0,1.0,0.0,19.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,7.0,3.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,17.4,1.0,9.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,15.0,1.0,27.0,33.3,1.0,0.0,75.0,47.0,1.0,0.0,0.0,2.0,48.0,22.0,45.8,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
1,Lucas Pérez,7.0,es ESP,FW,31-019,33.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.8,0.0,0.0,2.0,1.0,9.0,11.0,81.8,1.0,12.0,2.0,0.0,0.0,149.0,34.0,5.0,5.0,100.0,4.0,5.0,80.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,2.0,12.0,0.0,0.0,0.0,86.0,20.0,2.0,0.0,2.0,0.0,16.0,10.0,62.5,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Joselu,9.0,es ESP,FW,29-186,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,49.0,31.0,1.0,0.0,1.0,0.5,0.5,0.0,2.0,0.0,14.0,30.0,46.7,3.0,22.0,2.0,0.0,1.0,239.0,82.0,7.0,13.0,53.8,6.0,15.0,40.0,1.0,2.0,50.0,0.0,4.0,0.0,0.0,30.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,15.0,1.0,13.0,10.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,25.8,0.0,14.0,17.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,6.0,28.0,16.0,6.0,49.0,0.0,0.0,0.0,63.0,23.0,0.0,0.0,4.0,2.0,58.0,38.0,65.5,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,72.7
3,Luis Rioja,11.0,es ESP,LM,25-348,87.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,11.0,1.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,19.0,33.0,57.6,1.0,29.0,8.0,2.0,2.0,271.0,97.0,12.0,15.0,80.0,6.0,8.0,75.0,1.0,9.0,11.1,2.0,0.0,1.0,1.0,28.0,5.0,3.0,0.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,19.0,4.0,10.0,24.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,27.3,4.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,20.0,24.0,3.0,35.0,100.0,2.0,0.0,157.0,108.0,3.0,1.0,3.0,1.0,40.0,30.0,75.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
4,Pere Pons,20.0,es ESP,LM,26-221,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,76.0,51.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Wakaso,22.0,gh GHA,CM,29-066,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,75.0,27.0,6.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,36.0,56.0,64.3,6.0,46.0,4.0,1.0,2.0,884.0,190.0,10.0,13.0,76.9,14.0,22.0,63.6,11.0,20.0,55.0,1.0,3.0,1.0,0.0,54.0,2.0,1.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,30.0,9.0,17.0,43.0,5.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,2.0,0.0,3.0,4.0,75.0,1.0,14.0,51.9,12.0,13.0,2.0,1.0,0.0,3.0,8.0,0.0,0.0,2.0,11.0,56.0,12.0,1.0,73.0,50.0,1.0,0.0,228.0,82.0,2.0,1.0,0.0,2.0,40.0,39.0,97.5,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,100.0
6,Tomás Pina Isla,8.0,es ESP,CM,31-350,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,19.0,1.0,0.0,0.0,0.0,0.0,0.3,2.0,1.0,37.0,43.0,86.0,8.0,39.0,3.0,2.0,2.0,774.0,242.0,12.0,15.0,80.0,18.0,20.0,90.0,7.0,8.0,87.5,1.0,4.0,0.0,0.0,42.0,1.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,4.0,21.0,19.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,9.0,47.4,2.0,16.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,9.0,43.0,2.0,1.0,51.0,100.0,2.0,0.0,126.0,43.0,0.0,0.0,0.0,1.0,33.0,30.0,90.9,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,13.0,1.0,1.0,50.0
7,Aleix Vidal,18.0,es ESP,RM,30-039,82.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,26.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,18.0,30.0,60.0,2.0,22.0,1.0,0.0,0.0,322.0,112.0,10.0,13.0,76.9,5.0,6.0,83.3,3.0,9.0,33.3,0.0,1.0,2.0,1.0,24.0,6.0,1.0,0.0,9.0,2.0,3.0,3.0,1.0,2.0,0.0,13.0,6.0,11.0,2.0,24.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,15.4,6.0,9.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,19.0,16.0,0.0,31.0,0.0,0.0,0.0,117.0,50.0,0.0,0.0,0.0,1.0,41.0,19.0,46.3,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,25.0
8,Oliver Burke,24.0,sco SCO,RM,22-175,8.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.3,0.3,0.4,2.0,1.0,6.0,6.0,100.0,1.0,8.0,1.0,1.0,2.0,87.0,26.0,4.0,4.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,10.0,50.0,2.0,0.0,48.0,33.0,0.0,1.0,1.0,1.0,11.0,9.0,81.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,Rubén Duarte,3.0,es ESP,LB,23-346,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,37.0,53.0,69.8,3.0,36.0,4.0,0.0,0.0,663.0,369.0,19.0,20.0,95.0,13.0,19.0,68.4,5.0,14.0,35.7,0.0,5.0,1.0,0.0,45.0,8.0,0.0,0.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,27.0,6.0,20.0,35.0,7.0,2.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,19.0,35.0,8.0,0.0,51.0,0.0,0.0,0.0,123.0,57.0,1.0,0.0,0.0,1.0,38.0,36.0,94.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
