player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Robert Lewandowski,FW,31-290,90.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,37.0,18.0,1.0,0.0,0.0,0.8,0.8,0.0,1.0,0.0,17.0,22.0,77.3,1.0,25.0,3.0,4.0,5.0,276.0,32.0,9.0,11.0,81.8,5.0,6.0,83.3,2.0,2.0,100.0,0.0,0.0,0.0,0.0,19.0,3.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,5.0,2.0,5.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,5.6,1.0,8.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,5.0,19.0,16.0,5.0,35.0,80.0,5.0,1.0,93.0,63.0,2.0,0.0,3.0,3.0,48.0,30.0,62.5,9.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,50.0
Serge Gnabry,"LW,RW",24-328,73.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,33.0,19.0,3.0,1.0,0.0,0.9,0.9,0.0,3.0,0.0,20.0,25.0,80.0,5.0,14.0,3.0,0.0,0.0,318.0,92.0,12.0,14.0,85.7,4.0,5.0,80.0,3.0,4.0,75.0,1.0,2.0,2.0,0.0,24.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,5.0,2.0,7.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,66.7,1.0,6.0,31.6,4.0,10.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,14.0,15.0,4.0,32.0,0.0,0.0,0.0,101.0,59.0,1.0,1.0,1.0,1.0,37.0,22.0,59.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
Thiago Alcántara,RW,29-056,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20.0,80.0,0.0,17.0,0.0,2.0,2.0,299.0,21.0,8.0,8.0,100.0,4.0,5.0,80.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,6.0,0.0,17.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,13.0,2.0,0.0,22.0,100.0,2.0,0.0,76.0,27.0,0.0,0.0,1.0,0.0,17.0,16.0,94.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Kingsley Coman,RW,23-359,65.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,45.0,16.0,0.0,0.0,2.0,0.5,0.5,0.3,6.0,1.0,22.0,33.0,66.7,2.0,34.0,10.0,3.0,4.0,345.0,59.0,12.0,15.0,80.0,10.0,14.0,71.4,0.0,2.0,0.0,2.0,2.0,0.0,0.0,33.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,23.0,5.0,5.0,6.0,24.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,25.0,2.0,6.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,19.0,24.0,6.0,45.0,75.0,3.0,1.0,219.0,168.0,2.0,2.0,2.0,1.0,46.0,36.0,78.3,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,100.0
Ivan Perišić,LW,31-125,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,61.5,0.0,8.0,3.0,0.0,1.0,134.0,14.0,4.0,7.0,57.1,3.0,4.0,75.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,3.0,13.0,0.0,0.0,0.0,56.0,45.0,0.0,1.0,0.0,0.0,16.0,11.0,68.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Thomas Müller,AM,30-267,90.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,60.0,27.0,1.0,1.0,4.0,0.2,0.2,0.7,5.0,2.0,29.0,48.0,60.4,5.0,22.0,5.0,0.0,1.0,568.0,142.0,9.0,14.0,64.3,15.0,23.0,65.2,4.0,7.0,57.1,4.0,2.0,1.0,1.0,46.0,2.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,22.0,13.0,13.0,10.0,32.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,44.4,6.0,16.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,31.0,25.0,6.0,58.0,0.0,0.0,0.0,109.0,43.0,0.0,1.0,2.0,2.0,54.0,40.0,74.1,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,1.0,75.0
Leon Goretzka,DM,25-121,73.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,32.0,14.0,4.0,1.0,1.0,0.1,0.1,0.5,1.0,1.0,20.0,23.0,87.0,2.0,21.0,4.0,0.0,1.0,375.0,105.0,9.0,10.0,90.0,8.0,10.0,80.0,3.0,3.0,100.0,1.0,2.0,0.0,0.0,23.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,1.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,5.0,40.0,3.0,6.0,42.9,3.0,6.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,10.0,17.0,7.0,1.0,32.0,0.0,0.0,0.0,141.0,118.0,0.0,0.0,2.0,0.0,28.0,21.0,75.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
Javi Martínez,DM,31-278,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,88.9,0.0,9.0,3.0,0.0,1.0,320.0,51.0,6.0,7.0,85.7,8.0,9.0,88.9,2.0,2.0,100.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,4.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,66.7,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,9.0,12.0,2.0,0.0,22.0,0.0,0.0,0.0,42.0,27.0,0.0,0.0,0.0,0.0,16.0,15.0,93.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Joshua Kimmich,DM,25-119,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,83.0,19.0,3.0,0.0,2.0,0.1,0.1,0.4,6.0,2.0,63.0,73.0,86.3,2.0,44.0,2.0,0.0,1.0,1373.0,360.0,19.0,22.0,86.4,29.0,32.0,90.6,13.0,17.0,76.5,3.0,4.0,0.0,0.0,61.0,12.0,7.0,1.0,6.0,6.0,1.0,4.0,0.0,1.0,3.0,46.0,13.0,14.0,12.0,57.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,50.0,1.0,5.0,26.3,5.0,10.0,4.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,27.0,45.0,14.0,1.0,71.0,0.0,0.0,0.0,275.0,79.0,0.0,0.0,0.0,1.0,56.0,54.0,96.4,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Alphonso Davies,LB,19-217,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,13.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,57.0,67.0,85.1,3.0,51.0,4.0,4.0,6.0,874.0,303.0,31.0,36.0,86.1,23.0,26.0,88.5,2.0,4.0,50.0,1.0,2.0,0.0,0.0,53.0,14.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,15.0,5.0,39.0,13.0,2.0,12.0,1.0,0.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,4.0,4.0,100.0,0.0,4.0,30.8,7.0,3.0,3.0,1.0,0.0,0.0,5.0,2.0,0.0,4.0,43.0,29.0,16.0,1.0,68.0,66.7,4.0,0.0,287.0,178.0,1.0,1.0,2.0,0.0,48.0,45.0,93.8,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
