player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Robert Lewandowski,FW,31-179,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,35.0,17.0,1.0,0.0,0.0,0.4,0.4,0.0,3.0,1.0,18.0,25.0,72.0,2.0,32.0,6.0,2.0,3.0,324.0,42.0,8.0,9.0,88.9,9.0,13.0,69.2,1.0,2.0,50.0,0.0,1.0,2.0,0.0,25.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,5.0,4.0,3.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,29.4,0.0,5.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,22.0,7.0,35.0,66.7,2.0,0.0,194.0,89.0,2.0,3.0,1.0,2.0,47.0,32.0,68.1,9.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7
Serge Gnabry,LW,24-217,90.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,69.0,23.0,1.0,1.0,2.0,0.9,0.9,0.2,6.0,2.0,38.0,46.0,82.6,2.0,55.0,12.0,3.0,5.0,504.0,120.0,24.0,29.0,82.8,12.0,12.0,100.0,1.0,1.0,100.0,2.0,4.0,0.0,0.0,46.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,4.0,1.0,7.0,37.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.4,2.0,3.0,18.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,27.0,45.0,13.0,69.0,60.0,3.0,0.0,284.0,198.0,7.0,2.0,5.0,4.0,69.0,57.0,82.6,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Kingsley Coman,RW,23-248,78.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,42.0,23.0,0.0,0.0,0.0,0.4,0.4,0.3,5.0,0.0,26.0,32.0,81.3,7.0,34.0,8.0,2.0,4.0,467.0,130.0,10.0,12.0,83.3,14.0,16.0,87.5,2.0,4.0,50.0,2.0,2.0,1.0,0.0,31.0,1.0,0.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,19.0,9.0,4.0,6.0,23.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,34.8,2.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,32.0,7.0,41.0,50.0,3.0,0.0,167.0,95.0,3.0,1.0,1.0,3.0,43.0,33.0,76.7,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
Leon Goretzka,AM,25-010,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,2.0,9.0,4.0,0.0,0.0,148.0,35.0,4.0,4.0,100.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,11.0,0.0,0.0,0.0,70.0,48.0,1.0,0.0,0.0,0.0,9.0,9.0,100.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Thomas M�ller,"AM,RW",30-156,90.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,74.0,25.0,0.0,0.0,1.0,0.5,0.5,1.1,6.0,2.0,48.0,60.0,80.0,7.0,46.0,9.0,2.0,4.0,859.0,197.0,20.0,24.0,83.3,24.0,26.0,92.3,3.0,6.0,50.0,5.0,6.0,3.0,0.0,58.0,2.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,43.0,12.0,5.0,10.0,46.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,20.0,3.0,6.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,34.0,38.0,12.0,72.0,50.0,2.0,0.0,183.0,112.0,3.0,1.0,3.0,0.0,79.0,63.0,79.7,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
Thiago Alc�ntara,DM,28-311,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,110.0,21.0,3.0,0.0,1.0,0.1,0.1,0.3,8.0,1.0,90.0,99.0,90.9,13.0,79.0,7.0,4.0,4.0,1738.0,613.0,30.0,34.0,88.2,43.0,45.0,95.6,14.0,16.0,87.5,6.0,8.0,2.0,0.0,94.0,5.0,4.0,1.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,69.0,20.0,10.0,7.0,87.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,14.3,7.0,9.0,5.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,20.0,80.0,21.0,1.0,105.0,100.0,4.0,0.0,322.0,168.0,2.0,0.0,0.0,2.0,81.0,80.0,98.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,1.0,4.0,20.0
Joshua Kimmich,DM,25-008,58.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,54.0,8.0,1.0,0.0,0.0,0.1,0.1,0.1,4.0,1.0,42.0,50.0,84.0,7.0,28.0,3.0,1.0,1.0,897.0,328.0,15.0,16.0,93.8,21.0,22.0,95.5,6.0,12.0,50.0,2.0,3.0,0.0,0.0,41.0,9.0,4.0,0.0,6.0,5.0,1.0,5.0,2.0,2.0,1.0,30.0,9.0,11.0,3.0,45.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,1.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0,28.0,15.0,0.0,45.0,100.0,1.0,0.0,103.0,51.0,0.0,0.0,0.0,0.0,39.0,34.0,87.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
Corentin Tolisso,DM,25-197,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,34.0,91.2,4.0,25.0,2.0,0.0,0.0,688.0,162.0,10.0,11.0,90.9,16.0,16.0,100.0,5.0,7.0,71.4,0.0,6.0,0.0,0.0,33.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,3.0,3.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,3.0,50.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,30.0,6.0,0.0,37.0,0.0,0.0,0.0,144.0,45.0,2.0,0.0,2.0,0.0,34.0,34.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Alphonso Davies,LB,19-106,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,22.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,56.0,60.0,93.3,5.0,43.0,8.0,3.0,4.0,907.0,314.0,29.0,31.0,93.5,22.0,23.0,95.7,3.0,4.0,75.0,1.0,3.0,2.0,1.0,46.0,14.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,40.0,17.0,3.0,39.0,7.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,7.0,31.8,5.0,10.0,7.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,14.0,29.0,34.0,2.0,55.0,75.0,3.0,1.0,254.0,185.0,6.0,1.0,0.0,4.0,51.0,44.0,86.3,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0
David Alaba,CB,27-237,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,58.0,91.4,7.0,49.0,5.0,1.0,3.0,1025.0,469.0,19.0,20.0,95.0,25.0,25.0,100.0,7.0,11.0,63.6,0.0,3.0,3.0,0.0,56.0,2.0,1.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,7.0,6.0,50.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,15.4,10.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,6.0,42.0,28.0,7.0,0.0,66.0,33.3,2.0,0.0,357.0,180.0,3.0,0.0,1.0,1.0,53.0,51.0,96.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
J�r�me Boateng,CB,31-166,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,31.0,3.0,0.0,0.0,1.0,0.3,0.3,0.0,0.0,0.0,24.0,27.0,88.9,1.0,23.0,0.0,0.0,0.0,597.0,198.0,4.0,4.0,100.0,13.0,14.0,92.9,7.0,9.0,77.8,0.0,3.0,0.0,0.0,26.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,5.0,7.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,20.0,13.0,1.0,1.0,30.0,0.0,0.0,0.0,62.0,35.0,0.0,0.0,0.0,0.0,23.0,23.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Lucas Hern�ndez,CB,24-002,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0,91.7,1.0,16.0,1.0,0.0,0.0,378.0,133.0,9.0,10.0,90.0,12.0,12.0,100.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0,21.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,2.0,22.2,6.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,7.0,18.0,13.0,0.0,0.0,30.0,0.0,0.0,0.0,92.0,50.0,0.0,0.0,0.0,0.0,20.0,19.0,95.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,100.0
Benjamin Pavard,RB,23-325,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,17.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,53.0,61.0,86.9,3.0,37.0,2.0,0.0,1.0,975.0,427.0,23.0,23.0,100.0,24.0,28.0,85.7,6.0,9.0,66.7,0.0,5.0,0.0,0.0,49.0,12.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,38.0,15.0,8.0,2.0,47.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,17.6,5.0,8.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,26.0,36.0,12.0,0.0,59.0,0.0,0.0,0.0,127.0,61.0,1.0,0.0,1.0,0.0,47.0,46.0,97.9,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,20.0
