player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Robert Lewandowski,FW,31-164,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,46.0,8.0,1.0,0.0,1.0,0.3,0.3,0.3,4.0,0.0,20.0,30.0,66.7,2.0,31.0,7.0,1.0,1.0,289.0,81.0,14.0,17.0,82.4,6.0,8.0,75.0,0.0,3.0,0.0,4.0,2.0,3.0,1.0,28.0,2.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,2.0,8.0,2.0,26.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,0.0,2.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,24.0,27.0,8.0,44.0,100.0,1.0,0.0,223.0,123.0,5.0,1.0,5.0,3.0,52.0,39.0,75.0,20.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,80.0
Ivan Perišić,LW,30-364,89.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,39.0,15.0,2.0,3.0,0.0,0.6,0.6,0.0,2.0,0.0,24.0,27.0,88.9,3.0,24.0,2.0,0.0,0.0,376.0,100.0,15.0,15.0,100.0,8.0,9.0,88.9,1.0,2.0,50.0,1.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,6.0,2.0,9.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,53.3,3.0,9.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,8.0,15.0,16.0,6.0,39.0,0.0,0.0,0.0,55.0,32.0,0.0,2.0,2.0,2.0,46.0,31.0,67.4,12.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,100.0
Corentin Tolisso,LW,25-182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Thomas Müller,RW,30-141,64.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,21.0,1.0,0.0,1.0,0.3,0.3,0.0,0.0,0.0,17.0,31.0,54.8,2.0,25.0,2.0,0.0,0.0,255.0,64.0,8.0,11.0,72.7,9.0,17.0,52.9,0.0,2.0,0.0,0.0,0.0,2.0,0.0,30.0,1.0,0.0,1.0,8.0,1.0,3.0,1.0,0.0,1.0,0.0,17.0,4.0,10.0,9.0,16.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,8.0,38.1,3.0,8.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,17.0,21.0,4.0,39.0,0.0,0.0,0.0,108.0,43.0,1.0,0.0,2.0,2.0,50.0,32.0,64.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,75.0
Serge Gnabry,RW,24-202,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,70.0,1.0,13.0,2.0,0.0,0.0,273.0,50.0,5.0,6.0,83.3,7.0,11.0,63.6,2.0,2.0,100.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,3.0,3.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,11.0,1.0,22.0,0.0,0.0,0.0,92.0,32.0,1.0,1.0,1.0,0.0,18.0,18.0,100.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Leon Goretzka,AM,24-360,64.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,32.0,16.0,1.0,0.0,2.0,0.1,0.1,0.3,2.0,1.0,20.0,23.0,87.0,1.0,23.0,2.0,1.0,1.0,304.0,41.0,10.0,11.0,90.9,10.0,12.0,83.3,0.0,0.0,0.0,1.0,3.0,1.0,0.0,23.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,4.0,2.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,31.3,1.0,9.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,20.0,8.0,1.0,32.0,100.0,1.0,0.0,109.0,51.0,0.0,0.0,0.0,1.0,38.0,23.0,60.5,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,25.0
Philippe Coutinho,AM,27-234,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,15.0,16.0,93.8,2.0,19.0,3.0,2.0,2.0,266.0,74.0,7.0,7.0,100.0,7.0,7.0,100.0,1.0,2.0,50.0,1.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,9.0,2.0,23.0,100.0,2.0,0.0,96.0,45.0,2.0,0.0,4.0,0.0,25.0,21.0,84.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Thiago Alcántara,CM,28-296,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,108.0,14.0,6.0,0.0,2.0,0.1,0.1,0.1,7.0,3.0,83.0,93.0,89.2,11.0,83.0,4.0,4.0,7.0,1743.0,534.0,29.0,31.0,93.5,33.0,39.0,84.6,19.0,20.0,95.0,2.0,5.0,1.0,0.0,89.0,4.0,4.0,0.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,61.0,16.0,16.0,3.0,83.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,100.0,0.0,6.0,42.9,6.0,7.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,5.0,32.0,67.0,16.0,2.0,105.0,57.1,5.0,0.0,311.0,134.0,2.0,1.0,1.0,3.0,90.0,83.0,92.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,66.7
Joshua Kimmich,CM,24-358,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,16.0,2.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,73.0,82.0,89.0,3.0,62.0,5.0,1.0,1.0,1430.0,316.0,28.0,31.0,90.3,33.0,35.0,94.3,12.0,16.0,75.0,1.0,7.0,0.0,0.0,74.0,8.0,4.0,0.0,8.0,1.0,1.0,3.0,1.0,1.0,0.0,59.0,11.0,12.0,12.0,64.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,25.0,4.0,9.0,3.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,25.0,57.0,12.0,0.0,80.0,100.0,1.0,0.0,351.0,135.0,0.0,0.0,0.0,0.0,69.0,65.0,94.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,100.0
Alphonso Davies,LB,19-091,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,14.0,1.0,0.0,3.0,0.0,0.0,0.1,0.0,0.0,62.0,78.0,79.5,5.0,53.0,7.0,0.0,0.0,1099.0,313.0,31.0,35.0,88.6,23.0,30.0,76.7,7.0,8.0,87.5,1.0,1.0,1.0,0.0,61.0,17.0,3.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,51.0,21.0,6.0,58.0,4.0,1.0,14.0,0.0,1.0,1.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,28.6,6.0,6.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,29.0,43.0,25.0,1.0,73.0,0.0,0.0,0.0,246.0,145.0,2.0,0.0,0.0,6.0,56.0,51.0,91.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,4.0,20.0
