,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Jimmy Briand,7.0,fr FRA,FW,34-043,54.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,28.0,13.0,2.0,0.0,1.0,0.3,0.3,0.0,2.0,0.0,13.0,19.0,68.4,0.0,18.0,1.0,0.0,1.0,216.0,8.0,9.0,10.0,90.0,3.0,7.0,42.9,1.0,1.0,100.0,1.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,3.0,3.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,38.5,3.0,6.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,15.0,11.0,3.0,27.0,0.0,1.0,0.0,53.0,14.0,0.0,0.0,0.0,3.0,33.0,21.0,63.6,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,20.0
1,Yacine Adli,19.0,fr FRA,"AM,FW",19-047,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0,0.0,16.0,17.0,94.1,5.0,16.0,5.0,0.0,0.0,294.0,105.0,5.0,5.0,100.0,10.0,10.0,100.0,1.0,2.0,50.0,3.0,1.0,1.0,0.0,16.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,2.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,27.8,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,7.0,0.0,20.0,0.0,0.0,0.0,75.0,58.0,1.0,0.0,0.0,1.0,23.0,18.0,78.3,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
2,Samuel Kalu,10.0,ng NGA,"LW,RW",22-019,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,63.0,18.0,1.0,1.0,1.0,0.2,0.2,0.2,2.0,0.0,29.0,40.0,72.5,3.0,53.0,9.0,3.0,11.0,519.0,176.0,15.0,18.0,83.3,9.0,11.0,81.8,5.0,9.0,55.6,2.0,2.0,1.0,1.0,38.0,2.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,25.0,6.0,9.0,2.0,32.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,4.0,22.2,3.0,11.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9.0,38.0,21.0,9.0,61.0,27.3,3.0,0.0,272.0,190.0,0.0,4.0,4.0,3.0,55.0,50.0,90.9,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,66.7
3,Hwang Ui-jo,18.0,kr KOR,"RW,FW",27-017,74.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,1.0,17.0,19.0,89.5,4.0,19.0,4.0,0.0,0.0,314.0,110.0,6.0,7.0,85.7,10.0,10.0,100.0,1.0,2.0,50.0,2.0,2.0,2.0,1.0,19.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,1.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.5,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,12.0,8.0,1.0,22.0,0.0,0.0,0.0,118.0,53.0,1.0,0.0,1.0,1.0,24.0,17.0,70.8,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
4,Josh Maja,9.0,ng NGA,FW,20-261,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,8.0,1.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,8.0,9.0,88.9,0.0,10.0,3.0,0.0,0.0,86.0,13.0,6.0,6.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,6.0,4.0,0.0,12.0,0.0,0.0,0.0,63.0,51.0,0.0,0.0,1.0,0.0,13.0,8.0,61.5,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,Nicolas de Préville,12.0,fr FRA,AM,28-249,65.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,50.0,15.0,0.0,0.0,0.0,0.3,0.3,0.1,4.0,0.0,26.0,32.0,81.3,3.0,36.0,3.0,1.0,3.0,502.0,110.0,8.0,11.0,72.7,14.0,14.0,100.0,4.0,7.0,57.1,1.0,4.0,0.0,0.0,27.0,5.0,2.0,0.0,6.0,2.0,0.0,3.0,1.0,2.0,0.0,22.0,6.0,4.0,2.0,28.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,13.3,0.0,11.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,8.0,29.0,18.0,5.0,45.0,33.3,2.0,0.0,169.0,91.0,1.0,1.0,2.0,5.0,42.0,37.0,88.1,8.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
6,François Kamano,11.0,gn GUI,LW,23-136,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,9.0,77.8,0.0,9.0,3.0,0.0,0.0,101.0,20.0,5.0,6.0,83.3,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,28.6,5.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,11.0,0.0,0.0,0.0,48.0,33.0,3.0,0.0,0.0,0.0,10.0,9.0,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7,Otávio,5.0,br BRA,DM,25-133,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.0,33.0,5.0,2.0,3.0,0.1,0.1,0.0,0.0,0.0,53.0,54.0,98.1,5.0,45.0,3.0,0.0,0.0,942.0,240.0,24.0,25.0,96.0,23.0,23.0,100.0,6.0,6.0,100.0,0.0,5.0,0.0,0.0,51.0,3.0,3.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,5.0,4.0,6.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,2.0,3.0,66.7,1.0,8.0,24.2,12.0,16.0,5.0,2.0,0.0,1.0,7.0,2.0,0.0,4.0,22.0,43.0,5.0,0.0,65.0,0.0,0.0,0.0,178.0,96.0,1.0,0.0,0.0,2.0,44.0,42.0,95.5,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
8,Aurélien Tchouaméni,8.0,fr FRA,DM,19-230,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,20.0,3.0,3.0,1.0,0.1,0.1,0.0,0.0,0.0,39.0,46.0,84.8,5.0,43.0,1.0,1.0,1.0,699.0,249.0,17.0,20.0,85.0,17.0,20.0,85.0,4.0,5.0,80.0,0.0,3.0,0.0,0.0,45.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,6.0,2.0,4.0,38.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,10.0,6.0,10.0,4.0,0.0,0.0,1.0,6.0,2.0,0.0,3.0,15.0,38.0,7.0,2.0,58.0,100.0,1.0,0.0,175.0,57.0,0.0,0.0,2.0,0.0,41.0,39.0,95.1,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0
9,Pablo,3.0,br BRA,LB,28-085,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,14.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,83.0,2.0,33.0,0.0,0.0,0.0,793.0,330.0,15.0,17.0,88.2,19.0,22.0,86.4,4.0,7.0,57.1,0.0,1.0,0.0,0.0,44.0,3.0,2.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,12.0,10.0,14.0,24.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,2.0,0.0,4.0,4.0,100.0,0.0,4.0,28.6,12.0,2.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,8.0,23.0,39.0,1.0,0.0,61.0,0.0,0.0,0.0,122.0,18.0,0.0,0.0,0.0,0.0,28.0,28.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,100.0
