player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Neal Maupay,FW,23-150,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,26.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,18.0,24.0,75.0,4.0,30.0,4.0,1.0,3.0,283.0,73.0,9.0,11.0,81.8,7.0,8.0,87.5,1.0,1.0,100.0,0.0,3.0,1.0,0.0,21.0,3.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,5.0,1.0,3.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,23.1,1.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,15.0,3.0,33.0,33.3,1.0,0.0,105.0,58.0,0.0,2.0,2.0,3.0,49.0,30.0,61.2,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
Leandro Trossard,"LW,LM",25-038,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,13.0,2.0,1.0,1.0,0.1,0.1,0.1,4.0,0.0,19.0,31.0,61.3,5.0,39.0,6.0,4.0,7.0,401.0,234.0,5.0,9.0,55.6,11.0,15.0,73.3,3.0,6.0,50.0,1.0,0.0,3.0,2.0,27.0,4.0,1.0,0.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,13.0,7.0,11.0,8.0,19.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,1.0,7.7,1.0,9.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,7.0,18.0,26.0,5.0,44.0,57.1,4.0,1.0,157.0,101.0,1.0,1.0,4.0,2.0,45.0,31.0,68.9,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Alireza Jahanbakhsh,RW,26-153,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,12.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,13.0,22.0,59.1,1.0,18.0,3.0,1.0,2.0,191.0,41.0,10.0,13.0,76.9,2.0,4.0,50.0,1.0,4.0,25.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,6.0,4.0,6.0,12.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,33.3,3.0,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,15.0,11.0,1.0,26.0,50.0,1.0,0.0,104.0,46.0,2.0,0.0,0.0,0.0,31.0,19.0,61.3,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
Steven Alzate,"DM,CM",21-125,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,32.0,90.6,3.0,28.0,7.0,2.0,3.0,631.0,188.0,12.0,14.0,85.7,12.0,13.0,92.3,5.0,5.0,100.0,0.0,7.0,1.0,0.0,31.0,1.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,7.0,0.0,28.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,23.0,10.0,0.0,35.0,66.7,2.0,0.0,136.0,66.0,1.0,0.0,0.0,0.0,30.0,27.0,90.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
Dale Stephens,"CM,DM",30-213,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,47.0,74.5,2.0,37.0,2.0,0.0,0.0,847.0,191.0,10.0,12.0,83.3,15.0,18.0,83.3,9.0,15.0,60.0,0.0,2.0,0.0,0.0,47.0,0.0,0.0,1.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,13.0,6.0,40.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.1,8.0,5.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,18.0,34.0,5.0,0.0,55.0,0.0,0.0,0.0,120.0,41.0,0.0,0.0,1.0,0.0,34.0,32.0,94.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
Glenn Murray,"FW,DM",36-108,19.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,24.0,8.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Davy Pr�pper,"CM,AM",28-131,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,15.0,3.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,36.0,48.0,75.0,7.0,42.0,3.0,1.0,3.0,801.0,280.0,17.0,19.0,89.5,7.0,12.0,58.3,10.0,12.0,83.3,1.0,5.0,1.0,0.0,47.0,1.0,1.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,12.0,4.0,42.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,2.0,0.0,1.0,4.0,25.0,3.0,5.0,33.3,5.0,8.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,18.0,40.0,5.0,0.0,59.0,33.3,1.0,0.0,155.0,94.0,0.0,0.0,0.0,2.0,44.0,37.0,84.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,100.0
Bernardo,"WB,LB",24-242,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,29.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,45.0,68.9,5.0,34.0,7.0,1.0,1.0,529.0,322.0,14.0,19.0,73.7,15.0,18.0,83.3,2.0,5.0,40.0,0.0,2.0,0.0,0.0,41.0,4.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0,16.0,10.0,26.0,6.0,4.0,4.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,2.0,0.0,1.0,3.0,33.3,2.0,8.0,27.6,10.0,16.0,3.0,0.0,0.0,2.0,5.0,4.0,0.0,5.0,18.0,25.0,20.0,4.0,54.0,100.0,1.0,0.0,199.0,126.0,2.0,0.0,2.0,1.0,41.0,32.0,78.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,4.0,2.0,66.7
Mart�n Montoya,WB,28-272,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,23.0,24.0,95.8,4.0,18.0,2.0,0.0,1.0,437.0,132.0,8.0,9.0,88.9,13.0,13.0,100.0,2.0,2.0,100.0,1.0,2.0,0.0,0.0,20.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,5.0,5.0,0.0,19.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,4.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,10.0,15.0,8.0,1.0,27.0,0.0,0.0,1.0,71.0,49.0,1.0,0.0,1.0,1.0,20.0,19.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Pascal Gro�,"RW,RM,WB",28-210,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,1.0,0.0,2.0,0.0,0.0,0.2,1.0,0.0,10.0,15.0,66.7,2.0,11.0,1.0,0.0,0.0,240.0,78.0,3.0,4.0,75.0,3.0,4.0,75.0,4.0,7.0,57.1,1.0,1.0,0.0,0.0,13.0,2.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,7.0,2.0,6.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,16.7,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,6.0,9.0,2.0,17.0,0.0,0.0,0.0,37.0,18.0,0.0,0.0,1.0,0.0,11.0,9.0,81.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
