,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Fyodor Smolov,9.0,ru RUS,FW,30-146,53.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,75.0,0.0,18.0,4.0,1.0,2.0,143.0,41.0,8.0,10.0,80.0,3.0,4.0,75.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,5.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,35.7,2.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,15.0,11.0,6.0,25.0,50.0,1.0,0.0,96.0,65.0,2.0,2.0,3.0,1.0,28.0,19.0,67.9,9.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0
1,Brais Méndez,23.0,es ESP,RM,23-179,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,1.0,8.0,1.0,1.0,1.0,106.0,65.0,3.0,4.0,75.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,5.0,4.0,0.0,11.0,100.0,1.0,0.0,47.0,32.0,1.0,0.0,0.0,0.0,15.0,8.0,53.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,33.3
2,Nolito,3.0,es ESP,LM,33-263,76.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,11.0,1.0,0.0,2.0,0.1,0.1,0.0,3.0,0.0,15.0,27.0,55.6,3.0,20.0,1.0,0.0,0.0,322.0,88.0,4.0,10.0,40.0,5.0,9.0,55.6,5.0,7.0,71.4,1.0,2.0,2.0,0.0,25.0,2.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,5.0,6.0,2.0,24.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,4.0,5.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,9.0,21.0,8.0,1.0,35.0,0.0,0.0,0.0,114.0,40.0,0.0,1.0,0.0,2.0,28.0,18.0,64.3,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
3,Filip Bradarić,14.0,hr CRO,LM,28-175,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,1.0,3.0,0.0,0.0,1.0,65.0,14.0,3.0,4.0,75.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Rafinha,12.0,br BRA,CM,27-143,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,22.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,27.0,33.0,81.8,1.0,35.0,4.0,1.0,2.0,459.0,85.0,13.0,14.0,92.9,11.0,13.0,84.6,2.0,4.0,50.0,0.0,0.0,0.0,0.0,31.0,2.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,4.0,28.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,27.3,4.0,16.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,13.0,29.0,7.0,1.0,46.0,50.0,2.0,0.0,167.0,110.0,0.0,0.0,2.0,2.0,33.0,30.0,90.9,3.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0
5,Fran Beltrán,8.0,es ESP,CM,21-152,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,11.0,3.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,16.0,18.0,88.9,2.0,9.0,0.0,0.0,1.0,338.0,88.0,7.0,9.0,77.8,4.0,4.0,100.0,4.0,4.0,100.0,0.0,2.0,0.0,0.0,17.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,4.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,4.0,36.4,2.0,8.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,17.0,3.0,1.0,24.0,0.0,0.0,0.0,31.0,8.0,0.0,0.0,0.0,0.0,15.0,12.0,80.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
6,Gabriel Fernández,19.0,uy URU,FW,26-052,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,10.0,4.0,40.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,33.3
7,Iago Aspas,10.0,es ESP,"RM,FW",32-338,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,12.0,16.0,75.0,3.0,11.0,2.0,0.0,0.0,146.0,49.0,7.0,8.0,87.5,5.0,5.0,100.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,4.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,14.0,4.0,1.0,18.0,0.0,0.0,0.0,39.0,24.0,1.0,0.0,2.0,0.0,16.0,12.0,75.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,50.0
8,Santi Mina,22.0,es ESP,CM,24-210,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,33.3,0.0,1.0,0.0,0.0,0.0,33.0,0.0,1.0,4.0,25.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,60.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,6.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,3.0,50.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
9,Okay Yokuşlu,5.0,tr TUR,DM,26-117,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,31.0,83.9,3.0,21.0,3.0,1.0,1.0,358.0,133.0,16.0,17.0,94.1,6.0,7.0,85.7,2.0,4.0,50.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,6.0,5.0,3.0,23.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,4.0,26.7,6.0,9.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,6.0,14.0,27.0,2.0,0.0,41.0,100.0,1.0,0.0,136.0,65.0,0.0,0.0,1.0,0.0,21.0,21.0,100.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,100.0
