,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Lacina Traoré,90.0,ci CIV,FW,29-171,70.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,56.3,1.0,12.0,2.0,0.0,1.0,109.0,22.0,7.0,11.0,63.6,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.1,1.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,8.0,20.0,3.0,28.0,0.0,0.0,0.0,43.0,32.0,1.0,0.0,3.0,3.0,43.0,22.0,51.2,10.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,41.7
1,Mario Rondón,99.0,ve VEN,FW,33-226,19.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.0,4.0,25.0,0.0,5.0,0.0,0.0,1.0,10.0,3.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,6.0,60.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7
2,Billel Omrani,9.0,fr FRA,LW,26-158,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,42.0,14.0,3.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,14.0,20.0,70.0,1.0,18.0,1.0,1.0,2.0,245.0,86.0,7.0,7.0,100.0,5.0,9.0,55.6,2.0,4.0,50.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,11.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,35.7,3.0,8.0,3.0,0.0,0.0,0.0,3.0,7.0,0.0,7.0,13.0,11.0,20.0,1.0,42.0,50.0,1.0,0.0,65.0,9.0,0.0,0.0,6.0,0.0,54.0,27.0,50.0,11.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,28.6
3,Ciprian Deac,10.0,ro ROU,RW,33-264,88.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,28.0,6.0,0.0,1.0,0.1,0.1,0.2,4.0,1.0,27.0,40.0,67.5,2.0,22.0,2.0,0.0,1.0,363.0,191.0,19.0,21.0,90.5,5.0,10.0,50.0,2.0,6.0,33.3,3.0,2.0,0.0,0.0,33.0,7.0,3.0,0.0,10.0,0.0,2.0,2.0,2.0,0.0,0.0,18.0,11.0,11.0,26.0,5.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,66.7,1.0,10.0,35.7,8.0,14.0,6.0,0.0,0.0,1.0,6.0,1.0,0.0,2.0,12.0,25.0,18.0,2.0,46.0,0.0,0.0,0.0,93.0,49.0,0.0,0.0,1.0,1.0,37.0,27.0,73.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,4.0,50.0
4,Alexandru Păun,7.0,ro ROU,RW,24-220,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Emmanuel Culio,19.0,ar ARG,CM,36-069,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.0,24.0,6.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,20.0,35.0,57.1,4.0,34.0,4.0,3.0,3.0,358.0,119.0,12.0,14.0,85.7,5.0,14.0,35.7,3.0,5.0,60.0,0.0,3.0,0.0,0.0,33.0,2.0,1.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,9.0,6.0,24.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,2.0,5.0,40.0,3.0,10.0,41.7,6.0,16.0,2.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,9.0,32.0,11.0,0.0,47.0,100.0,3.0,0.0,174.0,87.0,0.0,0.0,0.0,1.0,33.0,26.0,78.8,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,11.0,4.0,2.0,66.7
6,Damjan Đoković,8.0,hr CRO,CM,29-203,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,52.2,1.0,12.0,2.0,1.0,1.0,192.0,71.0,7.0,9.0,77.8,3.0,9.0,33.3,2.0,5.0,40.0,0.0,4.0,0.0,0.0,22.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,16.0,13.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,7.7,2.0,7.0,4.0,1.0,0.0,0.0,1.0,5.0,0.0,4.0,8.0,17.0,9.0,0.0,31.0,100.0,1.0,0.0,43.0,28.0,0.0,0.0,0.0,2.0,26.0,16.0,61.5,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,50.0
7,Mihai Bordeianu,37.0,ro ROU,"DM,RB",27-354,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,19.0,5.0,0.0,3.0,0.0,0.0,0.1,3.0,0.0,26.0,35.0,74.3,5.0,28.0,1.0,2.0,2.0,476.0,200.0,11.0,13.0,84.6,7.0,10.0,70.0,5.0,9.0,55.6,2.0,4.0,1.0,1.0,31.0,4.0,1.0,0.0,7.0,3.0,2.0,1.0,1.0,0.0,0.0,17.0,7.0,11.0,12.0,17.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,3.0,33.3,2.0,4.0,21.1,9.0,10.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,2.0,19.0,24.0,8.0,0.0,46.0,100.0,2.0,0.0,137.0,89.0,1.0,0.0,3.0,2.0,21.0,16.0,76.2,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,19.0,1.0,2.0,33.3
8,Camora,45.0,ro ROU,LB,32-362,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,10.0,2.0,2.0,2.0,0.0,0.0,0.1,3.0,0.0,19.0,38.0,50.0,3.0,16.0,2.0,1.0,1.0,375.0,256.0,7.0,13.0,53.8,9.0,17.0,52.9,3.0,7.0,42.9,2.0,2.0,2.0,1.0,26.0,12.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,5.0,22.0,19.0,1.0,6.0,12.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,4.0,40.0,4.0,3.0,3.0,1.0,0.0,1.0,4.0,3.0,0.0,3.0,16.0,22.0,12.0,0.0,36.0,100.0,1.0,0.0,60.0,30.0,1.0,0.0,0.0,1.0,15.0,14.0,93.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0
9,Kévin Boli,21.0,fr FRA,CB,28-139,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,78.6,1.0,6.0,1.0,0.0,0.0,194.0,51.0,3.0,3.0,100.0,6.0,7.0,85.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,6.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,6.0,16.0,11.0,0.0,0.0,24.0,0.0,0.0,0.0,37.0,15.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,57.1
