player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Paco Alcácer,FW,26-001,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,30.0,7.0,0.0,0.0,0.0,0.8,0.8,0.2,3.0,0.0,22.0,24.0,91.7,0.0,18.0,1.0,1.0,1.0,333.0,31.0,13.0,13.0,100.0,5.0,6.0,83.3,3.0,3.0,100.0,2.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,4.0,4.0,17.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,16.0,6.0,26.0,100.0,1.0,0.0,56.0,26.0,1.0,1.0,2.0,1.0,40.0,21.0,52.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Julian Brandt,LW,23-121,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,6.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,40.0,59.0,67.8,7.0,51.0,8.0,4.0,6.0,574.0,175.0,22.0,32.0,68.8,16.0,20.0,80.0,1.0,5.0,20.0,1.0,3.0,1.0,0.0,58.0,1.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,37.0,14.0,8.0,7.0,42.0,6.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,33.3,1.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,9.0,34.0,30.0,3.0,67.0,66.7,4.0,0.0,291.0,180.0,5.0,1.0,2.0,0.0,57.0,51.0,89.5,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,3.0,1.0,75.0
Jacob Bruun Larsen,LW,20-346,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,5.0,1.0,1.0,1.0,45.0,0.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,100.0,1.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,6.0,4.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jadon Sancho,RW,19-159,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,90.0,15.0,0.0,0.0,4.0,0.2,0.2,0.8,5.0,1.0,65.0,79.0,82.3,8.0,76.0,10.0,4.0,5.0,1152.0,370.0,38.0,41.0,92.7,16.0,18.0,88.9,11.0,15.0,73.3,4.0,1.0,4.0,1.0,76.0,3.0,2.0,0.0,14.0,2.0,7.0,1.0,0.0,1.0,0.0,58.0,9.0,12.0,5.0,73.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,5.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,35.0,59.0,12.0,87.0,80.0,4.0,0.0,359.0,177.0,5.0,5.0,2.0,1.0,80.0,71.0,88.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Marco Reus,AM,30-092,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,54.0,8.0,0.0,0.0,0.0,0.7,0.7,0.1,5.0,1.0,36.0,45.0,80.0,4.0,44.0,5.0,1.0,1.0,675.0,124.0,16.0,20.0,80.0,13.0,15.0,86.7,7.0,10.0,70.0,2.0,5.0,2.0,0.0,44.0,1.0,1.0,1.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,37.0,5.0,3.0,11.0,34.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,32.0,8.0,53.0,100.0,1.0,0.0,247.0,99.0,0.0,0.0,3.0,1.0,65.0,49.0,75.4,13.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Thomas Delaney,CM,27-362,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,32.0,96.9,2.0,30.0,2.0,0.0,1.0,580.0,84.0,12.0,12.0,100.0,16.0,16.0,100.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,31.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,0.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,5.0,36.0,3.0,0.0,40.0,0.0,0.0,0.0,136.0,52.0,1.0,0.0,1.0,0.0,30.0,28.0,93.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,60.0
Mahmoud Dahoud,CM,23-242,45.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,60.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,51.0,54.0,94.4,5.0,49.0,4.0,0.0,0.0,1056.0,216.0,19.0,20.0,95.0,24.0,25.0,96.0,8.0,9.0,88.9,1.0,7.0,1.0,0.0,54.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,39.0,6.0,9.0,5.0,47.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,11.0,38.0,18.0,0.0,60.0,0.0,0.0,0.0,280.0,166.0,2.0,0.0,0.0,0.0,50.0,49.0,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
Julian Weigl,CM,23-357,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,75.0,79.0,94.9,3.0,70.0,8.0,1.0,2.0,1572.0,266.0,23.0,24.0,95.8,39.0,40.0,97.5,12.0,13.0,92.3,1.0,5.0,1.0,0.0,78.0,1.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,68.0,7.0,4.0,8.0,67.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,14.3,4.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,24.0,62.0,12.0,0.0,91.0,50.0,1.0,0.0,287.0,162.0,0.0,0.0,1.0,2.0,80.0,77.0,96.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
Raphaël Guerreiro,CM,25-252,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,17.0,82.4,1.0,13.0,1.0,0.0,1.0,269.0,41.0,4.0,4.0,100.0,4.0,6.0,66.7,3.0,4.0,75.0,0.0,1.0,0.0,0.0,14.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,10.0,3.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0,12.0,1.0,18.0,0.0,0.0,0.0,38.0,23.0,1.0,0.0,0.0,0.0,17.0,15.0,88.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Achraf Hakimi,LB,20-300,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,64.0,68.0,94.1,7.0,59.0,6.0,0.0,2.0,982.0,286.0,37.0,37.0,100.0,22.0,23.0,95.7,3.0,5.0,60.0,0.0,1.0,1.0,0.0,61.0,7.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,57.0,3.0,8.0,11.0,51.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,20.0,8.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,17.0,34.0,39.0,1.0,73.0,0.0,0.0,0.0,357.0,190.0,5.0,0.0,2.0,0.0,69.0,62.0,89.9,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
