,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Quique,7.0,es ESP,FW,29-163,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,9.0,0.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,13.0,84.6,1.0,8.0,0.0,0.0,0.0,152.0,27.0,5.0,5.0,100.0,4.0,5.0,80.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.4,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,8.0,1.0,17.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,2.0,2.0,45.0,14.0,31.1,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,42.9
1,Kike,17.0,es ESP,FW,29-335,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,92.3,0.0,11.0,0.0,0.0,0.0,171.0,19.0,10.0,11.0,90.9,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,2.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,16.0,0.0,0.0,0.0,46.0,6.0,0.0,0.0,0.0,0.0,22.0,12.0,54.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
2,Fabián Orellana,14.0,cl CHI,"LW,LM",33-272,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,60.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,43.0,79.1,3.0,46.0,9.0,2.0,5.0,575.0,76.0,14.0,17.0,82.4,19.0,21.0,90.5,1.0,3.0,33.3,0.0,1.0,2.0,0.0,40.0,3.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,27.0,10.0,6.0,3.0,37.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,33.3,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,25.0,34.0,5.0,57.0,40.0,2.0,0.0,219.0,111.0,1.0,0.0,4.0,5.0,61.0,46.0,75.4,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
3,Pedro León,21.0,es ESP,"RW,RM",32-336,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,53.0,7.0,1.0,0.0,0.0,0.2,0.2,0.1,3.0,0.0,26.0,43.0,60.5,2.0,34.0,6.0,1.0,2.0,355.0,67.0,18.0,20.0,90.0,6.0,13.0,46.2,2.0,8.0,25.0,2.0,1.0,3.0,2.0,40.0,3.0,0.0,0.0,11.0,3.0,7.0,2.0,0.0,2.0,0.0,16.0,13.0,14.0,4.0,36.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,57.1,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,36.0,3.0,50.0,50.0,1.0,0.0,104.0,50.0,1.0,0.0,2.0,3.0,62.0,46.0,74.2,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
4,Edu Expósito,10.0,es ESP,"CM,DM",23-086,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,14.0,1.0,0.0,1.0,0.0,0.0,0.1,4.0,0.0,46.0,54.0,85.2,5.0,40.0,8.0,1.0,1.0,921.0,187.0,17.0,22.0,77.3,22.0,23.0,95.7,7.0,7.0,100.0,2.0,9.0,2.0,0.0,53.0,1.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,34.0,7.0,13.0,6.0,40.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,6.0,42.9,3.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,33.0,25.0,2.0,57.0,100.0,1.0,0.0,227.0,128.0,2.0,0.0,1.0,0.0,50.0,43.0,86.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,4.0,33.3
5,Gonzalo Escalante,5.0,ar ARG,"CM,RB",26-213,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,10.0,5.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,48.0,65.0,73.8,6.0,46.0,4.0,2.0,3.0,945.0,299.0,19.0,21.0,90.5,21.0,29.0,72.4,8.0,14.0,57.1,1.0,4.0,2.0,1.0,56.0,9.0,0.0,0.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,27.0,16.0,22.0,2.0,48.0,3.0,9.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,0.0,1.0,2.0,50.0,1.0,4.0,40.0,2.0,3.0,5.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,16.0,41.0,30.0,2.0,70.0,66.7,3.0,0.0,205.0,116.0,6.0,0.0,3.0,0.0,60.0,51.0,85.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,100.0
6,Papakouli Diop,8.0,sn SEN,DM,33-221,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,64.0,15.0,1.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,42.0,55.0,76.4,7.0,37.0,6.0,0.0,0.0,900.0,189.0,12.0,16.0,75.0,24.0,31.0,77.4,6.0,8.0,75.0,0.0,7.0,0.0,0.0,54.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,8.0,13.0,7.0,40.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,26.7,6.0,6.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,48.0,12.0,0.0,63.0,0.0,0.0,0.0,234.0,82.0,2.0,0.0,0.0,0.0,44.0,41.0,93.2,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,100.0
7,José Ángel,15.0,es ESP,LB,30-051,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,94.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,62.0,85.0,72.9,10.0,55.0,5.0,0.0,0.0,1259.0,499.0,21.0,21.0,100.0,31.0,37.0,83.8,9.0,20.0,45.0,1.0,11.0,0.0,0.0,65.0,20.0,5.0,0.0,13.0,4.0,6.0,0.0,0.0,0.0,0.0,39.0,18.0,28.0,55.0,8.0,6.0,15.0,0.0,0.0,2.0,1.0,5.0,2.0,1.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,33.3,3.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,19.0,52.0,28.0,1.0,76.0,0.0,0.0,0.0,270.0,141.0,1.0,1.0,0.0,0.0,55.0,54.0,98.2,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,100.0
8,Anaitz Arbilla,23.0,es ESP,CB,32-164,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,87.0,5.0,1.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,64.0,76.0,84.2,6.0,51.0,2.0,0.0,1.0,1584.0,354.0,15.0,16.0,93.8,31.0,34.0,91.2,18.0,25.0,72.0,1.0,6.0,0.0,0.0,72.0,4.0,4.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,48.0,8.0,20.0,16.0,50.0,6.0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,4.0,29.0,63.0,3.0,0.0,82.0,0.0,0.0,0.0,445.0,190.0,0.0,0.0,0.0,0.0,55.0,55.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,5.0,1.0,83.3
9,Paulo Oliveira,12.0,pt POR,CB,27-291,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,7.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,53.0,84.9,6.0,38.0,2.0,0.0,0.0,1118.0,346.0,11.0,11.0,100.0,20.0,22.0,90.9,14.0,19.0,73.7,0.0,7.0,0.0,0.0,52.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,18.0,3.0,44.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,14.3,4.0,2.0,1.0,1.0,0.0,2.0,2.0,5.0,0.0,2.0,22.0,41.0,1.0,0.0,61.0,0.0,0.0,0.0,193.0,70.0,1.0,0.0,0.0,0.0,39.0,38.0,97.4,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,100.0
