player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Bas Dost,FW,30-351,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,21.0,0.0,1.0,1.0,0.2,0.2,0.0,1.0,0.0,16.0,29.0,55.2,1.0,13.0,0.0,0.0,0.0,252.0,45.0,7.0,9.0,77.8,8.0,17.0,47.1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,28.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,8.0,2.0,13.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,38.1,0.0,5.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,6.0,34.0,0.0,0.0,0.0,26.0,8.0,1.0,0.0,1.0,1.0,41.0,28.0,68.3,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,100.0
Filip Kostić,"LM,CM,WB",27-197,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,49.0,16.0,1.0,0.0,1.0,0.0,0.0,0.1,4.0,0.0,26.0,40.0,65.0,3.0,34.0,2.0,3.0,4.0,414.0,175.0,14.0,19.0,73.7,11.0,17.0,64.7,1.0,3.0,33.3,1.0,5.0,1.0,0.0,33.0,7.0,2.0,0.0,6.0,1.0,3.0,2.0,1.0,1.0,0.0,15.0,8.0,17.0,31.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,4.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,28.0,21.0,0.0,42.0,75.0,3.0,0.0,132.0,75.0,2.0,0.0,2.0,1.0,47.0,33.0,70.2,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
Sebastian Rode,"CM,AM,DM",29-218,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,28.0,0.0,1.0,0.0,0.0,0.0,0.4,2.0,1.0,51.0,63.0,81.0,7.0,44.0,6.0,1.0,1.0,981.0,251.0,18.0,22.0,81.8,26.0,29.0,89.7,7.0,10.0,70.0,2.0,4.0,2.0,0.0,60.0,3.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,18.0,7.0,14.0,44.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.9,0.0,22.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,53.0,12.0,0.0,66.0,100.0,1.0,0.0,260.0,167.0,3.0,0.0,0.0,2.0,51.0,47.0,92.2,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,66.7
Djibril Sow,CM,23-100,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,89.5,3.0,17.0,1.0,0.0,1.0,339.0,94.0,5.0,6.0,83.3,10.0,11.0,90.9,2.0,2.0,100.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,36.4,1.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,15.0,9.0,1.0,25.0,0.0,0.0,0.0,82.0,38.0,0.0,0.0,0.0,0.0,26.0,21.0,80.8,7.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
André Silva,FW,24-192,45.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,19.0,10.0,0.0,0.0,0.0,0.3,0.3,0.2,3.0,0.0,11.0,14.0,78.6,2.0,12.0,1.0,0.0,1.0,143.0,44.0,8.0,10.0,80.0,3.0,3.0,100.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,13.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,2.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,60.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,6.0,18.0,0.0,0.0,0.0,30.0,13.0,0.0,0.0,0.0,3.0,25.0,16.0,64.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,75.0
Daichi Kamada,"RM,CM,AM",23-285,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,23.0,1.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,20.0,30.0,66.7,2.0,22.0,6.0,0.0,0.0,494.0,113.0,4.0,6.0,66.7,10.0,14.0,71.4,6.0,9.0,66.7,1.0,4.0,1.0,0.0,27.0,3.0,0.0,0.0,5.0,2.0,1.0,3.0,1.0,2.0,0.0,17.0,5.0,8.0,8.0,18.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,8.0,34.8,1.0,13.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,17.0,4.0,31.0,0.0,0.0,0.0,131.0,93.0,0.0,2.0,0.0,1.0,38.0,24.0,63.2,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
Mijat Gaćinović,AM,25-098,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,11.0,72.7,0.0,9.0,3.0,0.0,0.0,115.0,19.0,6.0,8.0,75.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,13.0,0.0,0.0,0.0,74.0,47.0,1.0,0.0,0.0,1.0,15.0,11.0,73.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Stefan Ilsanker,DM,30-364,73.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,51.0,15.0,1.0,2.0,1.0,0.2,0.2,0.0,1.0,0.0,35.0,44.0,79.5,2.0,32.0,6.0,2.0,2.0,729.0,227.0,12.0,14.0,85.7,15.0,17.0,88.2,8.0,11.0,72.7,0.0,2.0,0.0,0.0,42.0,2.0,2.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,7.0,3.0,36.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,20.0,0.0,12.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,13.0,33.0,6.0,2.0,49.0,100.0,2.0,0.0,160.0,79.0,1.0,0.0,0.0,0.0,35.0,34.0,97.1,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,100.0
Timothy Chandler,DM,30-048,17.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,7.0,15.0,46.7,1.0,14.0,2.0,0.0,0.0,130.0,45.0,4.0,5.0,80.0,2.0,6.0,33.3,1.0,4.0,25.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,3.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,9.0,2.0,18.0,0.0,0.0,0.0,76.0,60.0,1.0,0.0,1.0,0.0,23.0,17.0,73.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Obite N'Dicka,"LB,CB",20-270,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,12.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,38.0,46.0,82.6,8.0,33.0,2.0,2.0,2.0,584.0,245.0,20.0,23.0,87.0,17.0,18.0,94.4,1.0,4.0,25.0,0.0,2.0,0.0,0.0,44.0,2.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,8.0,8.0,39.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,41.7,1.0,10.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,13.0,35.0,8.0,1.0,52.0,100.0,2.0,0.0,95.0,43.0,1.0,0.0,0.0,0.0,39.0,36.0,92.3,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,100.0
