,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Richarlison,7.0,br BRA,FW,23-071,90.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,50.0,19.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,56.7,2.0,38.0,4.0,3.0,8.0,247.0,82.0,9.0,12.0,75.0,8.0,10.0,80.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,5.0,6.0,6.0,22.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,15.8,9.0,5.0,5.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,11.0,29.0,13.0,2.0,50.0,37.5,3.0,0.0,180.0,63.0,1.0,0.0,5.0,4.0,33.0,31.0,93.9,7.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
1,Dominic Calvert-Lewin,9.0,eng ENG,FW,23-126,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,21.0,9.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,6.0,9.0,66.7,3.0,13.0,1.0,1.0,2.0,93.0,42.0,2.0,3.0,66.7,4.0,5.0,80.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,0.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,8.0,11.0,2.0,21.0,50.0,1.0,0.0,44.0,9.0,1.0,1.0,5.0,0.0,23.0,17.0,73.9,9.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,6.0,33.3
2,Gylfi Sigurðsson,10.0,is ISL,LM,30-316,87.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,0.0,0.0,1.0,0.0,0.0,0.1,3.0,1.0,23.0,28.0,82.1,4.0,28.0,3.0,1.0,3.0,420.0,147.0,11.0,13.0,84.6,10.0,11.0,90.9,2.0,3.0,66.7,3.0,4.0,1.0,0.0,24.0,4.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,3.0,3.0,4.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,1.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,21.0,14.0,1.0,33.0,33.3,1.0,0.0,66.0,32.0,0.0,0.0,2.0,3.0,37.0,26.0,70.3,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
3,Séamus Coleman,23.0,ie IRL,"LM,RB",31-283,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Theo Walcott,11.0,eng ENG,RM,31-126,83.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,15.0,1.0,0.0,4.0,0.1,0.1,0.1,2.0,0.0,14.0,21.0,66.7,0.0,24.0,2.0,2.0,3.0,296.0,63.0,5.0,7.0,71.4,6.0,8.0,75.0,3.0,5.0,60.0,1.0,0.0,1.0,1.0,21.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,5.0,2.0,2.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,20.0,6.0,6.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,15.0,15.0,4.0,34.0,66.7,2.0,0.0,81.0,43.0,0.0,1.0,1.0,3.0,25.0,19.0,76.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0
5,Anthony Gordon,42.0,eng ENG,"RM,LM",19-147,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,3.0,0.0,1.0,1.0,12.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,100.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Tom Davies,26.0,eng ENG,DM,22-020,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,13.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,23.0,37.0,62.2,1.0,30.0,3.0,0.0,2.0,548.0,95.0,7.0,10.0,70.0,9.0,14.0,64.3,7.0,11.0,63.6,0.0,0.0,0.0,0.0,33.0,4.0,4.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,13.0,4.0,28.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,25.0,3.0,3.0,23.1,8.0,4.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,5.0,25.0,27.0,4.0,0.0,47.0,0.0,1.0,0.0,143.0,104.0,1.0,0.0,1.0,1.0,28.0,27.0,96.4,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,75.0
7,André Gomes,21.0,pt POR,DM,26-356,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,23.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,36.0,42.0,85.7,6.0,34.0,2.0,1.0,1.0,973.0,235.0,9.0,10.0,90.0,12.0,14.0,85.7,14.0,16.0,87.5,0.0,5.0,0.0,0.0,42.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,11.0,9.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,26.1,13.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,21.0,27.0,3.0,0.0,47.0,100.0,1.0,0.0,93.0,35.0,0.0,0.0,0.0,1.0,35.0,35.0,100.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,66.7
8,Lucas Digne,12.0,fr FRA,LB,27-000,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,46.0,61.0,75.4,4.0,29.0,0.0,1.0,3.0,853.0,351.0,19.0,23.0,82.6,20.0,25.0,80.0,6.0,10.0,60.0,0.0,1.0,0.0,0.0,44.0,17.0,0.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,14.0,19.0,30.0,4.0,4.0,17.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,54.5,9.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,5.0,32.0,24.0,15.0,1.0,53.0,33.3,1.0,0.0,119.0,62.0,0.0,0.0,0.0,0.0,29.0,27.0,93.1,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,6.0,5.0,54.5
9,Jarrad Branthwaite,32.0,eng ENG,CB,18-023,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,54.0,77.8,0.0,35.0,0.0,0.0,0.0,1072.0,288.0,5.0,7.0,71.4,26.0,29.0,89.7,10.0,16.0,62.5,0.0,1.0,0.0,0.0,52.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,2.0,10.0,37.0,13.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,66.7,3.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,14.0,50.0,12.0,0.0,0.0,58.0,0.0,0.0,0.0,175.0,66.0,0.0,0.0,0.0,0.0,45.0,45.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,5.0,44.4
10,Michael Keane,5.0,eng ENG,CB,27-191,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,10.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,57.0,66.0,86.4,0.0,45.0,0.0,0.0,0.0,1166.0,312.0,9.0,9.0,100.0,45.0,50.0,90.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,65.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,9.0,15.0,44.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,9.0,1.0,0.0,2.0,0.0,1.0,1.0,14.0,0.0,30.0,78.0,11.0,0.0,0.0,84.0,0.0,0.0,0.0,192.0,83.0,0.0,0.0,0.0,0.0,53.0,53.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,1.0,90.0
