player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Lautaro Martínez,FW,22-349,69.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,28.0,23.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,6.0,15.0,40.0,0.0,12.0,2.0,1.0,1.0,86.0,20.0,4.0,6.0,66.7,2.0,5.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,39.1,3.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,18.0,8.0,3.0,28.0,100.0,1.0,0.0,54.0,22.0,0.0,1.0,4.0,1.0,30.0,19.0,63.3,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
Alexis Sánchez,FW,31-230,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,2.0,6.0,33.3,0.0,3.0,1.0,0.0,0.0,10.0,0.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,8.0,0.0,0.0,0.0,18.0,9.0,0.0,0.0,1.0,0.0,8.0,7.0,87.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0
Romelu Lukaku,FW,27-084,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,10.0,0.0,0.0,1.0,0.3,0.3,0.0,3.0,0.0,11.0,16.0,68.8,0.0,9.0,0.0,1.0,1.0,139.0,40.0,8.0,8.0,100.0,2.0,5.0,40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,80.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,10.0,3.0,25.0,100.0,1.0,0.0,13.0,2.0,0.0,0.0,1.0,3.0,29.0,16.0,55.2,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
Roberto Gagliardini,CM,26-120,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,23.0,3.0,1.0,1.0,0.0,0.0,0.1,2.0,1.0,25.0,36.0,69.4,1.0,27.0,4.0,2.0,3.0,446.0,40.0,10.0,13.0,76.9,13.0,18.0,72.2,2.0,3.0,66.7,1.0,2.0,0.0,0.0,36.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,7.0,4.0,28.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,66.7,1.0,5.0,21.7,11.0,11.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,5.0,19.0,32.0,5.0,1.0,52.0,66.7,2.0,0.0,225.0,107.0,2.0,0.0,1.0,1.0,33.0,30.0,90.9,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,100.0
Nicolò Barella,CM,23-180,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,32.0,1.0,2.0,5.0,0.0,0.0,0.3,5.0,0.0,24.0,38.0,63.2,4.0,22.0,4.0,1.0,1.0,406.0,147.0,11.0,17.0,64.7,8.0,10.0,80.0,4.0,8.0,50.0,2.0,2.0,1.0,0.0,38.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,8.0,7.0,6.0,28.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,10.0,31.3,12.0,16.0,4.0,1.0,0.0,4.0,3.0,1.0,0.0,1.0,12.0,33.0,8.0,1.0,49.0,100.0,1.0,0.0,129.0,74.0,2.0,0.0,1.0,0.0,38.0,34.0,89.5,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0
Marcelo Brozović,DM,27-263,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,44.0,86.4,3.0,20.0,0.0,1.0,1.0,726.0,224.0,15.0,16.0,93.8,18.0,19.0,94.7,4.0,7.0,57.1,0.0,2.0,0.0,0.0,41.0,3.0,3.0,0.0,22.0,2.0,2.0,0.0,0.0,0.0,0.0,24.0,12.0,8.0,9.0,29.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,8.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,23.0,19.0,6.0,0.0,43.0,100.0,1.0,0.0,106.0,40.0,0.0,0.0,0.0,1.0,35.0,33.0,94.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
Christian Eriksen,DM,28-173,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,3.0,4.0,75.0,1.0,4.0,0.0,0.0,0.0,48.0,11.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,5.0,4.0,80.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ashley Young,WB,35-027,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,7.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,25.0,29.0,86.2,1.0,14.0,1.0,0.0,1.0,546.0,218.0,6.0,7.0,85.7,15.0,17.0,88.2,4.0,5.0,80.0,1.0,0.0,1.0,0.0,21.0,8.0,0.0,0.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,13.0,11.0,5.0,1.0,22.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,5.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,13.0,15.0,9.0,0.0,29.0,0.0,0.0,0.0,38.0,12.0,0.0,0.0,0.0,0.0,21.0,19.0,90.5,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Danilo D'Ambrosio,WB,31-331,83.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,25.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,44.0,52.3,2.0,16.0,1.0,1.0,2.0,338.0,167.0,12.0,16.0,75.0,10.0,20.0,50.0,1.0,5.0,20.0,0.0,1.0,1.0,0.0,24.0,20.0,1.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,18.0,16.0,10.0,12.0,0.0,19.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,24.0,10.0,12.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,17.0,24.0,14.0,3.0,34.0,50.0,1.0,0.0,55.0,21.0,0.0,0.0,1.0,0.0,29.0,22.0,75.9,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,100.0
Cristiano Biraghi,WB,27-339,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,24.0,15.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
