,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Jaime Mata,7.0,es ESP,FW,30-304,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,31.0,12.0,0.0,0.0,0.0,0.2,0.2,0.1,2.0,0.0,14.0,23.0,60.9,1.0,23.0,1.0,0.0,1.0,181.0,35.0,11.0,16.0,68.8,2.0,4.0,50.0,1.0,2.0,50.0,2.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,7.0,1.0,16.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,19.0,5.0,31.0,0.0,0.0,0.0,79.0,23.0,0.0,1.0,2.0,2.0,56.0,26.0,46.4,14.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
1,Enric Gallego,10.0,es ESP,FW,32-346,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,22.0,54.5,2.0,22.0,0.0,2.0,3.0,215.0,46.0,3.0,8.0,37.5,5.0,7.0,71.4,2.0,3.0,66.7,0.0,1.0,1.0,0.0,21.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,7.0,15.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,22.2,2.0,4.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,19.0,17.0,5.0,38.0,66.7,2.0,0.0,80.0,16.0,0.0,0.0,8.0,0.0,68.0,26.0,38.2,13.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,26.7
2,Marc Cucurella,15.0,es ESP,LM,21-033,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,23.0,5.0,1.0,1.0,0.0,0.0,0.2,3.0,1.0,21.0,35.0,60.0,3.0,25.0,4.0,1.0,1.0,373.0,96.0,8.0,9.0,88.9,9.0,15.0,60.0,3.0,8.0,37.5,1.0,1.0,2.0,1.0,34.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,6.0,16.0,15.0,16.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,2.0,3.0,0.0,2.0,6.0,33.3,4.0,9.0,39.1,4.0,13.0,6.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,8.0,14.0,22.0,2.0,43.0,100.0,1.0,0.0,120.0,45.0,0.0,1.0,0.0,2.0,41.0,20.0,48.8,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,4.0,20.0
3,Mauro Arambarri,18.0,uy URU,CM,23-328,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,28.0,75.0,1.0,21.0,1.0,1.0,1.0,443.0,89.0,7.0,9.0,77.8,10.0,13.0,76.9,4.0,5.0,80.0,0.0,2.0,0.0,0.0,27.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,8.0,2.0,23.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,2.0,7.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,7.0,25.0,7.0,0.0,37.0,100.0,1.0,0.0,115.0,16.0,0.0,0.0,2.0,0.0,11.0,10.0,90.9,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0
4,Nemanja Maksimović,20.0,rs SRB,CM,24-210,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,14.0,85.7,1.0,6.0,0.0,0.0,0.0,214.0,36.0,5.0,6.0,83.3,4.0,5.0,80.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,4.0,1.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,14.0,0.0,0.0,0.0,37.0,5.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
5,Markel Bergara,5.0,es ESP,CM,33-111,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,33.3,1.0,7.0,1.0,0.0,0.0,41.0,11.0,2.0,3.0,66.7,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,57.1,0.0,5.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,7.0,0.0,13.0,0.0,0.0,0.0,55.0,11.0,0.0,0.0,0.0,1.0,9.0,5.0,55.6,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
6,Fayçal Fajr,21.0,ma MAR,RM,31-023,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,31.0,67.7,5.0,21.0,0.0,1.0,1.0,395.0,137.0,10.0,12.0,83.3,9.0,12.0,75.0,2.0,5.0,40.0,1.0,3.0,1.0,0.0,27.0,4.0,2.0,0.0,6.0,3.0,1.0,2.0,1.0,1.0,0.0,14.0,7.0,10.0,2.0,25.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,30.0,1.0,4.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,14.0,17.0,2.0,33.0,100.0,1.0,1.0,35.0,20.0,0.0,0.0,1.0,0.0,32.0,21.0,65.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,40.0
7,Francisco Portillo,8.0,es ESP,RM,29-072,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,11.0,12.0,91.7,1.0,13.0,2.0,0.0,0.0,177.0,56.0,4.0,4.0,100.0,7.0,7.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,8.0,1.0,15.0,0.0,0.0,0.0,81.0,43.0,1.0,0.0,1.0,1.0,16.0,14.0,87.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
8,Raúl García,14.0,es ESP,LB,30-116,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,22.0,42.0,52.4,0.0,20.0,2.0,1.0,1.0,490.0,251.0,8.0,10.0,80.0,11.0,15.0,73.3,3.0,15.0,20.0,1.0,1.0,1.0,1.0,24.0,18.0,1.0,0.0,3.0,5.0,8.0,2.0,0.0,1.0,0.0,8.0,2.0,32.0,25.0,1.0,0.0,15.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,40.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,11.0,19.0,23.0,0.0,33.0,100.0,1.0,0.0,79.0,24.0,2.0,0.0,0.0,1.0,19.0,19.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
9,Allan Nyom,12.0,cm CMR,LB,31-106,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,37.5,0.0,2.0,0.0,0.0,0.0,49.0,30.0,2.0,3.0,66.7,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,25.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,6.0,2.0,4.0,0.0,7.0,0.0,0.0,0.0,41.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
