,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Roberto Soldado,9.0,es ESP,FW,34-088,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,11.0,0.0,1.0,0.0,0.2,0.2,0.1,2.0,0.0,14.0,20.0,70.0,3.0,17.0,0.0,0.0,0.0,238.0,61.0,8.0,11.0,72.7,4.0,5.0,80.0,2.0,3.0,66.7,2.0,0.0,2.0,0.0,18.0,2.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,2.0,1.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,0.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,10.0,19.0,8.0,28.0,0.0,0.0,0.0,44.0,3.0,0.0,0.0,2.0,1.0,36.0,23.0,63.9,11.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
1,Álvaro Vadillo,7.0,es ESP,LW,24-345,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,27.0,55.6,2.0,18.0,3.0,0.0,1.0,198.0,77.0,11.0,17.0,64.7,4.0,6.0,66.7,0.0,4.0,0.0,0.0,1.0,1.0,0.0,22.0,5.0,0.0,0.0,9.0,1.0,1.0,4.0,2.0,0.0,0.0,16.0,3.0,8.0,1.0,23.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,23.0,2.0,25.0,0.0,0.0,0.0,83.0,48.0,3.0,1.0,0.0,1.0,22.0,17.0,77.3,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
2,Darwin Machís,23.0,ve VEN,LM,26-197,32.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,7.0,15.0,46.7,0.0,15.0,5.0,2.0,2.0,64.0,11.0,4.0,6.0,66.7,1.0,3.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,8.0,4.0,3.0,3.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,14.0,4.0,18.0,100.0,2.0,0.0,122.0,94.0,1.0,2.0,1.0,1.0,20.0,15.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
3,Antonio Puertas,10.0,es ESP,"RW,RM",27-183,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,45.0,17.0,4.0,0.0,1.0,0.0,0.0,0.1,6.0,0.0,24.0,30.0,80.0,2.0,30.0,1.0,3.0,8.0,380.0,66.0,13.0,15.0,86.7,7.0,8.0,87.5,2.0,4.0,50.0,1.0,0.0,1.0,0.0,28.0,2.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,7.0,6.0,5.0,20.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,100.0,0.0,4.0,23.5,4.0,5.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,25.0,21.0,6.0,43.0,37.5,4.0,0.0,95.0,24.0,1.0,0.0,2.0,0.0,45.0,31.0,68.9,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,6.0,33.3
4,Fede Vico,14.0,es ESP,AM,25-050,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,9.0,0.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,22.0,24.0,91.7,1.0,23.0,3.0,0.0,3.0,386.0,89.0,13.0,13.0,100.0,7.0,8.0,87.5,2.0,3.0,66.7,1.0,3.0,1.0,1.0,22.0,2.0,1.0,0.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,16.0,4.0,4.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,44.4,1.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,16.0,1.0,29.0,0.0,0.0,0.0,89.0,44.0,0.0,0.0,2.0,0.0,30.0,26.0,86.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
5,Carlos Fernández,24.0,es ESP,FW,23-093,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,70.0,0.0,9.0,0.0,0.0,0.0,79.0,17.0,4.0,5.0,80.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,22.2,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,13.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,1.0,0.0,11.0,8.0,72.7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
6,Ángel Montoro,19.0,es ESP,DM,31-059,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,39.0,52.0,75.0,7.0,38.0,4.0,0.0,0.0,803.0,230.0,15.0,16.0,93.8,18.0,20.0,90.0,6.0,16.0,37.5,1.0,7.0,2.0,0.0,49.0,3.0,3.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,31.0,4.0,17.0,8.0,44.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,8.3,4.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,36.0,9.0,1.0,52.0,0.0,0.0,0.0,187.0,70.0,1.0,0.0,1.0,0.0,38.0,36.0,94.7,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0
7,Yan Brice Eteki,8.0,cm CMR,DM,21-362,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,13.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,27.0,29.0,93.1,2.0,23.0,4.0,1.0,2.0,481.0,125.0,10.0,10.0,100.0,14.0,14.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,29.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,5.0,3.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.1,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,3.0,1.0,34.0,50.0,1.0,0.0,66.0,40.0,0.0,0.0,0.0,1.0,26.0,24.0,92.3,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0
8,Adrián Ramos,20.0,co COL,DM,33-213,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,3.0,1.0,0.0,0.0,89.0,36.0,1.0,1.0,100.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,7.0,0.0,0.0,0.0,37.0,11.0,0.0,0.0,0.0,1.0,9.0,6.0,66.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
9,Quini,17.0,es ESP,LB,29-333,90.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,62.0,14.0,3.0,2.0,3.0,0.1,0.1,0.0,1.0,0.0,34.0,44.0,77.3,3.0,29.0,6.0,2.0,2.0,641.0,168.0,18.0,21.0,85.7,11.0,15.0,73.3,5.0,7.0,71.4,0.0,2.0,0.0,0.0,31.0,13.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,18.0,16.0,10.0,10.0,18.0,3.0,13.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,35.7,7.0,4.0,3.0,0.0,0.0,3.0,5.0,2.0,0.0,4.0,18.0,23.0,24.0,0.0,49.0,100.0,2.0,0.0,223.0,111.0,2.0,0.0,1.0,1.0,35.0,28.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
