player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Sebastiano Esposito,FW,17-172,90.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,49.0,50.0,3.0,3.0,4.0,0.8,0.1,0.1,2.0,0.0,23.0,35.0,65.7,2.0,28.0,4.0,0.0,0.0,440.0,138.0,13.0,17.0,76.5,4.0,5.0,80.0,5.0,10.0,50.0,1.0,3.0,1.0,0.0,28.0,7.0,0.0,0.0,9.0,6.0,0.0,6.0,6.0,0.0,0.0,16.0,10.0,9.0,2.0,30.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,3.0,0.0,3.0,17.0,34.0,4.0,19.0,27.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,5.0,16.0,32.0,8.0,42.0,0.0,0.0,0.0,93.0,51.0,1.0,1.0,2.0,0.0,47.0,27.0,57.4,7.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,33.3
Romelu Lukaku,FW,26-222,90.0,2.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,42.0,17.0,1.0,1.0,3.0,1.0,1.0,0.1,4.0,2.0,11.0,21.0,52.4,1.0,34.0,4.0,1.0,4.0,119.0,17.0,7.0,11.0,63.6,2.0,6.0,33.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,8.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,17.6,0.0,3.0,14.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,15.0,29.0,10.0,42.0,25.0,1.0,0.0,127.0,59.0,0.0,3.0,6.0,1.0,58.0,32.0,55.2,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Cristiano Biraghi,CM,27-111,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,12.0,1.0,1.0,3.0,0.1,0.1,0.3,6.0,2.0,38.0,46.0,82.6,5.0,35.0,5.0,1.0,2.0,713.0,374.0,16.0,16.0,100.0,16.0,19.0,84.2,6.0,8.0,75.0,3.0,2.0,3.0,2.0,35.0,11.0,2.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,22.0,12.0,12.0,28.0,9.0,0.0,9.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,16.7,2.0,4.0,6.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,5.0,30.0,25.0,1.0,45.0,50.0,1.0,0.0,131.0,78.0,2.0,0.0,2.0,0.0,35.0,30.0,85.7,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Federico Dimarco,CM,22-041,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,1.0,4.0,1.0,0.0,0.0,85.0,37.0,3.0,4.0,75.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,7.0,0.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Antonio Candreva,CM,32-296,74.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,67.0,11.0,0.0,0.0,2.0,0.1,0.1,0.2,5.0,2.0,46.0,57.0,80.7,2.0,59.0,10.0,5.0,5.0,989.0,275.0,22.0,24.0,91.7,13.0,17.0,76.5,10.0,15.0,66.7,2.0,2.0,2.0,1.0,52.0,5.0,0.0,0.0,13.0,7.0,4.0,0.0,0.0,0.0,0.0,26.0,13.0,18.0,9.0,42.0,1.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,18.2,2.0,4.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,13.0,32.0,26.0,2.0,62.0,100.0,5.0,0.0,285.0,140.0,2.0,0.0,0.0,2.0,53.0,52.0,98.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Valentino Lazaro,CM,23-272,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,92.9,2.0,13.0,2.0,0.0,2.0,209.0,111.0,7.0,7.0,100.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,7.0,7.0,1.0,15.0,0.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,13.0,12.0,92.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Borja Valero,DM,34-343,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,27.0,1.0,0.0,3.0,0.0,0.0,0.1,3.0,0.0,59.0,62.0,95.2,5.0,49.0,2.0,0.0,0.0,1159.0,254.0,28.0,28.0,100.0,20.0,23.0,87.0,9.0,9.0,100.0,1.0,5.0,1.0,0.0,59.0,3.0,3.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,43.0,13.0,6.0,8.0,52.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,18.5,6.0,9.0,12.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,15.0,37.0,18.0,0.0,67.0,0.0,0.0,0.0,184.0,97.0,0.0,0.0,1.0,1.0,60.0,55.0,91.7,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Roberto Gagliardini,WB,25-258,70.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,39.0,19.0,2.0,0.0,1.0,0.3,0.3,0.0,2.0,1.0,22.0,28.0,78.6,2.0,26.0,6.0,0.0,1.0,379.0,69.0,12.0,13.0,92.3,8.0,12.0,66.7,2.0,3.0,66.7,0.0,2.0,0.0,0.0,27.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,6.0,6.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,31.6,4.0,9.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,19.0,20.0,7.0,39.0,0.0,0.0,0.0,161.0,104.0,3.0,0.0,0.0,1.0,28.0,26.0,92.9,3.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,50.0
Stefano Sensi,WB,24-138,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,13.0,15.0,86.7,1.0,15.0,6.0,0.0,0.0,229.0,27.0,7.0,7.0,100.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,5.0,0.0,17.0,0.0,0.0,0.0,88.0,55.0,1.0,0.0,0.0,0.0,16.0,12.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Matías Vecino,WB,28-119,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,17.0,5.0,3.0,1.0,0.0,0.0,0.2,6.0,1.0,37.0,45.0,82.2,3.0,43.0,5.0,0.0,1.0,660.0,199.0,17.0,19.0,89.5,15.0,17.0,88.2,5.0,7.0,71.4,2.0,1.0,1.0,1.0,45.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,30.0,8.0,7.0,5.0,38.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,8.0,47.1,4.0,8.0,5.0,0.0,0.0,1.0,8.0,2.0,0.0,3.0,15.0,39.0,11.0,2.0,57.0,0.0,1.0,0.0,187.0,116.0,2.0,0.0,0.0,1.0,41.0,38.0,92.7,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
