,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Youssef En-Nesyri,26.0,ma MAR,FW,22-119,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,19.0,16.0,0.0,1.0,0.0,0.4,0.4,0.0,2.0,0.0,7.0,12.0,58.3,1.0,13.0,1.0,0.0,1.0,156.0,23.0,3.0,6.0,50.0,3.0,5.0,60.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.8,2.0,8.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,10.0,4.0,19.0,0.0,0.0,0.0,69.0,31.0,1.0,0.0,2.0,0.0,34.0,17.0,50.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,50.0
1,Martin Braithwaite,7.0,dk DEN,FW,28-115,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,21.0,13.0,1.0,0.0,1.0,0.3,0.3,0.0,1.0,0.0,9.0,12.0,75.0,0.0,13.0,2.0,0.0,0.0,98.0,8.0,8.0,10.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,23.1,1.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,11.0,9.0,4.0,21.0,0.0,0.0,0.0,71.0,15.0,1.0,0.0,1.0,1.0,42.0,16.0,38.1,10.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,50.0
2,Recio,8.0,es ESP,CM,28-260,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,45.0,48.0,93.8,3.0,40.0,3.0,0.0,0.0,797.0,244.0,15.0,15.0,100.0,28.0,29.0,96.6,2.0,2.0,100.0,1.0,3.0,0.0,0.0,44.0,4.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,12.0,1.0,1.0,44.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,19.2,9.0,14.0,3.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,15.0,42.0,6.0,1.0,55.0,0.0,0.0,0.0,181.0,95.0,1.0,0.0,1.0,1.0,46.0,41.0,89.1,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
3,Óscar Rodríguez Arnaiz,27.0,es ESP,"CM,RM",21-092,70.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,46.0,13.0,1.0,0.0,1.0,0.1,0.1,0.6,7.0,0.0,24.0,37.0,64.9,1.0,39.0,7.0,3.0,3.0,440.0,112.0,11.0,15.0,73.3,9.0,12.0,75.0,3.0,8.0,37.5,3.0,2.0,2.0,1.0,32.0,5.0,2.0,1.0,10.0,2.0,2.0,1.0,0.0,0.0,0.0,23.0,5.0,9.0,4.0,33.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,15.4,5.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,28.0,15.0,1.0,41.0,100.0,3.0,1.0,275.0,157.0,2.0,1.0,1.0,1.0,41.0,32.0,78.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
4,Guido Carrillo,18.0,ar ARG,RM,28-126,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,77.8,2.0,3.0,1.0,0.0,0.0,152.0,57.0,4.0,4.0,100.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,4.0,1.0,12.0,0.0,0.0,0.0,33.0,14.0,0.0,0.0,0.0,0.0,8.0,4.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,83.3
5,Rubén Pérez,21.0,es ESP,DM,30-155,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,58.8,1.0,11.0,0.0,0.0,0.0,173.0,39.0,5.0,7.0,71.4,4.0,6.0,66.7,1.0,4.0,25.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,6.0,0.0,13.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,5.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,7.0,19.0,0.0,0.0,24.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,1.0,15.0,13.0,86.7,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
6,Roque Mesa,6.0,es ESP,"CM,DM",30-113,52.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,39.0,15.0,1.0,0.0,0.0,0.1,0.1,0.2,4.0,0.0,25.0,29.0,86.2,4.0,33.0,4.0,3.0,4.0,436.0,172.0,14.0,14.0,100.0,7.0,7.0,100.0,4.0,7.0,57.1,3.0,3.0,0.0,0.0,26.0,3.0,1.0,0.0,14.0,1.0,0.0,2.0,1.0,0.0,1.0,18.0,5.0,6.0,4.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,26.7,4.0,9.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,27.0,10.0,0.0,36.0,75.0,3.0,0.0,137.0,69.0,0.0,0.0,2.0,1.0,35.0,28.0,80.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
7,Jonathan Silva,5.0,ar ARG,"WB,LB",25-091,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,16.0,2.0,2.0,1.0,0.0,0.0,0.1,5.0,0.0,28.0,38.0,73.7,5.0,27.0,7.0,1.0,1.0,529.0,276.0,9.0,10.0,90.0,13.0,15.0,86.7,6.0,12.0,50.0,3.0,4.0,4.0,2.0,29.0,9.0,3.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,12.0,10.0,16.0,25.0,3.0,3.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,25.0,7.0,7.0,2.0,1.0,0.0,0.0,4.0,6.0,0.0,7.0,14.0,24.0,13.0,1.0,41.0,100.0,1.0,0.0,148.0,98.0,2.0,0.0,0.0,0.0,27.0,23.0,85.2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,66.7
8,Marc Navarro,2.0,es ESP,WB,24-088,45.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,21.0,5.0,2.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,11.0,14.0,78.6,2.0,14.0,2.0,1.0,1.0,146.0,65.0,8.0,9.0,88.9,3.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,1.0,9.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,20.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,14.0,3.0,1.0,18.0,100.0,1.0,0.0,41.0,18.0,0.0,0.0,1.0,1.0,15.0,14.0,93.3,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
9,José Arnaiz,10.0,es ESP,LM,24-166,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,0.0,14.0,4.0,1.0,3.0,65.0,3.0,2.0,3.0,66.7,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,43.8,3.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,3.0,16.0,33.3,1.0,0.0,55.0,43.0,1.0,1.0,3.0,1.0,16.0,13.0,81.3,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
