,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Guido Carrillo,18.0,ar ARG,FW,28-288,90.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,42.0,32.0,1.0,0.0,1.0,0.5,0.5,0.0,4.0,2.0,20.0,27.0,74.1,2.0,20.0,1.0,2.0,3.0,281.0,43.0,11.0,15.0,73.3,5.0,8.0,62.5,1.0,1.0,100.0,2.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,11.0,1.0,15.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,8.0,25.0,3.0,17.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,22.0,17.0,8.0,42.0,66.7,2.0,0.0,59.0,23.0,0.0,0.0,4.0,1.0,52.0,32.0,61.5,11.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,7.0,9.0,5.0,64.3
1,Óscar Rodríguez Arnaiz,27.0,es ESP,FW,21-254,90.0,2.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,47.0,14.0,1.0,0.0,0.0,0.8,0.1,0.0,1.0,0.0,28.0,36.0,77.8,4.0,34.0,5.0,1.0,1.0,467.0,130.0,18.0,21.0,85.7,6.0,7.0,85.7,4.0,8.0,50.0,0.0,0.0,0.0,0.0,30.0,6.0,1.0,0.0,9.0,2.0,2.0,3.0,2.0,0.0,0.0,23.0,3.0,10.0,5.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,2.0,14.3,2.0,5.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,23.0,27.0,3.0,40.0,100.0,1.0,0.0,188.0,94.0,3.0,1.0,3.0,2.0,41.0,33.0,80.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2,Kévin Rodrigues,24.0,pt POR,LM,26-003,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,25.0,4.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,22.0,31.0,71.0,3.0,27.0,4.0,2.0,2.0,415.0,204.0,10.0,11.0,90.9,8.0,10.0,80.0,4.0,10.0,40.0,1.0,4.0,2.0,1.0,26.0,5.0,1.0,0.0,7.0,3.0,3.0,2.0,0.0,1.0,1.0,18.0,3.0,10.0,22.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,5.0,60.0,2.0,2.0,8.0,15.0,6.0,4.0,0.0,0.0,3.0,5.0,4.0,0.0,8.0,16.0,16.0,14.0,0.0,41.0,100.0,2.0,0.0,105.0,69.0,1.0,0.0,1.0,0.0,30.0,25.0,83.3,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
3,Roque Mesa,6.0,es ESP,CM,30-275,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,39.0,46.0,84.8,8.0,46.0,10.0,2.0,2.0,741.0,232.0,15.0,18.0,83.3,15.0,16.0,93.8,6.0,8.0,75.0,1.0,5.0,1.0,0.0,44.0,2.0,2.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,8.0,6.0,11.0,35.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,26.9,16.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,37.0,11.0,0.0,50.0,100.0,2.0,0.0,367.0,207.0,0.0,0.0,0.0,1.0,41.0,39.0,95.1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
4,Ibrahim Amadou,23.0,fr FRA,CM,26-337,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,34.0,79.4,0.0,25.0,2.0,0.0,0.0,414.0,94.0,16.0,18.0,88.9,10.0,13.0,76.9,1.0,2.0,50.0,0.0,2.0,0.0,0.0,34.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,4.0,5.0,25.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,6.0,28.6,9.0,9.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,11.0,25.0,3.0,0.0,39.0,0.0,0.0,0.0,97.0,40.0,0.0,0.0,1.0,0.0,30.0,27.0,90.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0
5,Aitor Ruibal,19.0,es ESP,RM,23-352,63.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,31.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,14.0,71.4,0.0,16.0,1.0,1.0,2.0,104.0,19.0,10.0,11.0,90.9,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,25.0,3.0,6.0,19.4,10.0,11.0,10.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,9.0,11.0,1.0,23.0,50.0,1.0,0.0,32.0,14.0,0.0,0.0,0.0,3.0,27.0,13.0,48.1,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
6,Roger Assalé,20.0,ci CIV,RM,26-116,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,6.0,83.3,0.0,7.0,3.0,1.0,1.0,125.0,3.0,1.0,1.0,100.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,3.0,2.0,8.0,100.0,1.0,0.0,79.0,63.0,2.0,2.0,0.0,0.0,11.0,6.0,54.5,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
7,Jonathan Silva,5.0,ar ARG,LB,25-253,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,42.0,64.3,3.0,30.0,5.0,2.0,2.0,486.0,221.0,9.0,11.0,81.8,17.0,23.0,73.9,1.0,6.0,16.7,1.0,2.0,0.0,0.0,33.0,9.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,14.0,13.0,15.0,29.0,1.0,2.0,9.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,4.0,50.0,2.0,5.0,29.4,7.0,8.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,12.0,23.0,16.0,1.0,40.0,100.0,2.0,1.0,113.0,63.0,2.0,0.0,1.0,0.0,34.0,31.0,91.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
8,Dimitris Siovas,22.0,gr GRE,CB,31-174,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,31.0,77.4,0.0,26.0,0.0,1.0,1.0,488.0,136.0,8.0,10.0,80.0,13.0,15.0,86.7,3.0,6.0,50.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,5.0,7.0,28.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,9.0,28.0,13.0,1.0,0.0,39.0,100.0,1.0,0.0,140.0,67.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,66.7
9,Kenneth Omeruo,4.0,ng NGA,CB,26-143,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
