,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Ante Budimir,22.0,hr CRO,FW,28-104,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,5.0,1.0,0.0,1.0,0.3,0.3,0.1,1.0,0.0,12.0,17.0,70.6,2.0,23.0,2.0,1.0,1.0,139.0,48.0,10.0,12.0,83.3,2.0,5.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,4.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,15.0,8.0,31.0,100.0,1.0,0.0,69.0,29.0,1.0,1.0,8.0,0.0,54.0,27.0,50.0,11.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,60.0
1,Lago Junior,11.0,ci CIV,LM,28-307,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,27.0,37.0,73.0,4.0,44.0,7.0,3.0,4.0,373.0,121.0,14.0,19.0,73.7,10.0,12.0,83.3,1.0,4.0,25.0,0.0,0.0,2.0,0.0,36.0,1.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,22.0,9.0,6.0,4.0,30.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,66.7,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,26.0,24.0,7.0,49.0,75.0,3.0,0.0,322.0,208.0,2.0,3.0,2.0,6.0,50.0,40.0,80.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
2,Marc Pedraza,6.0,es ESP,CM,32-270,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,64.3,2.0,8.0,0.0,0.0,0.0,153.0,75.0,4.0,5.0,80.0,2.0,5.0,40.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,5.0,0.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,4.0,44.4,2.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,5.0,13.0,2.0,0.0,18.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,1.0,8.0,7.0,87.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
3,Aleix Febas,23.0,es ESP,CM,23-274,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,19.0,84.2,3.0,19.0,5.0,1.0,1.0,260.0,78.0,7.0,9.0,77.8,7.0,7.0,100.0,1.0,2.0,50.0,1.0,2.0,0.0,0.0,18.0,1.0,1.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,16.0,7.0,4.0,22.0,100.0,1.0,0.0,154.0,110.0,0.0,1.0,1.0,0.0,17.0,16.0,94.1,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4,Takefusa Kubo,26.0,jp JPN,CM,18-152,67.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,17.0,22.0,77.3,1.0,30.0,3.0,0.0,1.0,286.0,56.0,9.0,12.0,75.0,6.0,6.0,100.0,1.0,3.0,33.3,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,15.0,6.0,1.0,16.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,33.3,2.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,13.0,22.0,2.0,37.0,0.0,0.0,0.0,65.0,30.0,1.0,0.0,5.0,3.0,31.0,29.0,93.5,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
5,Ariday Cabrera,7.0,es ESP,CM,31-038,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,6.0,0.0,0.0,1.0,109.0,29.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,9.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,2.0,0.0,7.0,6.0,85.7,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Dani Rodríguez,14.0,es ESP,RM,31-150,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,11.0,2.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,28.0,39.0,71.8,7.0,35.0,8.0,0.0,1.0,427.0,178.0,15.0,22.0,68.2,9.0,10.0,90.0,2.0,4.0,50.0,1.0,2.0,2.0,0.0,38.0,1.0,1.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,2.0,6.0,7.0,25.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,1.0,9.1,0.0,8.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,36.0,14.0,0.0,48.0,0.0,0.0,0.0,300.0,191.0,5.0,0.0,1.0,0.0,37.0,34.0,91.9,7.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,75.0
7,Salva Sevilla,8.0,es ESP,DM,35-230,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,8.0,1.0,0.0,0.0,0.0,0.0,0.1,4.0,0.0,50.0,60.0,83.3,10.0,41.0,5.0,1.0,2.0,934.0,362.0,27.0,28.0,96.4,13.0,14.0,92.9,9.0,17.0,52.9,4.0,11.0,0.0,0.0,44.0,16.0,7.0,0.0,10.0,4.0,1.0,6.0,3.0,2.0,0.0,39.0,8.0,13.0,4.0,55.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,14.0,47.0,15.0,0.0,53.0,50.0,1.0,0.0,228.0,148.0,0.0,0.0,2.0,2.0,45.0,42.0,93.3,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
8,Abdón Prats,9.0,es ESP,DM,26-331,15.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,11.0,6.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,55.6,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
9,Lumor Agbenyenu,3.0,gh GHA,LB,23-016,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,63.0,73.0,7.0,44.0,3.0,1.0,2.0,745.0,472.0,22.0,23.0,95.7,20.0,29.0,69.0,3.0,8.0,37.5,1.0,6.0,0.0,0.0,50.0,13.0,1.0,0.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,34.0,13.0,16.0,46.0,2.0,3.0,12.0,0.0,0.0,5.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,33.3,2.0,2.0,25.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,19.0,32.0,25.0,0.0,60.0,50.0,1.0,0.0,255.0,121.0,2.0,0.0,1.0,2.0,41.0,38.0,92.7,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
