player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Sergio Agüero,FW,31-245,63.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,38.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,18.0,21.0,85.7,1.0,28.0,3.0,1.0,5.0,257.0,46.0,13.0,15.0,86.7,4.0,4.0,100.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,1.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,0.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,17.0,24.0,10.0,38.0,20.0,2.0,0.0,102.0,45.0,2.0,1.0,1.0,2.0,47.0,28.0,59.6,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0
João Cancelo,LB,25-251,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,90.0,1.0,16.0,1.0,1.0,1.0,365.0,38.0,4.0,5.0,80.0,11.0,12.0,91.7,3.0,3.0,100.0,0.0,1.0,1.0,0.0,18.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,2.0,3.0,15.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,12.0,8.0,1.0,22.0,100.0,1.0,0.0,73.0,39.0,0.0,1.0,2.0,0.0,16.0,15.0,93.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Raheem Sterling,"LW,FW",25-056,83.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,54.0,10.0,1.0,1.0,0.0,0.2,0.2,1.0,2.0,0.0,37.0,43.0,86.0,1.0,41.0,1.0,1.0,2.0,590.0,86.0,21.0,22.0,95.5,14.0,16.0,87.5,2.0,2.0,100.0,2.0,2.0,1.0,0.0,41.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,9.0,4.0,3.0,34.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,60.0,0.0,7.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,24.0,29.0,5.0,52.0,50.0,1.0,0.0,161.0,97.0,2.0,0.0,2.0,1.0,52.0,38.0,73.1,9.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,66.7
Bernardo Silva,RM,25-176,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,2.0,0.0,9.0,11.0,81.8,3.0,9.0,3.0,0.0,0.0,195.0,69.0,3.0,4.0,75.0,5.0,5.0,100.0,1.0,2.0,50.0,1.0,0.0,3.0,0.0,10.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,11.0,0.0,0.0,0.0,66.0,55.0,0.0,2.0,0.0,0.0,13.0,11.0,84.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riyad Mahrez,"RW,FW",28-346,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,14.0,2.0,1.0,2.0,0.0,0.0,0.1,8.0,0.0,46.0,58.0,79.3,10.0,57.0,13.0,3.0,7.0,953.0,260.0,15.0,18.0,83.3,21.0,25.0,84.0,9.0,11.0,81.8,2.0,4.0,2.0,0.0,56.0,2.0,1.0,3.0,11.0,5.0,5.0,1.0,1.0,0.0,0.0,40.0,12.0,6.0,51.0,5.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,35.7,4.0,7.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,9.0,29.0,37.0,9.0,65.0,42.9,3.0,0.0,351.0,234.0,5.0,3.0,0.0,1.0,66.0,56.0,84.8,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
Gabriel Jesus,FW,22-305,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,9.0,2.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,9.0,9.0,100.0,0.0,11.0,1.0,0.0,2.0,150.0,23.0,6.0,6.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,44.4,2.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,10.0,2.0,14.0,0.0,0.0,0.0,37.0,20.0,1.0,0.0,0.0,0.0,21.0,12.0,57.1,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İlkay Gündoğan,"CM,DM",29-101,90.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,97.0,18.0,3.0,1.0,1.0,1.4,0.7,0.2,2.0,0.0,83.0,92.0,90.2,11.0,76.0,11.0,0.0,0.0,1473.0,326.0,40.0,43.0,93.0,31.0,34.0,91.2,11.0,14.0,78.6,2.0,9.0,2.0,0.0,90.0,2.0,1.0,1.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,65.0,20.0,7.0,28.0,62.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,25.0,3.0,7.0,38.9,3.0,10.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,10.0,65.0,30.0,6.0,94.0,0.0,0.0,0.0,349.0,160.0,3.0,0.0,0.0,0.0,89.0,81.0,91.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
Kevin De Bruyne,"CM,LM",28-219,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,66.0,18.0,0.0,0.0,0.0,0.1,0.1,0.3,7.0,0.0,35.0,56.0,62.5,5.0,51.0,9.0,2.0,3.0,742.0,199.0,14.0,22.0,63.6,14.0,21.0,66.7,6.0,10.0,60.0,2.0,7.0,1.0,0.0,50.0,6.0,2.0,1.0,13.0,5.0,6.0,4.0,2.0,2.0,0.0,33.0,8.0,15.0,1.0,53.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.3,3.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,44.0,11.0,61.0,66.7,2.0,0.0,224.0,139.0,3.0,4.0,3.0,1.0,61.0,50.0,82.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
Rodri,DM,23-225,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,82.0,24.0,1.0,0.0,1.0,0.1,0.1,0.1,3.0,0.0,65.0,74.0,87.8,5.0,63.0,5.0,0.0,0.0,1387.0,272.0,25.0,28.0,89.3,25.0,27.0,92.6,15.0,18.0,83.3,2.0,7.0,1.0,0.0,73.0,1.0,0.0,0.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,50.0,13.0,11.0,8.0,57.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,20.8,11.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,9.0,54.0,29.0,3.0,81.0,0.0,0.0,0.0,228.0,114.0,5.0,0.0,1.0,2.0,78.0,71.0,91.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,75.0
Oleksandr Zinchenko,"LB,AM,CM",23-049,59.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,74.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,68.0,94.1,4.0,57.0,3.0,0.0,2.0,1153.0,273.0,33.0,34.0,97.1,22.0,23.0,95.7,8.0,8.0,100.0,0.0,2.0,0.0,0.0,60.0,8.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0,7.0,51.0,6.0,2.0,8.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,4.0,66.7,1.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18.0,39.0,24.0,0.0,66.0,0.0,0.0,0.0,238.0,127.0,1.0,0.0,0.0,0.0,58.0,53.0,91.4,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
