,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Habib Diallo,20.0,sn SEN,FW,24-169,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,0.2,0.2,0.1,6.0,0.0,16.0,16.0,100.0,2.0,19.0,4.0,1.0,2.0,299.0,61.0,8.0,8.0,100.0,5.0,5.0,100.0,3.0,3.0,100.0,2.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,6.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.3,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,2.0,27.0,50.0,1.0,0.0,125.0,69.0,5.0,0.0,3.0,2.0,31.0,22.0,71.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,35.7
1,Opa Nguette,11.0,sn SEN,LW,25-149,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,27.0,13.0,0.0,0.0,1.0,0.2,0.2,0.1,3.0,0.0,11.0,15.0,73.3,1.0,20.0,2.0,1.0,2.0,159.0,27.0,5.0,7.0,71.4,5.0,7.0,71.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,2.0,11.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,38.5,4.0,6.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,4.0,8.0,15.0,3.0,27.0,50.0,1.0,0.0,89.0,26.0,0.0,0.0,2.0,3.0,25.0,19.0,76.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
2,Thierry Ambrose,9.0,fr FRA,LW,22-251,30.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,12.0,16.0,75.0,2.0,19.0,4.0,2.0,5.0,235.0,94.0,4.0,8.0,50.0,3.0,3.0,100.0,3.0,3.0,100.0,1.0,0.0,2.0,1.0,16.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,8.0,2.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,18.0,5.0,25.0,40.0,3.0,0.0,88.0,64.0,0.0,1.0,0.0,1.0,21.0,20.0,95.2,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,75.0
3,Adama Traoré,25.0,ml MLI,RW,24-159,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,18.0,0.0,0.0,1.0,0.0,0.0,0.5,11.0,0.0,39.0,47.0,83.0,6.0,44.0,10.0,4.0,8.0,740.0,259.0,23.0,25.0,92.0,8.0,10.0,80.0,8.0,12.0,66.7,7.0,3.0,4.0,1.0,35.0,12.0,1.0,0.0,11.0,4.0,2.0,7.0,5.0,2.0,0.0,31.0,7.0,9.0,29.0,14.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.1,2.0,11.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,27.0,30.0,1.0,45.0,50.0,4.0,1.0,195.0,114.0,3.0,1.0,0.0,1.0,42.0,34.0,81.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0
4,Renaud Cohade,24.0,fr FRA,CM,35-066,73.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,61.0,24.0,1.0,3.0,1.0,0.1,0.1,0.0,3.0,0.0,46.0,54.0,85.2,5.0,52.0,9.0,1.0,1.0,867.0,148.0,20.0,21.0,95.2,21.0,24.0,87.5,5.0,8.0,62.5,0.0,5.0,0.0,0.0,54.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,11.0,5.0,5.0,47.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,41.7,4.0,15.0,5.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,7.0,47.0,18.0,1.0,61.0,100.0,1.0,0.0,340.0,162.0,5.0,0.0,0.0,1.0,48.0,47.0,97.9,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
5,Marvin Gakpa,10.0,fr FRA,CM,26-033,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,4.0,0.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,12.0,14.0,85.7,3.0,15.0,5.0,0.0,0.0,213.0,62.0,4.0,4.0,100.0,5.0,7.0,71.4,2.0,2.0,100.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,12.0,2.0,17.0,0.0,0.0,0.0,113.0,52.0,2.0,0.0,1.0,0.0,14.0,13.0,92.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
6,Habib Maïga,19.0,ci CIV,CM,23-337,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,61.0,29.0,0.0,3.0,1.0,0.1,0.1,0.0,1.0,0.0,38.0,49.0,77.6,4.0,46.0,5.0,1.0,1.0,894.0,191.0,10.0,13.0,76.9,18.0,22.0,81.8,10.0,13.0,76.9,0.0,2.0,0.0,0.0,47.0,2.0,2.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,37.0,4.0,8.0,3.0,39.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,20.7,7.0,17.0,5.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,9.0,46.0,13.0,2.0,59.0,100.0,1.0,0.0,385.0,142.0,1.0,0.0,2.0,1.0,45.0,43.0,95.6,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,25.0
7,Mamadou Fofana,6.0,ml MLI,DM,21-317,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,55.0,28.0,2.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,40.0,43.0,93.0,5.0,38.0,2.0,1.0,1.0,829.0,227.0,12.0,12.0,100.0,20.0,22.0,90.9,8.0,9.0,88.9,0.0,3.0,0.0,0.0,42.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,4.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,9.0,32.1,9.0,18.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,18.0,33.0,8.0,1.0,54.0,100.0,1.0,0.0,125.0,49.0,1.0,0.0,1.0,0.0,36.0,35.0,97.2,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,50.0
8,Thomas Delaine,17.0,fr FRA,LB,27-255,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,67.0,14.0,2.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,34.0,51.0,66.7,2.0,45.0,10.0,1.0,2.0,610.0,153.0,15.0,17.0,88.2,16.0,21.0,76.2,3.0,11.0,27.3,1.0,0.0,0.0,0.0,40.0,11.0,0.0,0.0,7.0,1.0,6.0,1.0,0.0,1.0,0.0,24.0,15.0,12.0,24.0,16.0,0.0,10.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,28.6,9.0,4.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,17.0,30.0,29.0,3.0,56.0,50.0,1.0,0.0,352.0,196.0,6.0,1.0,1.0,3.0,46.0,40.0,87.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
9,John Boye,21.0,gh GHA,CB,32-225,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,60.0,95.0,3.0,47.0,0.0,0.0,0.0,1274.0,350.0,13.0,13.0,100.0,34.0,35.0,97.1,10.0,12.0,83.3,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,8.0,2.0,8.0,47.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,40.0,8.0,7.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,7.0,45.0,26.0,0.0,0.0,70.0,0.0,0.0,0.0,157.0,26.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,100.0
