,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Teemu Pukki,22.0,fi FIN,"FW,LW",29-224,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,45.0,18.0,1.0,1.0,1.0,0.3,0.3,0.0,3.0,0.0,27.0,31.0,87.1,1.0,33.0,0.0,1.0,2.0,428.0,44.0,17.0,19.0,89.5,8.0,9.0,88.9,2.0,2.0,100.0,2.0,0.0,1.0,1.0,29.0,2.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,5.0,2.0,6.0,23.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,20.0,4.0,5.0,27.8,0.0,7.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,12.0,31.0,9.0,43.0,50.0,1.0,0.0,130.0,23.0,1.0,0.0,3.0,2.0,47.0,30.0,63.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
1,Onel Hernández,11.0,cu CUB,"LW,RW",26-280,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,6.0,1.0,0.0,1.0,0.1,0.1,0.0,3.0,0.0,20.0,30.0,66.7,2.0,36.0,13.0,6.0,11.0,279.0,50.0,12.0,16.0,75.0,8.0,11.0,72.7,0.0,1.0,0.0,1.0,0.0,3.0,1.0,26.0,4.0,0.0,0.0,10.0,1.0,5.0,1.0,0.0,0.0,0.0,18.0,9.0,3.0,8.0,18.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,33.3,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,37.0,10.0,39.0,54.5,6.0,0.0,266.0,220.0,0.0,7.0,0.0,2.0,40.0,31.0,77.5,7.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2,Emi Buendía,17.0,ar ARG,RW,22-318,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,19.0,5.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,21.0,36.0,58.3,6.0,37.0,3.0,2.0,5.0,410.0,169.0,8.0,14.0,57.1,9.0,10.0,90.0,4.0,11.0,36.4,0.0,3.0,1.0,0.0,30.0,6.0,1.0,0.0,11.0,2.0,1.0,5.0,3.0,2.0,0.0,20.0,6.0,10.0,4.0,30.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,26.3,6.0,9.0,4.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,8.0,29.0,19.0,1.0,45.0,40.0,2.0,0.0,175.0,96.0,2.0,0.0,3.0,2.0,36.0,32.0,88.9,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
3,Todd Cantwell,14.0,eng ENG,"RW,AM",21-254,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,24.0,34.0,70.6,3.0,28.0,7.0,3.0,5.0,468.0,111.0,10.0,12.0,83.3,9.0,10.0,90.0,4.0,9.0,44.4,1.0,1.0,2.0,0.0,27.0,7.0,4.0,0.0,8.0,3.0,5.0,3.0,0.0,1.0,0.0,21.0,6.0,7.0,1.0,31.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,75.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,29.0,3.0,30.0,60.0,3.0,0.0,145.0,83.0,1.0,1.0,0.0,0.0,31.0,28.0,90.3,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0
4,Marco Stiepermann,18.0,de GER,AM,28-272,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,16.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,13.0,21.0,61.9,1.0,21.0,3.0,3.0,4.0,180.0,73.0,5.0,8.0,62.5,6.0,9.0,66.7,0.0,2.0,0.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,18.8,1.0,10.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,18.0,10.0,2.0,30.0,75.0,3.0,1.0,118.0,63.0,1.0,1.0,1.0,1.0,30.0,17.0,56.7,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0
5,Josip Drmić,20.0,ch SUI,"AM,FW",27-092,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,2.0,0.0,0.0,0.0,30.0,4.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,14.0,9.0,0.0,0.0,0.0,0.0,6.0,1.0,16.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
6,Kenny McLean,23.0,sco SCO,"DM,LB",27-304,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,85.0,17.0,1.0,0.0,2.0,0.1,0.1,0.2,4.0,0.0,57.0,72.0,79.2,6.0,66.0,12.0,4.0,5.0,852.0,285.0,28.0,31.0,90.3,24.0,29.0,82.8,2.0,7.0,28.6,3.0,7.0,1.0,0.0,67.0,5.0,0.0,0.0,17.0,0.0,3.0,1.0,1.0,0.0,0.0,53.0,12.0,7.0,52.0,15.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,23.5,6.0,8.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,15.0,37.0,36.0,4.0,80.0,80.0,5.0,1.0,327.0,181.0,2.0,0.0,2.0,1.0,67.0,62.0,92.5,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
7,Tom Trybull,19.0,de GER,DM,26-244,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,25.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,61.0,62.0,98.4,5.0,53.0,6.0,0.0,0.0,1244.0,268.0,22.0,22.0,100.0,30.0,31.0,96.8,9.0,9.0,100.0,0.0,4.0,0.0,0.0,60.0,2.0,2.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,11.0,5.0,6.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,7.0,28.6,5.0,6.0,24.0,10.0,14.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,4.0,17.0,52.0,9.0,1.0,72.0,0.0,0.0,0.0,229.0,120.0,2.0,0.0,2.0,0.0,59.0,54.0,91.5,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,40.0
8,Jamal Lewis,12.0,nir NIR,LB,21-287,80.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,84.0,9.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,65.0,73.0,89.0,6.0,64.0,10.0,2.0,2.0,1231.0,280.0,24.0,28.0,85.7,36.0,38.0,94.7,4.0,5.0,80.0,0.0,7.0,2.0,1.0,64.0,9.0,1.0,0.0,11.0,3.0,1.0,0.0,0.0,0.0,0.0,54.0,16.0,3.0,57.0,7.0,0.0,8.0,1.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,22.2,3.0,6.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,6.0,25.0,55.0,16.0,2.0,75.0,100.0,2.0,0.0,547.0,293.0,4.0,2.0,0.0,2.0,65.0,61.0,93.8,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
9,Mario Vrančić,8.0,ba BIH,DM,30-169,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,13.0,76.9,2.0,10.0,0.0,0.0,0.0,158.0,46.0,6.0,6.0,100.0,3.0,4.0,75.0,1.0,3.0,33.3,1.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,10.0,0.0,14.0,0.0,0.0,0.0,51.0,24.0,0.0,0.0,0.0,1.0,10.0,9.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
