player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Streli Mamba,FW,25-188,66.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,31.0,16.0,0.0,0.0,2.0,0.3,0.3,0.5,4.0,0.0,15.0,20.0,75.0,0.0,26.0,4.0,2.0,4.0,201.0,46.0,7.0,8.0,87.5,6.0,7.0,85.7,0.0,1.0,0.0,3.0,1.0,0.0,0.0,18.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,4.0,3.0,13.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.3,2.0,3.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,16.0,14.0,3.0,29.0,50.0,2.0,0.0,107.0,47.0,1.0,0.0,2.0,1.0,39.0,22.0,56.4,10.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
Sven Michel,FW,29-160,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.2,2.0,0.0,6.0,8.0,75.0,1.0,10.0,1.0,1.0,1.0,71.0,36.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,50.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,9.0,2.0,11.0,100.0,1.0,0.0,52.0,20.0,1.0,0.0,1.0,1.0,16.0,9.0,56.3,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Ben Zolinski,FW,27-233,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,18.0,2.0,2.0,2.0,0.4,0.4,0.3,3.0,0.0,23.0,30.0,76.7,3.0,29.0,4.0,1.0,1.0,381.0,114.0,13.0,15.0,86.7,5.0,8.0,62.5,5.0,6.0,83.3,3.0,4.0,1.0,0.0,30.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,10.0,6.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,8.0,44.4,6.0,9.0,3.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,9.0,19.0,19.0,3.0,43.0,100.0,1.0,0.0,140.0,72.0,3.0,1.0,1.0,0.0,47.0,27.0,57.4,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,75.0
Cauly Oliveira Souza,FW,24-098,12.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.4,0.4,0.0,2.0,0.0,4.0,6.0,66.7,1.0,6.0,1.0,1.0,1.0,43.0,24.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,3.0,8.0,100.0,1.0,0.0,9.0,6.0,0.0,1.0,0.0,0.0,6.0,6.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher Antwi-Adjei,LM,25-318,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,51.0,11.0,1.0,0.0,3.0,1.0,1.0,0.2,5.0,0.0,24.0,35.0,68.6,2.0,39.0,3.0,2.0,3.0,400.0,137.0,15.0,22.0,68.2,6.0,9.0,66.7,3.0,3.0,100.0,3.0,1.0,1.0,1.0,32.0,3.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,13.0,5.0,4.0,22.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,63.6,2.0,4.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,7.0,15.0,32.0,5.0,48.0,66.7,2.0,0.0,206.0,103.0,1.0,0.0,3.0,3.0,44.0,35.0,79.5,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,75.0
Kai Pröger,RM,27-221,85.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,33.0,18.0,2.0,0.0,1.0,0.3,0.3,0.6,7.0,2.0,14.0,19.0,73.7,1.0,27.0,7.0,5.0,6.0,289.0,92.0,6.0,6.0,100.0,5.0,6.0,83.3,3.0,6.0,50.0,2.0,0.0,1.0,1.0,14.0,5.0,2.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,5.0,5.0,9.0,2.0,14.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,25.0,3.0,4.0,22.2,4.0,11.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,8.0,22.0,6.0,29.0,83.3,5.0,0.0,148.0,79.0,2.0,1.0,0.0,2.0,41.0,19.0,46.3,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Uwe Hünemeier,RM,33-347,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Abdelhamid Sabiri,DM,23-024,90.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,58.0,9.0,1.0,1.0,4.0,0.2,0.2,0.2,4.0,1.0,24.0,39.0,61.5,3.0,38.0,3.0,3.0,5.0,358.0,77.0,15.0,17.0,88.2,9.0,13.0,69.2,0.0,8.0,0.0,1.0,1.0,0.0,0.0,38.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.0,12.0,5.0,26.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,44.4,3.0,1.0,5.0,0.0,0.0,4.0,2.0,3.0,0.0,4.0,11.0,27.0,20.0,1.0,57.0,60.0,3.0,0.0,115.0,49.0,0.0,0.0,2.0,3.0,53.0,35.0,66.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,6.0,40.0
Klaus Gjasula,DM,30-008,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,38.0,65.8,4.0,24.0,0.0,1.0,1.0,468.0,128.0,12.0,14.0,85.7,8.0,13.0,61.5,5.0,9.0,55.6,1.0,4.0,0.0,0.0,38.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,7.0,22.0,13.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,4.0,40.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,13.0,29.0,6.0,0.0,48.0,100.0,1.0,0.0,72.0,27.0,0.0,0.0,0.0,0.0,24.0,21.0,87.5,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,3.0,5.0,37.5
Jamilu Collins,LB,25-139,90.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,79.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,49.0,68.0,72.1,8.0,50.0,7.0,2.0,2.0,1005.0,546.0,20.0,24.0,83.3,21.0,27.0,77.8,8.0,14.0,57.1,1.0,12.0,0.0,0.0,52.0,16.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,32.0,15.0,21.0,41.0,9.0,2.0,16.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,3.0,66.7,1.0,3.0,30.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,4.0,30.0,40.0,13.0,1.0,64.0,100.0,2.0,0.0,268.0,171.0,2.0,1.0,0.0,1.0,44.0,43.0,97.7,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
