,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Karim Benzema,9.0,fr FRA,FW,32-080,90.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,55.0,17.0,0.0,0.0,0.0,0.9,0.1,0.1,5.0,1.0,37.0,49.0,75.5,4.0,39.0,3.0,1.0,1.0,621.0,126.0,20.0,24.0,83.3,10.0,16.0,62.5,5.0,7.0,71.4,2.0,4.0,2.0,0.0,47.0,2.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,10.0,7.0,12.0,32.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,47.1,0.0,6.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,26.0,25.0,9.0,52.0,100.0,1.0,0.0,133.0,56.0,0.0,1.0,1.0,1.0,69.0,43.0,62.3,9.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
1,Vinicius Júnior,25.0,br BRA,LM,19-240,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,43.0,32.0,3.0,0.0,1.0,0.2,0.2,0.2,2.0,0.0,21.0,28.0,75.0,1.0,40.0,7.0,4.0,7.0,325.0,52.0,10.0,12.0,83.3,7.0,8.0,87.5,2.0,3.0,66.7,1.0,0.0,1.0,0.0,27.0,1.0,1.0,0.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,20.0,6.0,2.0,1.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,33.3,2.0,9.0,28.1,14.0,13.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,20.0,23.0,8.0,43.0,57.1,4.0,0.0,183.0,108.0,2.0,2.0,3.0,1.0,49.0,35.0,71.4,7.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
2,Toni Kroos,8.0,de GER,CM,30-064,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,26.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,41.0,90.2,3.0,35.0,4.0,1.0,1.0,696.0,199.0,16.0,17.0,94.1,14.0,14.0,100.0,5.0,7.0,71.4,0.0,3.0,0.0,0.0,39.0,2.0,2.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,4.0,9.0,31.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,11.5,7.0,13.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,14.0,31.0,8.0,0.0,45.0,100.0,1.0,0.0,142.0,74.0,3.0,0.0,1.0,0.0,39.0,36.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
3,Mariano,24.0,do DOM,FW,26-220,22.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,85.7,0.0,6.0,0.0,1.0,1.0,63.0,4.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,10.0,100.0,1.0,0.0,12.0,5.0,0.0,0.0,2.0,0.0,16.0,8.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,66.7
4,Luka Modrić,10.0,hr CRO,CM,34-181,78.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,61.0,17.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,48.0,54.0,88.9,2.0,43.0,6.0,0.0,1.0,754.0,225.0,27.0,29.0,93.1,12.0,12.0,100.0,6.0,8.0,75.0,1.0,2.0,1.0,0.0,52.0,2.0,2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,9.0,2.0,6.0,46.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,29.4,6.0,6.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,13.0,28.0,23.0,3.0,59.0,0.0,0.0,0.0,254.0,85.0,3.0,0.0,0.0,0.0,53.0,47.0,88.7,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
5,Federico Valverde,15.0,uy URU,CM,21-230,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,1.0,4.0,1.0,0.0,0.0,39.0,18.0,0.0,1.0,0.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,38.0,17.0,0.0,0.0,1.0,0.0,5.0,5.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
6,Lucas Vázquez,17.0,es ESP,RM,28-251,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,19.0,2.0,0.0,3.0,0.0,0.0,0.1,3.0,0.0,52.0,67.0,77.6,5.0,63.0,9.0,4.0,4.0,873.0,332.0,30.0,31.0,96.8,16.0,24.0,66.7,6.0,11.0,54.5,3.0,1.0,5.0,2.0,65.0,2.0,0.0,0.0,7.0,5.0,7.0,2.0,0.0,2.0,0.0,39.0,11.0,17.0,8.0,56.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,6.0,31.6,11.0,3.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,17.0,32.0,33.0,2.0,78.0,100.0,4.0,0.0,288.0,161.0,2.0,0.0,1.0,4.0,71.0,59.0,83.1,7.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0
7,Casemiro,14.0,br BRA,"DM,CM",28-014,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,11.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,60.0,76.0,78.9,7.0,61.0,4.0,2.0,3.0,1295.0,392.0,25.0,27.0,92.6,18.0,27.0,66.7,16.0,20.0,80.0,0.0,6.0,2.0,0.0,76.0,0.0,0.0,0.0,10.0,4.0,3.0,0.0,0.0,0.0,0.0,46.0,11.0,19.0,6.0,67.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,5.0,4.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,4.0,20.0,59.0,13.0,3.0,88.0,66.7,2.0,0.0,207.0,139.0,1.0,0.0,0.0,2.0,68.0,65.0,95.6,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,100.0
8,Marcelo,12.0,br BRA,LB,31-301,58.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,39.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,29.0,37.0,78.4,2.0,24.0,4.0,0.0,0.0,565.0,152.0,15.0,17.0,88.2,9.0,10.0,90.0,5.0,9.0,55.6,1.0,1.0,2.0,2.0,33.0,4.0,0.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,21.0,2.0,14.0,27.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,37.5,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,12.0,18.0,14.0,2.0,35.0,0.0,0.0,0.0,118.0,69.0,3.0,0.0,0.0,0.0,36.0,27.0,75.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,100.0
9,Ferland Mendy,23.0,fr FRA,LB,24-274,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,27.0,74.1,4.0,20.0,1.0,0.0,0.0,348.0,123.0,9.0,13.0,69.2,9.0,10.0,90.0,2.0,3.0,66.7,0.0,1.0,2.0,0.0,23.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,6.0,3.0,17.0,5.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,17.0,11.0,3.0,27.0,0.0,0.0,0.0,88.0,46.0,0.0,0.0,2.0,0.0,20.0,20.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
