,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Willian José,9.0,br BRA,FW,27-303,64.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,1.0,0.0,7.0,14.0,50.0,0.0,14.0,2.0,0.0,0.0,102.0,10.0,3.0,3.0,100.0,4.0,7.0,57.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,1.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,14.0,6.0,22.0,0.0,0.0,0.0,60.0,30.0,1.0,1.0,3.0,2.0,29.0,18.0,62.1,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0
1,Alexander Isak,19.0,se SWE,FW,20-001,26.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0,4.0,0.0,1.0,2.0,0.1,0.1,0.0,1.0,1.0,3.0,8.0,37.5,1.0,5.0,3.0,0.0,0.0,47.0,10.0,2.0,5.0,40.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,10.0,0.0,0.0,0.0,84.0,76.0,1.0,3.0,0.0,0.0,17.0,6.0,35.3,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Mikel Oyarzabal,10.0,es ESP,LW,22-154,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,52.0,12.0,0.0,0.0,3.0,0.0,0.0,0.3,3.0,1.0,29.0,38.0,76.3,4.0,45.0,8.0,6.0,9.0,551.0,183.0,15.0,19.0,78.9,8.0,9.0,88.9,5.0,8.0,62.5,2.0,2.0,3.0,1.0,37.0,1.0,0.0,1.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,24.0,5.0,9.0,33.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,0.0,7.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,23.0,30.0,7.0,51.0,66.7,6.0,1.0,230.0,165.0,2.0,1.0,2.0,4.0,57.0,38.0,66.7,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
3,Portu,7.0,es ESP,RW,27-124,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,9.0,0.0,1.0,2.0,0.0,0.0,0.6,3.0,2.0,18.0,24.0,75.0,0.0,21.0,5.0,1.0,1.0,304.0,54.0,10.0,13.0,76.9,7.0,9.0,77.8,1.0,2.0,50.0,1.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,9.0,1.0,3.0,3.0,0.0,0.0,0.0,13.0,6.0,5.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,1.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,15.0,18.0,7.0,30.0,100.0,1.0,0.0,149.0,112.0,1.0,3.0,3.0,2.0,38.0,23.0,60.5,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7
4,Martin Ødegaard,21.0,no NOR,AM,20-279,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,51.0,59.0,86.4,12.0,50.0,9.0,4.0,5.0,898.0,301.0,22.0,25.0,88.0,21.0,23.0,91.3,5.0,6.0,83.3,2.0,4.0,6.0,0.0,50.0,9.0,4.0,1.0,15.0,1.0,0.0,4.0,1.0,0.0,0.0,47.0,7.0,5.0,53.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,20.0,4.0,3.0,8.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,9.0,35.0,35.0,1.0,60.0,80.0,4.0,0.0,292.0,168.0,7.0,0.0,1.0,1.0,42.0,38.0,90.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
5,Mikel Merino,8.0,es ESP,CM,23-092,83.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,19.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,33.0,45.0,73.3,3.0,37.0,2.0,2.0,3.0,721.0,202.0,14.0,19.0,73.7,8.0,11.0,72.7,9.0,13.0,69.2,0.0,5.0,0.0,0.0,45.0,0.0,0.0,1.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,10.0,12.0,30.0,7.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,26.3,5.0,11.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,35.0,15.0,2.0,54.0,66.7,2.0,0.0,140.0,47.0,0.0,0.0,2.0,2.0,41.0,39.0,95.1,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,75.0
6,David Zurutuza,17.0,es ESP,CM,33-065,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,1.0,7.0,1.0,0.0,0.0,81.0,11.0,2.0,2.0,100.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,0.0,10.0,0.0,0.0,0.0,46.0,21.0,0.0,0.0,0.0,2.0,9.0,9.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Igor Zubeldia,5.0,es ESP,CM,22-176,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,10.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,32.0,41.0,78.0,4.0,32.0,1.0,0.0,0.0,576.0,161.0,14.0,19.0,73.7,15.0,16.0,93.8,3.0,6.0,50.0,1.0,3.0,0.0,0.0,41.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,6.0,3.0,32.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,30.0,4.0,6.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,5.0,21.0,33.0,4.0,0.0,54.0,0.0,0.0,0.0,167.0,90.0,0.0,0.0,1.0,2.0,27.0,26.0,96.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,75.0
8,Nacho Monreal,20.0,es ESP,LB,33-208,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,44.0,79.5,2.0,27.0,3.0,0.0,0.0,598.0,298.0,18.0,20.0,90.0,14.0,16.0,87.5,3.0,5.0,60.0,0.0,1.0,2.0,1.0,33.0,11.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,12.0,7.0,27.0,2.0,4.0,11.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,13.0,28.0,15.0,1.0,42.0,0.0,0.0,0.0,137.0,74.0,1.0,0.0,0.0,0.0,33.0,30.0,90.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
9,Diego Llorente,3.0,es ESP,CB,26-037,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,32.0,71.9,3.0,28.0,2.0,0.0,1.0,495.0,147.0,5.0,6.0,83.3,16.0,18.0,88.9,2.0,8.0,25.0,0.0,4.0,0.0,0.0,31.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,9.0,6.0,25.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,25.0,1.0,3.0,0.0,1.0,0.0,1.0,7.0,13.0,0.0,7.0,24.0,27.0,3.0,1.0,50.0,0.0,0.0,0.0,229.0,155.0,1.0,0.0,0.0,0.0,27.0,27.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7
10,Aritz Elustondo,6.0,es ESP,"CB,RB",25-178,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,92.0,2.0,15.0,1.0,0.0,0.0,467.0,175.0,7.0,7.0,100.0,14.0,14.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,22.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,5.0,2.0,20.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,100.0,0.0,2.0,20.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,13.0,22.0,1.0,0.0,32.0,0.0,0.0,0.0,89.0,33.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,57.1
11,Joseba Zaldúa,2.0,es ESP,RB,27-090,79.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,57.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,39.0,79.5,2.0,30.0,5.0,0.0,0.0,511.0,268.0,16.0,17.0,94.1,10.0,13.0,76.9,4.0,8.0,50.0,0.0,1.0,1.0,1.0,33.0,6.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,20.0,10.0,9.0,7.0,27.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,7.0,0.0,5.0,22.0,23.0,15.0,1.0,51.0,0.0,0.0,0.0,190.0,129.0,3.0,0.0,1.0,0.0,36.0,33.0,91.7,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,50.0
12,Robin Le Normand,24.0,fr FRA,CB,22-315,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,0.0,41.0,4.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
13,Miguel Ángel Moyá,13.0,es ESP,GK,35-173,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,30.0,70.0,0.0,10.0,0.0,0.0,0.0,848.0,632.0,1.0,1.0,100.0,5.0,5.0,100.0,15.0,24.0,62.5,0.0,0.0,0.0,0.0,17.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,21.0,0.0,21.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,34.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,54.0,33.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
