player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Edin Džeko,FW,33-256,71.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,26.0,14.0,1.0,0.0,0.0,0.4,0.4,0.2,3.0,0.0,12.0,15.0,80.0,3.0,19.0,4.0,0.0,2.0,283.0,89.0,4.0,6.0,66.7,5.0,5.0,100.0,3.0,3.0,100.0,1.0,6.0,1.0,0.0,15.0,0.0,0.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,42.9,0.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,13.0,5.0,26.0,0.0,0.0,0.0,101.0,37.0,0.0,1.0,4.0,0.0,34.0,22.0,64.7,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Henrikh Mkhitaryan,AM,30-311,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,32.0,33.0,97.0,3.0,26.0,4.0,1.0,1.0,533.0,123.0,15.0,15.0,100.0,14.0,14.0,100.0,2.0,2.0,100.0,1.0,4.0,1.0,0.0,32.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,6.0,1.0,33.0,100.0,1.0,0.0,153.0,94.0,2.0,0.0,0.0,0.0,30.0,28.0,93.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Justin Kluivert,LW,20-207,90.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,60.0,21.0,1.0,0.0,1.0,0.6,0.6,0.0,0.0,0.0,35.0,42.0,83.3,1.0,48.0,7.0,0.0,1.0,644.0,70.0,20.0,21.0,95.2,11.0,12.0,91.7,4.0,8.0,50.0,0.0,2.0,0.0,0.0,38.0,4.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,33.0,5.0,4.0,5.0,34.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,2.0,10.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,38.0,21.0,3.0,56.0,0.0,0.0,0.0,280.0,175.0,3.0,0.0,5.0,1.0,56.0,48.0,85.7,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Nicolò Zaniolo,"RW,FW",20-149,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,33.0,27.0,2.0,0.0,1.0,0.3,0.3,0.0,2.0,0.0,19.0,22.0,86.4,3.0,30.0,7.0,4.0,5.0,310.0,83.0,9.0,9.0,100.0,8.0,10.0,80.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,6.0,16.7,5.0,6.0,22.2,1.0,18.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,15.0,20.0,7.0,33.0,80.0,4.0,1.0,182.0,124.0,1.0,4.0,2.0,1.0,48.0,28.0,58.3,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Lorenzo Pellegrini,AM,23-162,70.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,19.0,3.0,0.0,0.0,0.1,0.1,1.1,8.0,4.0,26.0,35.0,74.3,4.0,33.0,7.0,1.0,1.0,632.0,260.0,8.0,11.0,72.7,9.0,10.0,90.0,9.0,12.0,75.0,6.0,3.0,4.0,2.0,32.0,3.0,1.0,3.0,7.0,1.0,2.0,1.0,0.0,1.0,0.0,21.0,3.0,11.0,5.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,9.0,47.4,0.0,12.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,27.0,22.0,3.0,40.0,100.0,1.0,0.0,214.0,125.0,5.0,0.0,2.0,0.0,40.0,34.0,85.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Cengiz Ünder,"RW,AM",22-137,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,2.0,0.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,20.0,24.0,83.3,2.0,26.0,6.0,0.0,1.0,300.0,53.0,13.0,15.0,86.7,6.0,7.0,85.7,1.0,2.0,50.0,0.0,0.0,1.0,0.0,23.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,17.0,12.0,4.0,27.0,0.0,1.0,0.0,135.0,89.0,2.0,1.0,0.0,1.0,28.0,25.0,89.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jordan Veretout,"CM,DM",26-272,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.0,14.0,1.0,1.0,1.0,0.8,0.0,0.1,3.0,0.0,62.0,68.0,91.2,5.0,51.0,7.0,1.0,1.0,1229.0,453.0,24.0,25.0,96.0,29.0,30.0,96.7,9.0,12.0,75.0,1.0,9.0,0.0,0.0,64.0,4.0,2.0,1.0,9.0,2.0,0.0,1.0,1.0,0.0,0.0,53.0,11.0,4.0,19.0,48.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,28.6,3.0,11.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,12.0,51.0,13.0,1.0,67.0,100.0,1.0,0.0,335.0,186.0,1.0,0.0,0.0,0.0,64.0,58.0,90.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
Amadou Diawara,"CM,DM",22-134,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,110.0,17.0,1.0,2.0,1.0,0.1,0.1,0.0,0.0,0.0,91.0,101.0,90.1,5.0,79.0,1.0,1.0,1.0,1808.0,378.0,35.0,37.0,94.6,41.0,47.0,87.2,14.0,16.0,87.5,0.0,4.0,1.0,0.0,99.0,2.0,2.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,77.0,12.0,12.0,7.0,91.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,4.0,23.5,3.0,13.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,25.0,84.0,6.0,1.0,108.0,100.0,1.0,0.0,365.0,146.0,1.0,0.0,1.0,0.0,93.0,92.0,98.9,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Aleksandar Kolarov,LB,34-018,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,5.0,0.0,1.0,0.0,0.0,0.0,0.1,3.0,1.0,33.0,38.0,86.8,3.0,29.0,7.0,0.0,0.0,648.0,212.0,11.0,11.0,100.0,18.0,20.0,90.0,4.0,7.0,57.1,2.0,2.0,3.0,3.0,33.0,5.0,1.0,0.0,5.0,3.0,5.0,1.0,0.0,1.0,0.0,26.0,6.0,6.0,28.0,4.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,21.0,13.0,1.0,35.0,0.0,0.0,0.0,168.0,122.0,2.0,0.0,0.0,1.0,32.0,29.0,90.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Leonardo Spinazzola,LB,26-248,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,9.0,2.0,0.0,4.0,0.0,0.0,0.1,3.0,0.0,19.0,23.0,82.6,0.0,20.0,4.0,2.0,3.0,287.0,63.0,10.0,11.0,90.9,8.0,8.0,100.0,1.0,4.0,25.0,2.0,1.0,0.0,0.0,19.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,8.0,1.0,5.0,11.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,33.3,4.0,1.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,10.0,9.0,16.0,5.0,29.0,66.7,2.0,1.0,106.0,81.0,1.0,2.0,2.0,1.0,19.0,17.0,89.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
