player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Francesco Caputo,FW,32-327,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,44.0,6.0,0.0,0.0,0.0,0.4,0.4,0.4,6.0,2.0,24.0,34.0,70.6,3.0,22.0,1.0,0.0,1.0,377.0,109.0,13.0,17.0,76.5,7.0,9.0,77.8,2.0,3.0,66.7,4.0,2.0,1.0,1.0,30.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,3.0,4.0,6.0,25.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,25.0,11.0,40.0,0.0,0.0,0.0,78.0,13.0,0.0,1.0,4.0,0.0,49.0,35.0,71.4,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,50.0
Lukáš Haraslín,LW,24-033,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,12.0,17.0,70.6,0.0,12.0,2.0,1.0,2.0,193.0,41.0,5.0,7.0,71.4,6.0,7.0,85.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,12.0,1.0,4.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,7.0,3.0,15.0,1.0,22.0,50.0,1.0,0.0,77.0,36.0,1.0,1.0,1.0,1.0,23.0,17.0,73.9,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Jeremie Boga,LW,23-177,45.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,35.0,39.0,89.7,3.0,41.0,13.0,1.0,2.0,617.0,62.0,16.0,18.0,88.9,15.0,15.0,100.0,4.0,4.0,100.0,0.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.0,3.0,1.0,4.0,35.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,34.0,8.0,45.0,50.0,1.0,0.0,422.0,301.0,6.0,3.0,2.0,0.0,44.0,41.0,93.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Domenico Berardi,RW,25-332,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,62.0,18.0,1.0,0.0,1.0,0.3,0.3,0.2,8.0,0.0,34.0,53.0,64.2,5.0,42.0,8.0,1.0,2.0,815.0,189.0,11.0,18.0,61.1,16.0,20.0,80.0,7.0,14.0,50.0,4.0,0.0,4.0,0.0,46.0,7.0,1.0,0.0,2.0,6.0,4.0,6.0,6.0,0.0,0.0,27.0,6.0,20.0,46.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,27.8,4.0,10.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,22.0,41.0,5.0,55.0,50.0,1.0,0.0,254.0,116.0,3.0,1.0,2.0,0.0,46.0,41.0,89.1,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Grégoire Defrel,AM,29-011,71.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,11.0,0.0,0.0,2.0,0.1,0.1,0.1,1.0,1.0,17.0,19.0,89.5,1.0,19.0,2.0,0.0,0.0,225.0,48.0,13.0,14.0,92.9,3.0,4.0,75.0,1.0,1.0,100.0,1.0,2.0,1.0,0.0,18.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,1.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,15.0,4.0,24.0,0.0,0.0,0.0,133.0,54.0,2.0,0.0,1.0,1.0,28.0,18.0,64.3,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,33.3
Hamed Junior Traorè,AM,20-133,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,11.0,72.7,1.0,10.0,1.0,1.0,1.0,106.0,9.0,4.0,6.0,66.7,4.0,5.0,80.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,2.0,11.0,100.0,1.0,0.0,60.0,12.0,0.0,0.0,0.0,0.0,15.0,11.0,73.3,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Manuel Locatelli,CM,22-172,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,81.0,20.0,2.0,0.0,0.0,0.2,0.2,0.4,4.0,0.0,63.0,74.0,85.1,6.0,54.0,7.0,0.0,0.0,1267.0,277.0,24.0,27.0,88.9,28.0,31.0,90.3,11.0,15.0,73.3,3.0,6.0,0.0,0.0,69.0,5.0,2.0,0.0,4.0,3.0,1.0,3.0,3.0,0.0,0.0,60.0,4.0,10.0,20.0,52.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,4.0,20.0,6.0,11.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,12.0,45.0,30.0,2.0,76.0,0.0,0.0,0.0,263.0,128.0,3.0,0.0,0.0,0.0,63.0,63.0,100.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,100.0
Mehdi Bourabia,CM,28-326,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,44.0,52.0,84.6,5.0,39.0,6.0,0.0,0.0,940.0,257.0,10.0,12.0,83.3,26.0,30.0,86.7,7.0,9.0,77.8,0.0,4.0,2.0,0.0,51.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,10.0,8.0,39.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,33.3,2.0,6.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,14.0,35.0,16.0,0.0,56.0,0.0,0.0,0.0,203.0,103.0,4.0,0.0,1.0,0.0,46.0,41.0,89.1,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,66.7
Pedro Obiang,CM,28-093,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,93.3,2.0,11.0,2.0,0.0,0.0,251.0,54.0,5.0,5.0,100.0,7.0,7.0,100.0,2.0,3.0,66.7,0.0,1.0,1.0,0.0,14.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,11.0,0.0,16.0,0.0,0.0,0.0,39.0,20.0,1.0,0.0,0.0,0.0,13.0,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Giorgos Kiriakopoulos,LB,24-144,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,38.0,89.5,3.0,30.0,4.0,1.0,2.0,688.0,267.0,10.0,11.0,90.9,19.0,19.0,100.0,5.0,6.0,83.3,0.0,2.0,0.0,0.0,28.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,5.0,24.0,3.0,0.0,10.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,13.0,2.0,31.0,50.0,2.0,0.0,194.0,86.0,1.0,1.0,0.0,1.0,30.0,28.0,93.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
