player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Benito Raman,FW,25-191,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,7.0,0.0,0.0,0.0,64.0,0.0,2.0,5.0,40.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,4.8,0.0,9.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,17.0,7.0,41.2,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Rabbi Matondo,FW,19-250,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,11.0,81.8,0.0,19.0,2.0,4.0,6.0,131.0,16.0,5.0,5.0,100.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,4.0,19.0,0.0,9.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,18.0,2.0,22.0,66.7,4.0,0.0,56.0,22.0,0.0,0.0,1.0,3.0,26.0,16.0,61.5,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Amine Harit,"LW,LM",22-333,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,24.0,0.0,0.0,2.0,0.0,0.0,0.1,3.0,0.0,33.0,38.0,86.8,7.0,40.0,7.0,1.0,4.0,594.0,175.0,19.0,21.0,90.5,7.0,7.0,100.0,6.0,9.0,66.7,2.0,3.0,0.0,0.0,36.0,2.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,23.0,10.0,5.0,1.0,35.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,41.7,4.0,12.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,26.0,30.0,4.0,53.0,25.0,1.0,0.0,173.0,95.0,2.0,1.0,1.0,4.0,50.0,40.0,80.0,9.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,1.0,4.0,20.0
Daniel Caligiuri,"RW,RM",32-122,75.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,36.0,37.0,2.0,0.0,0.0,0.3,0.3,0.0,2.0,0.0,17.0,26.0,65.4,1.0,26.0,3.0,3.0,4.0,289.0,56.0,8.0,8.0,100.0,7.0,10.0,70.0,2.0,5.0,40.0,0.0,2.0,0.0,0.0,25.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,8.0,2.0,21.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0,50.0,2.0,16.0,43.2,2.0,17.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,19.0,17.0,3.0,34.0,75.0,3.0,0.0,101.0,36.0,1.0,0.0,0.0,4.0,35.0,23.0,65.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
Juan Miranda,RM,20-118,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,2.0,0.0,0.0,0.0,56.0,11.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,50.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Suat Serdar,"DM,CM",23-035,73.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,21.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,66.7,1.0,19.0,2.0,2.0,3.0,133.0,39.0,5.0,7.0,71.4,3.0,4.0,75.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,5.0,23.8,4.0,15.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,18.0,5.0,0.0,24.0,66.7,2.0,0.0,52.0,21.0,0.0,0.0,2.0,5.0,15.0,11.0,73.3,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Alessandro Schöpf,CM,26-099,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,1.0,4.0,1.0,0.0,0.0,81.0,29.0,4.0,4.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,6.0,3.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
Weston McKennie,"DM,CM",21-262,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,33.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,51.0,64.0,79.7,6.0,38.0,5.0,0.0,0.0,987.0,153.0,18.0,22.0,81.8,25.0,29.0,86.2,7.0,10.0,70.0,0.0,2.0,0.0,0.0,64.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,11.0,8.0,15.0,48.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,4.0,1.0,3.0,0.0,3.0,4.0,75.0,1.0,15.0,45.5,7.0,22.0,4.0,0.0,0.0,3.0,7.0,3.0,0.0,4.0,12.0,59.0,9.0,0.0,75.0,0.0,0.0,0.0,235.0,86.0,3.0,0.0,0.0,1.0,57.0,51.0,89.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,50.0
Bastian Oczipka,"WB,LB",31-125,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,50.0,61.0,82.0,6.0,47.0,9.0,3.0,5.0,845.0,323.0,23.0,23.0,100.0,23.0,25.0,92.0,3.0,9.0,33.3,2.0,4.0,1.0,0.0,48.0,13.0,3.0,0.0,9.0,2.0,1.0,1.0,0.0,1.0,0.0,38.0,9.0,14.0,42.0,9.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,45.5,2.0,8.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,14.0,44.0,19.0,1.0,56.0,60.0,4.0,0.0,249.0,180.0,5.0,0.0,1.0,0.0,50.0,45.0,90.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Jonjoe Kenny,"WB,RB",23-062,86.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,13.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,47.0,78.7,6.0,31.0,4.0,0.0,0.0,710.0,245.0,16.0,16.0,100.0,17.0,24.0,70.8,4.0,5.0,80.0,0.0,3.0,1.0,1.0,42.0,5.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,25.0,9.0,13.0,2.0,40.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,2.0,3.0,66.7,1.0,5.0,38.5,1.0,10.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,3.0,13.0,29.0,16.0,0.0,51.0,0.0,0.0,0.0,197.0,140.0,3.0,0.0,0.0,0.0,37.0,31.0,83.8,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
