,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Callum Robinson,11.0,ie IRL,FW,24-330,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,1.0,0.0,1.0,0.0,0.0,0.3,2.0,0.0,13.0,16.0,81.3,1.0,17.0,2.0,0.0,0.0,152.0,25.0,11.0,12.0,91.7,2.0,4.0,50.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,23.8,4.0,14.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,12.0,1.0,22.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,3.0,1.0,39.0,19.0,48.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0
1,David McGoldrick,17.0,ie IRL,FW,32-030,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,13.0,69.2,0.0,10.0,3.0,0.0,0.0,147.0,10.0,3.0,6.0,50.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,12.0,3.0,1.0,14.0,0.0,0.0,0.0,90.0,49.0,1.0,0.0,0.0,0.0,16.0,12.0,75.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
2,Lys Mousset,22.0,fr FRA,FW,23-324,82.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.7,0.7,0.0,2.0,0.0,13.0,14.0,92.9,2.0,16.0,6.0,2.0,3.0,196.0,43.0,6.0,6.0,100.0,7.0,7.0,100.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,1.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,5.0,20.0,66.7,2.0,1.0,95.0,63.0,2.0,2.0,0.0,0.0,42.0,16.0,38.1,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,4.0,20.0
3,Billy Sharp,10.0,eng ENG,FW,33-327,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,John Fleck,4.0,sco SCO,CM,28-127,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,37.0,78.4,1.0,35.0,1.0,3.0,3.0,584.0,271.0,11.0,12.0,91.7,13.0,15.0,86.7,5.0,10.0,50.0,0.0,3.0,0.0,0.0,32.0,5.0,1.0,0.0,8.0,1.0,2.0,2.0,1.0,0.0,0.0,26.0,6.0,5.0,32.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,16.0,20.0,14.0,0.0,39.0,100.0,3.0,0.0,177.0,111.0,2.0,0.0,2.0,1.0,32.0,26.0,81.3,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
5,Muhamed Bešić,27.0,ba BIH,CM,27-110,74.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,18.0,2.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,21.0,27.0,77.8,1.0,27.0,1.0,1.0,1.0,345.0,56.0,12.0,13.0,92.3,8.0,9.0,88.9,1.0,3.0,33.3,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,3.0,8.0,17.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,5.0,27.8,9.0,8.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,8.0,13.0,16.0,1.0,36.0,100.0,1.0,0.0,79.0,21.0,0.0,0.0,1.0,1.0,32.0,27.0,84.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
6,Oliver McBurnie,9.0,sco SCO,CM,23-208,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,0.0,8.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,8.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,1.0,2.0,12.0,6.0,50.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,75.0
7,Oliver Norwood,16.0,nir NIR,DM,28-261,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,19.0,4.0,1.0,1.0,0.0,0.0,0.5,3.0,0.0,36.0,46.0,78.3,4.0,35.0,0.0,1.0,1.0,842.0,336.0,10.0,10.0,100.0,15.0,17.0,88.2,10.0,17.0,58.8,3.0,5.0,2.0,1.0,44.0,2.0,0.0,1.0,7.0,7.0,1.0,2.0,1.0,1.0,0.0,24.0,5.0,17.0,2.0,41.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,6.0,31.6,12.0,6.0,1.0,1.0,0.0,0.0,5.0,6.0,0.0,8.0,21.0,27.0,12.0,0.0,57.0,100.0,1.0,0.0,81.0,29.0,1.0,0.0,0.0,0.0,38.0,36.0,94.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
8,Enda Stevens,3.0,ie IRL,WB,29-173,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,19.0,2.0,0.0,2.0,0.0,0.0,0.2,3.0,0.0,22.0,31.0,71.0,1.0,22.0,1.0,0.0,0.0,511.0,204.0,7.0,10.0,70.0,10.0,12.0,83.3,5.0,7.0,71.4,2.0,2.0,2.0,1.0,28.0,3.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,11.0,6.0,24.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,5.0,26.3,10.0,4.0,5.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,15.0,20.0,8.0,0.0,37.0,0.0,0.0,0.0,96.0,57.0,2.0,0.0,1.0,1.0,23.0,19.0,82.6,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
9,George Baldock,2.0,eng ENG,WB,26-295,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.0,31.0,74.2,0.0,27.0,5.0,1.0,5.0,332.0,73.0,14.0,14.0,100.0,8.0,10.0,80.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,16.0,8.0,7.0,4.0,23.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,3.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,6.0,20.0,14.0,1.0,34.0,20.0,1.0,0.0,128.0,65.0,0.0,1.0,1.0,1.0,25.0,23.0,92.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
10,Jack O'Connell,5.0,eng ENG,CB,25-275,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,6.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,28.0,36.0,77.8,7.0,26.0,3.0,0.0,0.0,654.0,262.0,7.0,8.0,87.5,16.0,20.0,80.0,5.0,8.0,62.5,0.0,2.0,1.0,0.0,33.0,3.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,5.0,10.0,30.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,16.7,6.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,6.0,19.0,19.0,9.0,0.0,43.0,0.0,0.0,0.0,99.0,59.0,1.0,0.0,0.0,0.0,27.0,24.0,88.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
11,John Egan,12.0,ie IRL,CB,27-070,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,10.0,2.0,0.0,6.0,0.1,0.1,0.0,0.0,0.0,21.0,27.0,77.8,0.0,14.0,1.0,0.0,0.0,412.0,140.0,9.0,9.0,100.0,9.0,12.0,75.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,5.0,6.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,40.0,5.0,4.0,1.0,4.0,0.0,2.0,2.0,6.0,0.0,12.0,32.0,11.0,2.0,2.0,41.0,0.0,0.0,0.0,94.0,48.0,0.0,0.0,0.0,0.0,14.0,12.0,85.7,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,50.0
