player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Stefano Okaka,FW,30-150,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,20.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,17.0,22.0,77.3,1.0,32.0,4.0,4.0,4.0,255.0,50.0,6.0,8.0,75.0,9.0,11.0,81.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,5.0,4.0,0.0,18.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,1.0,6.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,16.0,22.0,2.0,36.0,100.0,4.0,0.0,138.0,84.0,3.0,1.0,5.0,5.0,46.0,31.0,67.4,14.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Ilija Nestorovski,FW,29-300,64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,3.0,0.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,18.0,22.0,81.8,1.0,21.0,0.0,0.0,0.0,296.0,57.0,9.0,11.0,81.8,8.0,8.0,100.0,1.0,2.0,50.0,1.0,2.0,0.0,0.0,21.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,4.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,14.0,4.0,29.0,0.0,0.0,0.0,54.0,11.0,0.0,0.0,3.0,1.0,36.0,26.0,72.2,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
Kevin Lasagna,FW,27-149,26.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,23.0,8.0,3.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,6.0,15.0,40.0,1.0,15.0,3.0,0.0,0.0,101.0,15.0,1.0,3.0,33.3,4.0,7.0,57.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,75.0,5.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,4.0,7.0,16.0,5.0,23.0,0.0,0.0,0.0,102.0,74.0,2.0,1.0,0.0,1.0,15.0,13.0,86.7,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Seko Fofana,CM,24-244,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,69.0,16.0,2.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,48.0,55.0,87.3,4.0,55.0,8.0,7.0,9.0,780.0,139.0,28.0,29.0,96.6,15.0,16.0,93.8,5.0,8.0,62.5,1.0,3.0,0.0,0.0,54.0,1.0,1.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,41.0,8.0,6.0,11.0,42.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,8.0,50.0,8.0,5.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,14.0,34.0,26.0,7.0,68.0,77.8,7.0,0.0,287.0,126.0,2.0,0.0,2.0,0.0,64.0,52.0,81.3,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Rodrigo De Paul,CM,25-227,89.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,92.0,23.0,1.0,2.0,1.0,0.1,0.1,0.1,4.0,1.0,59.0,79.0,74.7,8.0,60.0,10.0,1.0,2.0,1011.0,243.0,33.0,33.0,100.0,18.0,21.0,85.7,6.0,20.0,30.0,2.0,5.0,0.0,0.0,66.0,13.0,7.0,0.0,14.0,7.0,6.0,4.0,3.0,0.0,0.0,40.0,17.0,22.0,2.0,72.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,21.7,1.0,16.0,6.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,7.0,50.0,48.0,3.0,81.0,50.0,2.0,0.0,494.0,318.0,6.0,1.0,3.0,3.0,71.0,63.0,88.7,7.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Antonín Barák,CM,25-034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,6.0,5.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Rolando Mandragora,DM,22-191,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,72.0,20.0,0.0,1.0,1.0,0.0,0.0,0.2,5.0,1.0,53.0,61.0,86.9,3.0,40.0,2.0,1.0,2.0,1065.0,284.0,21.0,21.0,100.0,21.0,24.0,87.5,10.0,13.0,76.9,2.0,2.0,1.0,0.0,51.0,10.0,6.0,0.0,6.0,3.0,1.0,4.0,2.0,0.0,0.0,38.0,8.0,15.0,55.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,20.0,8.0,10.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,14.0,41.0,19.0,4.0,62.0,50.0,1.0,0.0,103.0,54.0,2.0,0.0,1.0,1.0,41.0,40.0,97.6,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,50.0
Ken Sema,WB,26-098,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,10.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,34.0,47.0,72.3,5.0,41.0,3.0,3.0,4.0,627.0,305.0,13.0,15.0,86.7,17.0,20.0,85.0,4.0,9.0,44.4,1.0,0.0,1.0,0.0,43.0,4.0,0.0,0.0,12.0,1.0,7.0,0.0,0.0,0.0,0.0,26.0,8.0,13.0,33.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,50.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,18.0,20.0,18.0,1.0,49.0,75.0,4.0,0.0,196.0,98.0,0.0,1.0,1.0,1.0,41.0,37.0,90.2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
Ignacio Pussetto,WB,24-016,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,14.0,50.0,1.0,11.0,3.0,1.0,1.0,103.0,63.0,5.0,7.0,71.4,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,0.0,10.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,6.0,8.0,2.0,17.0,100.0,1.0,0.0,64.0,40.0,0.0,2.0,1.0,0.0,13.0,12.0,92.3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Jens Stryger Larsen,WB,28-319,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,41.0,54.0,75.9,5.0,39.0,6.0,0.0,0.0,556.0,224.0,32.0,35.0,91.4,7.0,11.0,63.6,2.0,5.0,40.0,0.0,8.0,1.0,0.0,48.0,6.0,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,37.0,6.0,11.0,3.0,45.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,44.4,3.0,2.0,4.0,2.0,0.0,1.0,1.0,4.0,0.0,3.0,13.0,36.0,15.0,0.0,56.0,0.0,0.0,0.0,153.0,117.0,1.0,0.0,0.0,1.0,49.0,44.0,89.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Bram Nuytinck,CB,29-247,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,12.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,45.0,55.0,81.8,9.0,41.0,5.0,0.0,0.0,896.0,470.0,19.0,20.0,95.0,18.0,21.0,85.7,8.0,14.0,57.1,1.0,10.0,0.0,0.0,53.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,13.0,41.0,10.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,100.0,0.0,2.0,16.7,3.0,7.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,8.0,28.0,33.0,7.0,1.0,62.0,0.0,0.0,0.0,229.0,121.0,2.0,0.0,0.0,0.0,43.0,43.0,100.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,40.0
William Troost-Ekong,CB,26-127,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,14.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,52.0,86.5,3.0,38.0,1.0,0.0,0.0,1237.0,471.0,7.0,7.0,100.0,25.0,26.0,96.2,13.0,18.0,72.2,0.0,5.0,0.0,0.0,51.0,1.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,14.0,7.0,42.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,7.0,50.0,9.0,5.0,0.0,1.0,0.0,0.0,4.0,6.0,0.0,17.0,39.0,33.0,0.0,0.0,62.0,0.0,0.0,0.0,359.0,188.0,0.0,0.0,0.0,0.0,38.0,35.0,92.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,2.0,60.0
Sebastien De Maio,CB,32-307,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,7.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,34.0,40.0,85.0,3.0,26.0,1.0,0.0,0.0,521.0,209.0,12.0,15.0,80.0,21.0,22.0,95.5,0.0,2.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,4.0,3.0,30.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,3.0,2.0,2.0,1.0,0.0,4.0,2.0,4.0,0.0,6.0,23.0,27.0,2.0,1.0,52.0,0.0,0.0,0.0,82.0,33.0,0.0,0.0,0.0,1.0,29.0,28.0,96.6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,3.0,50.0
Juan Musso,GK,25-245,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,95.5,0.0,9.0,0.0,0.0,0.0,579.0,376.0,7.0,7.0,100.0,6.0,6.0,100.0,8.0,9.0,88.9,0.0,0.0,0.0,0.0,14.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,5.0,1.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,74.0,45.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
