player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Troy Deeney,"FW,AM",31-186,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,27.0,0.0,0.0,1.0,0.0,0.0,0.3,2.0,0.0,19.0,32.0,59.4,3.0,15.0,1.0,0.0,2.0,253.0,97.0,13.0,18.0,72.2,4.0,8.0,50.0,1.0,2.0,50.0,2.0,2.0,1.0,0.0,30.0,2.0,0.0,0.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,7.0,12.0,13.0,0.0,16.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.5,4.0,10.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,22.0,16.0,2.0,37.0,0.0,0.0,0.0,23.0,17.0,1.0,0.0,1.0,1.0,57.0,32.0,56.1,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,5.0,64.3
Gerard Deulofeu,LW,25-294,72.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,40.0,26.0,2.0,2.0,0.0,0.2,0.2,0.5,4.0,1.0,25.0,30.0,83.3,2.0,30.0,3.0,3.0,4.0,385.0,58.0,13.0,14.0,92.9,8.0,10.0,80.0,2.0,2.0,100.0,2.0,1.0,2.0,0.0,30.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,1.0,3.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,7.0,14.3,6.0,9.0,34.6,14.0,7.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,11.0,18.0,15.0,6.0,40.0,75.0,3.0,0.0,153.0,94.0,2.0,0.0,0.0,1.0,40.0,30.0,75.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
Adam Masina,RB,25-364,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,1.0,4.0,1.0,0.0,0.0,88.0,48.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,4.0,7.0,4.0,2.0,0.0,11.0,0.0,0.0,0.0,28.0,24.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Ismaila Sarr,"RW,RM",21-310,89.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,24.0,0.0,2.0,0.0,0.5,0.5,0.1,6.0,2.0,20.0,22.0,90.9,2.0,30.0,4.0,4.0,10.0,321.0,48.0,9.0,10.0,90.0,8.0,9.0,88.9,1.0,1.0,100.0,2.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,4.0,4.0,4.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,20.8,14.0,5.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,12.0,20.0,6.0,35.0,40.0,4.0,0.0,115.0,55.0,0.0,3.0,1.0,2.0,42.0,26.0,61.9,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3
Roberto Pereyra,RM,28-359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Doucour�,"AM,DM",27-000,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,30.0,1.0,1.0,4.0,0.2,0.2,0.1,3.0,0.0,35.0,46.0,76.1,3.0,31.0,1.0,1.0,2.0,488.0,147.0,20.0,22.0,90.9,10.0,13.0,76.9,2.0,5.0,40.0,2.0,4.0,1.0,0.0,44.0,2.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,9.0,6.0,9.0,33.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,13.3,14.0,10.0,6.0,2.0,0.0,2.0,2.0,1.0,0.0,3.0,18.0,19.0,23.0,2.0,55.0,50.0,1.0,0.0,146.0,82.0,2.0,0.0,1.0,0.0,47.0,36.0,76.6,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,33.3
�tienne Capoue,DM,31-174,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,43.0,72.1,3.0,27.0,1.0,1.0,3.0,574.0,105.0,12.0,13.0,92.3,16.0,18.0,88.9,2.0,10.0,20.0,0.0,3.0,0.0,0.0,41.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,8.0,12.0,7.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,8.0,11.0,14.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,7.0,21.0,34.0,4.0,0.0,54.0,33.3,1.0,0.0,66.0,17.0,0.0,0.0,0.0,0.0,37.0,33.0,89.2,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0
Nathaniel Chalobah,"DM,LM",25-020,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,16.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,27.0,33.0,81.8,3.0,24.0,1.0,0.0,2.0,453.0,113.0,11.0,15.0,73.3,14.0,14.0,100.0,1.0,2.0,50.0,0.0,3.0,0.0,0.0,33.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,7.0,4.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,5.0,40.0,3.0,5.0,31.3,11.0,5.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,5.0,13.0,29.0,12.0,1.0,53.0,0.0,0.0,1.0,64.0,18.0,0.0,0.0,0.0,2.0,32.0,30.0,93.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0
Kiko Femen�a,LB,28-333,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,78.1,2.0,18.0,5.0,0.0,0.0,398.0,131.0,17.0,19.0,89.5,4.0,6.0,66.7,4.0,5.0,80.0,0.0,0.0,1.0,1.0,29.0,3.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,13.0,3.0,6.0,19.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,30.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,18.0,12.0,2.0,32.0,0.0,0.0,0.0,141.0,85.0,2.0,0.0,0.0,0.0,18.0,17.0,94.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
Jos� Holebas,LB,35-188,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,16.7,0.0,1.0,0.0,0.0,0.0,27.0,24.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,37.5,7.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,4.0,8.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0
