player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
S�bastien Haller,FW,25-165,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.0,57.9,0.0,23.0,3.0,4.0,4.0,158.0,41.0,7.0,9.0,77.8,3.0,7.0,42.9,1.0,2.0,50.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,4.0,4.0,4.0,12.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,25.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,6.0,1.0,23.0,100.0,4.0,0.0,79.0,30.0,0.0,0.0,3.0,0.0,48.0,20.0,41.7,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,33.3
Albian Ajeti,FW,22-281,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,0.0,31.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Felipe Anderson,"AM,DM",26-233,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,27.0,2.0,3.0,2.0,0.0,0.0,0.2,3.0,0.0,57.0,68.0,83.8,4.0,64.0,7.0,6.0,7.0,1072.0,203.0,25.0,33.0,75.8,25.0,26.0,96.2,7.0,8.0,87.5,3.0,3.0,1.0,0.0,64.0,4.0,2.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,45.0,16.0,7.0,7.0,58.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,7.0,25.9,4.0,20.0,3.0,0.0,0.0,2.0,5.0,2.0,0.0,4.0,10.0,55.0,19.0,3.0,75.0,85.7,6.0,0.0,380.0,142.0,3.0,0.0,1.0,0.0,64.0,56.0,87.5,12.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
Pablo Fornals,"LM,RM",23-285,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,28.0,3.0,0.0,3.0,0.0,0.0,0.3,2.0,0.0,33.0,44.0,75.0,2.0,42.0,4.0,0.0,2.0,504.0,89.0,20.0,26.0,76.9,8.0,11.0,72.7,3.0,3.0,100.0,1.0,2.0,2.0,0.0,44.0,0.0,0.0,1.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,11.0,3.0,7.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,4.0,25.0,3.0,5.0,17.9,8.0,20.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,36.0,20.0,3.0,58.0,0.0,0.0,0.0,198.0,95.0,1.0,1.0,1.0,3.0,57.0,42.0,73.7,7.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,9.0,0.0,7.0,0.0
Robert Snodgrass,RM,32-088,61.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,18.0,1.0,0.0,0.0,0.3,0.3,0.1,1.0,0.0,19.0,27.0,70.4,2.0,17.0,3.0,1.0,1.0,301.0,118.0,12.0,14.0,85.7,5.0,6.0,83.3,2.0,6.0,33.3,1.0,0.0,1.0,0.0,22.0,5.0,1.0,0.0,9.0,0.0,1.0,4.0,1.0,2.0,1.0,15.0,7.0,5.0,21.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,38.9,6.0,8.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,13.0,14.0,1.0,27.0,100.0,1.0,0.0,76.0,51.0,1.0,0.0,0.0,0.0,31.0,20.0,64.5,4.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,2.0,4.0,33.3
Andriy Yarmolenko,"AM,RM",30-042,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,7.0,9.0,77.8,1.0,13.0,2.0,0.0,0.0,96.0,22.0,5.0,6.0,83.3,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1.0,13.0,0.0,0.0,0.0,36.0,20.0,0.0,1.0,2.0,1.0,15.0,13.0,86.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Declan Rice,DM,20-324,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,87.0,21.0,4.0,2.0,2.0,0.1,0.1,0.0,0.0,0.0,66.0,73.0,90.4,9.0,59.0,5.0,2.0,2.0,1276.0,328.0,27.0,31.0,87.1,27.0,27.0,100.0,12.0,14.0,85.7,0.0,8.0,1.0,0.0,72.0,1.0,1.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,58.0,7.0,8.0,14.0,56.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,2.0,2.0,0.0,1.0,3.0,33.3,2.0,7.0,33.3,8.0,13.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,7.0,23.0,61.0,11.0,1.0,86.0,100.0,2.0,0.0,322.0,139.0,1.0,0.0,1.0,1.0,59.0,58.0,98.3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
Mark Noble,DM,32-210,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,48.0,83.3,4.0,37.0,1.0,2.0,2.0,737.0,201.0,15.0,15.0,100.0,23.0,25.0,92.0,2.0,5.0,40.0,0.0,3.0,0.0,0.0,46.0,2.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,4.0,5.0,3.0,44.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,6.7,6.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,40.0,7.0,0.0,49.0,100.0,2.0,0.0,145.0,46.0,1.0,0.0,2.0,0.0,41.0,40.0,97.6,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Nathan Holland,LM,21-168,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,12.0,1.0,2.0,3.0,75.0,19.0,3.0,3.0,100.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,10.0,66.7,2.0,0.0,38.0,17.0,0.0,0.0,1.0,1.0,12.0,10.0,83.3,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aaron Cresswell,LB,29-354,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,81.0,17.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,56.0,69.0,81.2,7.0,49.0,6.0,0.0,1.0,933.0,440.0,37.0,41.0,90.2,12.0,15.0,80.0,7.0,11.0,63.6,0.0,7.0,0.0,0.0,54.0,15.0,1.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,37.0,21.0,11.0,49.0,4.0,1.0,14.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,66.7,1.0,6.0,35.3,10.0,7.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,15.0,53.0,17.0,0.0,66.0,0.0,1.0,0.0,238.0,145.0,1.0,0.0,0.0,0.0,52.0,45.0,86.5,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,50.0
