player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Wout Weghorst,FW,27-130,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,36.0,0.0,0.0,2.0,0.1,0.1,0.1,3.0,0.0,14.0,21.0,66.7,1.0,15.0,0.0,0.0,1.0,168.0,54.0,9.0,11.0,81.8,4.0,8.0,50.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,19.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,6.0,3.0,10.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,33.3,1.0,16.0,19.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,17.0,14.0,4.0,29.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,1.0,2.0,39.0,23.0,59.0,10.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,57.1
Jo�o Victor Santos S�,LM,25-263,86.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,39.0,21.0,5.0,0.0,2.0,0.2,0.2,0.0,4.0,0.0,22.0,24.0,91.7,2.0,28.0,7.0,2.0,2.0,385.0,135.0,13.0,15.0,86.7,6.0,6.0,100.0,2.0,2.0,100.0,1.0,1.0,1.0,1.0,22.0,2.0,1.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,18.0,2.0,4.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,2.0,2.0,100.0,0.0,7.0,33.3,5.0,12.0,4.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,7.0,16.0,22.0,9.0,37.0,100.0,2.0,0.0,179.0,148.0,4.0,3.0,3.0,0.0,31.0,21.0,67.7,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
Felix Klaus,LM,27-093,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Xaver Schlager,CM,22-078,76.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,33.0,27.0,3.0,1.0,1.0,0.1,0.1,0.1,1.0,0.0,15.0,22.0,68.2,3.0,21.0,4.0,1.0,2.0,266.0,146.0,6.0,9.0,66.7,8.0,12.0,66.7,1.0,1.0,100.0,1.0,3.0,2.0,1.0,22.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,4.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,6.0,33.3,4.0,6.0,22.2,6.0,18.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,21.0,9.0,2.0,33.0,50.0,1.0,0.0,89.0,69.0,1.0,0.0,0.0,4.0,29.0,20.0,69.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,100.0
Yannick Gerhardt,CM,25-277,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,71.4,2.0,10.0,1.0,0.0,0.0,176.0,43.0,5.0,8.0,62.5,4.0,4.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,25.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,5.0,1.0,16.0,0.0,0.0,0.0,53.0,36.0,1.0,0.0,1.0,0.0,14.0,10.0,71.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0
Maximilian Arnold,CM,25-202,90.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,61.0,30.0,3.0,0.0,0.0,0.1,0.1,0.4,7.0,0.0,39.0,51.0,76.5,4.0,33.0,5.0,0.0,1.0,1051.0,278.0,12.0,14.0,85.7,10.0,13.0,76.9,17.0,24.0,70.8,5.0,5.0,0.0,0.0,40.0,11.0,6.0,0.0,10.0,4.0,1.0,4.0,2.0,2.0,0.0,19.0,15.0,17.0,43.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,6.0,33.3,4.0,8.0,26.7,8.0,18.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,41.0,15.0,2.0,51.0,0.0,0.0,0.0,136.0,50.0,0.0,1.0,0.0,1.0,41.0,36.0,87.8,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
Renato Steffen,RM,28-042,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,17.0,3.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,12.0,17.0,70.6,0.0,19.0,2.0,1.0,1.0,224.0,59.0,6.0,7.0,85.7,4.0,7.0,57.1,2.0,2.0,100.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,3.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,47.1,1.0,12.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,10.0,8.0,3.0,22.0,100.0,1.0,0.0,101.0,48.0,0.0,1.0,3.0,0.0,20.0,11.0,55.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
Josip Brekalo,RM,21-175,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,5.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,18.0,21.0,85.7,3.0,20.0,4.0,1.0,1.0,366.0,112.0,8.0,9.0,88.9,5.0,5.0,100.0,5.0,6.0,83.3,0.0,0.0,2.0,0.0,18.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,14.0,5.0,2.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,13.0,2.0,22.0,100.0,1.0,0.0,110.0,49.0,1.0,2.0,1.0,0.0,23.0,18.0,78.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Josuha Guilavogui,DM,29-087,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,55.0,16.0,1.0,2.0,4.0,0.1,0.1,0.1,2.0,0.0,36.0,45.0,80.0,5.0,30.0,1.0,0.0,0.0,842.0,222.0,9.0,10.0,90.0,20.0,22.0,90.9,7.0,11.0,63.6,1.0,6.0,1.0,0.0,45.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,9.0,14.0,5.0,33.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,31.3,2.0,12.0,2.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,17.0,36.0,4.0,1.0,55.0,0.0,0.0,0.0,110.0,48.0,0.0,0.0,0.0,0.0,34.0,33.0,97.1,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,0.0,100.0
J�r�me Roussillon,LB,26-343,90.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,53.0,11.0,2.0,1.0,2.0,0.0,0.0,0.1,2.0,2.0,33.0,39.0,84.6,6.0,41.0,4.0,5.0,6.0,668.0,245.0,16.0,16.0,100.0,13.0,16.0,81.3,4.0,6.0,66.7,1.0,1.0,3.0,1.0,34.0,5.0,1.0,0.0,13.0,2.0,4.0,0.0,0.0,0.0,0.0,24.0,9.0,6.0,28.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,3.0,6.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,9.0,26.0,22.0,3.0,48.0,83.3,5.0,2.0,121.0,70.0,2.0,1.0,1.0,4.0,42.0,38.0,90.5,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
