,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Tammy Abraham,9.0,eng ENG,FW,22-021,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,17.0,64.7,1.0,20.0,2.0,2.0,5.0,176.0,58.0,6.0,9.0,66.7,4.0,7.0,57.1,1.0,1.0,100.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,4.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,7.0,31.8,0.0,8.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,19.0,7.0,0.0,26.0,40.0,3.0,0.0,107.0,77.0,2.0,0.0,2.0,1.0,35.0,18.0,51.4,2.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,60.0
1,Michy Batshuayi,23.0,be BEL,FW,26-021,20.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,1.0,1.0,0.1,2.0,0.0,5.0,6.0,83.3,1.0,9.0,2.0,0.0,0.0,84.0,27.0,3.0,4.0,75.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,5.0,12.0,0.0,0.0,0.0,43.0,18.0,0.0,2.0,1.0,1.0,16.0,11.0,68.8,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Callum Hudson-Odoi,20.0,eng ENG,"LW,RW",18-350,89.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,15.0,1.0,0.0,0.0,0.1,0.1,0.2,4.0,0.0,24.0,32.0,75.0,0.0,36.0,8.0,1.0,7.0,470.0,151.0,15.0,18.0,83.3,2.0,4.0,50.0,7.0,9.0,77.8,3.0,1.0,0.0,0.0,26.0,6.0,0.0,0.0,5.0,3.0,1.0,6.0,5.0,1.0,0.0,21.0,4.0,7.0,4.0,27.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,33.3,4.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,15.0,27.0,8.0,37.0,14.3,2.0,0.0,234.0,170.0,1.0,5.0,1.0,1.0,42.0,33.0,78.6,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Reece James,24.0,eng ENG,RW,19-319,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Willian,10.0,br BRA,RW,31-075,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,28.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,21.0,27.0,77.8,0.0,28.0,3.0,0.0,2.0,466.0,75.0,6.0,9.0,66.7,8.0,9.0,88.9,5.0,6.0,83.3,2.0,2.0,0.0,0.0,26.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,5.0,7.0,2.0,22.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,17.9,6.0,14.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,16.0,14.0,2.0,35.0,0.0,0.0,0.0,106.0,33.0,0.0,0.0,1.0,2.0,39.0,25.0,64.1,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,25.0
5,Christian Pulisic,22.0,us USA,LW,21-035,25.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,23.0,11.0,0.0,0.0,0.0,0.1,0.1,0.5,5.0,1.0,16.0,17.0,94.1,3.0,18.0,7.0,0.0,1.0,187.0,77.0,11.0,12.0,91.7,5.0,5.0,100.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,15.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,4.0,2.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,36.4,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,2.0,21.0,0.0,0.0,0.0,175.0,115.0,1.0,2.0,0.0,2.0,26.0,21.0,80.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,50.0
6,Mason Mount,19.0,eng ENG,CM,20-286,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,59.0,27.0,1.0,0.0,2.0,0.1,0.1,0.1,6.0,1.0,36.0,48.0,75.0,6.0,52.0,8.0,5.0,8.0,547.0,199.0,24.0,28.0,85.7,8.0,14.0,57.1,3.0,4.0,75.0,2.0,7.0,0.0,0.0,46.0,2.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,7.0,4.0,42.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,5.0,18.5,1.0,20.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,33.0,25.0,3.0,57.0,62.5,5.0,0.0,259.0,90.0,3.0,1.0,0.0,2.0,51.0,45.0,88.2,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
7,Mateo Kovačić,17.0,hr CRO,CM,25-170,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,34.0,1.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,50.0,55.0,90.9,3.0,50.0,6.0,1.0,1.0,848.0,182.0,24.0,26.0,92.3,21.0,22.0,95.5,3.0,4.0,75.0,1.0,6.0,0.0,0.0,52.0,3.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,7.0,4.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,35.3,9.0,19.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,15.0,37.0,14.0,1.0,59.0,100.0,1.0,0.0,363.0,137.0,1.0,1.0,2.0,1.0,50.0,45.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
8,Jorginho,5.0,it ITA,DM,27-307,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,28.0,1.0,0.0,3.0,0.0,0.0,0.1,2.0,0.0,44.0,46.0,95.7,6.0,38.0,2.0,0.0,1.0,801.0,222.0,21.0,22.0,95.5,13.0,13.0,100.0,7.0,8.0,87.5,1.0,7.0,1.0,0.0,44.0,2.0,2.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,8.0,2.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,20.0,4.0,6.0,21.4,8.0,18.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,4.0,20.0,35.0,4.0,0.0,56.0,0.0,0.0,0.0,176.0,73.0,1.0,0.0,0.0,1.0,36.0,34.0,94.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0
9,Marcos Alonso,3.0,es ESP,LB,28-299,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,84.0,20.0,2.0,0.0,2.0,0.2,0.2,0.0,2.0,0.0,53.0,69.0,76.8,8.0,56.0,7.0,0.0,1.0,931.0,395.0,25.0,28.0,89.3,22.0,29.0,75.9,5.0,9.0,55.6,0.0,3.0,2.0,1.0,58.0,11.0,2.0,0.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,44.0,12.0,13.0,54.0,6.0,0.0,9.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,66.7,1.0,9.0,45.0,8.0,7.0,5.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,28.0,38.0,24.0,3.0,73.0,0.0,0.0,0.0,337.0,221.0,2.0,0.0,0.0,3.0,53.0,52.0,98.1,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,100.0
