,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Jimmy Briand,7.0,fr FRA,FW,34-054,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,34.0,13.0,0.0,0.0,1.0,0.3,0.3,0.1,2.0,1.0,20.0,25.0,80.0,1.0,27.0,4.0,2.0,5.0,210.0,20.0,15.0,15.0,100.0,4.0,5.0,80.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,24.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,1.0,0.0,20.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,38.5,2.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,19.0,13.0,3.0,33.0,40.0,2.0,0.0,69.0,42.0,1.0,0.0,1.0,0.0,42.0,25.0,59.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,7.0,22.2
1,Yacine Adli,19.0,fr FRA,"AM,LW",19-058,79.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,51.0,28.0,1.0,1.0,1.0,0.2,0.2,0.0,4.0,1.0,34.0,43.0,79.1,4.0,40.0,7.0,2.0,3.0,669.0,98.0,11.0,12.0,91.7,15.0,16.0,93.8,6.0,12.0,50.0,2.0,3.0,2.0,0.0,35.0,8.0,5.0,0.0,12.0,4.0,1.0,2.0,0.0,2.0,0.0,29.0,7.0,7.0,5.0,36.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,13.0,46.4,4.0,18.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,37.0,17.0,1.0,43.0,66.7,2.0,0.0,178.0,104.0,3.0,1.0,1.0,3.0,44.0,37.0,84.1,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0
2,Youssef Aït Bennasser,17.0,ma MAR,LW,23-080,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,2.0,6.0,0.0,0.0,1.0,119.0,37.0,1.0,1.0,100.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,5.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,François Kamano,11.0,gn GUI,"AM,WB",23-147,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,22.0,3.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,37.0,46.0,80.4,1.0,44.0,4.0,0.0,2.0,516.0,68.0,20.0,24.0,83.3,15.0,17.0,88.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,42.0,4.0,0.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,6.0,6.0,1.0,38.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,4.0,6.0,27.3,6.0,11.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,12.0,36.0,18.0,3.0,57.0,0.0,0.0,0.0,160.0,105.0,4.0,0.0,4.0,1.0,57.0,43.0,75.4,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
4,Aurélien Tchouaméni,8.0,fr FRA,"CM,DM",19-241,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,82.0,13.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,56.0,68.0,82.4,6.0,66.0,9.0,2.0,3.0,1107.0,374.0,24.0,30.0,80.0,24.0,27.0,88.9,8.0,10.0,80.0,1.0,7.0,1.0,0.0,68.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,44.0,16.0,8.0,9.0,56.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,9.0,69.2,4.0,6.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,19.0,54.0,12.0,2.0,82.0,66.7,2.0,0.0,327.0,178.0,0.0,0.0,1.0,1.0,56.0,55.0,98.2,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0
5,Otávio,5.0,br BRA,"CM,DM",25-144,90.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,67.0,22.0,6.0,1.0,3.0,0.2,0.2,0.1,3.0,1.0,46.0,54.0,85.2,4.0,47.0,2.0,1.0,1.0,777.0,153.0,23.0,23.0,100.0,19.0,25.0,76.0,4.0,6.0,66.7,1.0,0.0,0.0,0.0,53.0,1.0,1.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,43.0,4.0,7.0,7.0,45.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,5.0,0.0,1.0,6.0,16.7,5.0,12.0,54.5,7.0,15.0,0.0,1.0,0.0,2.0,7.0,1.0,0.0,6.0,22.0,40.0,6.0,2.0,66.0,100.0,1.0,0.0,164.0,84.0,1.0,1.0,0.0,2.0,43.0,43.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
6,Samuel Kalu,10.0,ng NGA,"WB,RW",22-030,89.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,58.0,12.0,4.0,0.0,2.0,0.1,0.1,0.0,5.0,0.0,31.0,38.0,81.6,3.0,44.0,2.0,6.0,8.0,507.0,128.0,16.0,17.0,94.1,13.0,15.0,86.7,2.0,5.0,40.0,1.0,1.0,0.0,0.0,34.0,4.0,0.0,0.0,15.0,3.0,0.0,1.0,0.0,1.0,0.0,24.0,6.0,8.0,1.0,31.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,50.0,1.0,4.0,33.3,6.0,4.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,7.0,37.0,15.0,2.0,54.0,75.0,7.0,0.0,121.0,50.0,0.0,0.0,4.0,3.0,59.0,41.0,69.5,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,66.7
7,Josh Maja,9.0,ng NGA,RW,20-272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,0.0,28.0,5.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Enock Kwateng,25.0,fr FRA,WB,22-169,68.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,43.0,81.4,3.0,39.0,7.0,1.0,2.0,511.0,173.0,17.0,20.0,85.0,17.0,21.0,81.0,1.0,2.0,50.0,0.0,3.0,0.0,0.0,38.0,5.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,11.0,4.0,1.0,39.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,33.3,2.0,2.0,33.3,0.0,4.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,10.0,32.0,11.0,1.0,45.0,50.0,1.0,0.0,138.0,95.0,2.0,0.0,2.0,0.0,36.0,34.0,94.4,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Loris Benito,23.0,ch SUI,WB,27-261,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,1.0,1.0,0.0,0.0,0.0,0.1,2.0,1.0,12.0,13.0,92.3,1.0,10.0,1.0,0.0,0.0,193.0,61.0,7.0,7.0,100.0,5.0,6.0,83.3,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,33.3,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,9.0,3.0,1.0,13.0,0.0,0.0,0.0,28.0,14.0,1.0,0.0,0.0,1.0,12.0,10.0,83.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,Pablo,3.0,br BRA,CB,28-096,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,35.0,45.0,77.8,0.0,32.0,2.0,0.0,0.0,719.0,300.0,9.0,10.0,90.0,23.0,27.0,85.2,3.0,6.0,50.0,0.0,0.0,0.0,0.0,37.0,8.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,14.0,10.0,24.0,2.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,7.0,29.0,28.0,2.0,1.0,48.0,0.0,0.0,0.0,114.0,62.0,1.0,0.0,1.0,0.0,31.0,30.0,96.8,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,66.7
11,Laurent Koscielny,6.0,fr FRA,CB,34-015,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,39.0,87.2,0.0,31.0,0.0,0.0,0.0,774.0,217.0,9.0,10.0,90.0,16.0,18.0,88.9,9.0,11.0,81.8,0.0,0.0,0.0,0.0,38.0,1.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,8.0,5.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,11.0,32.0,21.0,0.0,0.0,49.0,0.0,0.0,0.0,194.0,92.0,0.0,0.0,0.0,0.0,30.0,30.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,66.7
12,Mexer,4.0,mz MOZ,CB,31-017,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,84.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,62.0,77.0,80.5,0.0,68.0,0.0,2.0,2.0,1220.0,470.0,22.0,23.0,95.7,31.0,36.0,86.1,8.0,15.0,53.3,0.0,0.0,0.0,0.0,73.0,4.0,4.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,59.0,6.0,12.0,6.0,69.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,33.3,3.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,9.0,41.0,45.0,1.0,0.0,80.0,100.0,2.0,0.0,234.0,83.0,0.0,0.0,0.0,0.0,62.0,62.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,25.0
13,Benoît Costil,1.0,fr FRA,GK,32-084,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,33.0,63.6,0.0,17.0,0.0,0.0,0.0,795.0,544.0,4.0,4.0,100.0,5.0,5.0,100.0,12.0,24.0,50.0,0.0,0.0,0.0,0.0,19.0,14.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,24.0,0.0,28.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,34.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,83.0,43.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
