,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Wesley Moraes,9.0,br BRA,FW,22-327,75.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,20.0,0.0,0.0,2.0,0.2,0.2,0.0,2.0,1.0,5.0,7.0,71.4,1.0,11.0,2.0,0.0,0.0,66.0,11.0,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,4.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,8.0,17.0,0.0,0.0,0.0,46.0,19.0,0.0,1.0,5.0,0.0,35.0,12.0,34.3,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
1,Keinan Davis,39.0,eng ENG,FW,21-248,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,7.0,1.0,1.0,1.0,77.0,3.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,5.0,100.0,1.0,0.0,44.0,21.0,1.0,0.0,1.0,0.0,9.0,3.0,33.3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2,Jack Grealish,10.0,eng ENG,"LW,CM",24-039,90.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,79.0,21.0,1.0,0.0,2.0,0.9,0.9,0.7,13.0,2.0,54.0,64.0,84.4,14.0,74.0,26.0,6.0,6.0,1028.0,323.0,19.0,22.0,86.4,31.0,34.0,91.2,4.0,6.0,66.7,7.0,8.0,7.0,1.0,61.0,3.0,1.0,0.0,19.0,2.0,3.0,1.0,0.0,0.0,1.0,56.0,3.0,5.0,4.0,58.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,28.6,6.0,7.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,10.0,29.0,48.0,10.0,76.0,100.0,6.0,0.0,771.0,498.0,4.0,6.0,1.0,2.0,67.0,61.0,91.0,7.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
3,Anwar El Ghazi,21.0,nl NED,RW,24-169,75.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,13.0,0.0,2.0,0.0,0.6,0.6,0.0,1.0,0.0,18.0,22.0,81.8,1.0,22.0,3.0,1.0,1.0,288.0,26.0,13.0,14.0,92.9,3.0,4.0,75.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,20.0,2.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,6.0,2.0,7.0,11.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,10.0,21.0,8.0,29.0,100.0,1.0,0.0,106.0,49.0,2.0,0.0,1.0,2.0,30.0,21.0,70.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
4,Douglas Luiz,6.0,br BRA,RW,21-163,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,15.0,86.7,2.0,17.0,3.0,0.0,0.0,197.0,44.0,9.0,9.0,100.0,3.0,4.0,75.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,37.5,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,12.0,0.0,19.0,0.0,0.0,0.0,109.0,39.0,2.0,0.0,2.0,0.0,18.0,16.0,88.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Conor Hourihane,14.0,ie IRL,CM,28-259,62.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,42.0,6.0,0.0,0.0,0.0,0.4,0.4,0.3,5.0,0.0,25.0,35.0,71.4,1.0,26.0,3.0,0.0,0.0,514.0,58.0,5.0,7.0,71.4,17.0,19.0,89.5,3.0,9.0,33.3,2.0,1.0,1.0,1.0,26.0,9.0,2.0,0.0,4.0,3.0,3.0,4.0,3.0,0.0,0.0,23.0,3.0,9.0,30.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,14.0,25.0,3.0,32.0,0.0,0.0,0.0,127.0,39.0,0.0,0.0,1.0,0.0,34.0,26.0,76.5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
6,Trézéguet,17.0,eg EGY,LW,25-018,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,16.0,19.0,84.2,1.0,20.0,6.0,2.0,2.0,245.0,60.0,9.0,9.0,100.0,5.0,6.0,83.3,1.0,3.0,33.3,1.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,2.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,15.0,2.0,21.0,100.0,2.0,0.0,232.0,180.0,2.0,1.0,0.0,0.0,23.0,18.0,78.3,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,John McGinn,7.0,sct SCO,CM,25-001,90.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,55.0,18.0,1.0,2.0,2.0,0.4,0.4,0.2,6.0,0.0,27.0,40.0,67.5,3.0,49.0,10.0,4.0,5.0,575.0,144.0,7.0,10.0,70.0,15.0,18.0,83.3,4.0,10.0,40.0,3.0,3.0,3.0,1.0,38.0,2.0,0.0,0.0,13.0,6.0,4.0,2.0,2.0,0.0,0.0,24.0,3.0,13.0,34.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,44.4,2.0,7.0,9.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,5.0,21.0,33.0,7.0,53.0,80.0,4.0,0.0,321.0,177.0,3.0,1.0,0.0,4.0,49.0,39.0,79.6,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
8,Marvelous Nakamba,11.0,zw ZIM,DM,25-273,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,32.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,32.0,34.0,94.1,1.0,30.0,5.0,0.0,0.0,565.0,107.0,15.0,16.0,93.8,15.0,16.0,93.8,2.0,2.0,100.0,1.0,2.0,0.0,0.0,32.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,1.0,26.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,13.0,40.6,8.0,22.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,7.0,29.0,11.0,0.0,42.0,0.0,0.0,0.0,154.0,66.0,2.0,0.0,0.0,0.0,26.0,25.0,96.2,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
9,Matt Targett,18.0,eng ENG,LB,24-031,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,77.0,16.0,2.0,1.0,5.0,0.3,0.3,0.1,5.0,0.0,54.0,65.0,83.1,5.0,44.0,8.0,0.0,0.0,848.0,297.0,31.0,36.0,86.1,22.0,25.0,88.0,1.0,3.0,33.3,2.0,5.0,0.0,0.0,59.0,6.0,2.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,46.0,12.0,7.0,46.0,10.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,25.0,11.0,4.0,1.0,1.0,0.0,4.0,3.0,2.0,0.0,9.0,22.0,35.0,27.0,2.0,70.0,0.0,0.0,0.0,263.0,167.0,5.0,0.0,0.0,0.0,49.0,46.0,93.9,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,100.0
