,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Duván Zapata,91.0,co COL,FW,29-098,85.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,32.0,7.0,0.0,0.0,1.0,0.3,0.3,0.0,2.0,0.0,15.0,19.0,78.9,1.0,18.0,1.0,0.0,1.0,309.0,46.0,7.0,8.0,87.5,4.0,5.0,80.0,3.0,3.0,100.0,1.0,4.0,0.0,0.0,18.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,3.0,2.0,13.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,17.0,4.0,31.0,0.0,1.0,0.0,112.0,28.0,0.0,1.0,5.0,0.0,51.0,28.0,54.9,14.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,25.0
1,Bosko Sutalo,4.0,hr CRO,LB,20-189,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,6.0,0.0,0.0,0.0,121.0,70.0,4.0,4.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,9.0,0.0,0.0,0.0,27.0,5.0,0.0,0.0,0.0,2.0,5.0,5.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
2,Josip Iličić,72.0,si SVN,"FW,RW",32-161,68.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,4.0,0.0,24.0,30.0,80.0,2.0,31.0,10.0,2.0,2.0,409.0,74.0,13.0,14.0,92.9,8.0,9.0,88.9,3.0,5.0,60.0,2.0,1.0,1.0,0.0,26.0,4.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,26.0,3.0,1.0,24.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,26.0,5.0,34.0,100.0,2.0,0.0,186.0,113.0,5.0,2.0,0.0,3.0,39.0,30.0,76.9,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
3,Ruslan Malinovskyi,18.0,ua UKR,AM,27-065,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,4.0,0.0,0.0,1.0,0.0,0.0,0.2,1.0,1.0,14.0,18.0,77.8,2.0,16.0,1.0,1.0,2.0,294.0,79.0,4.0,4.0,100.0,7.0,8.0,87.5,3.0,5.0,60.0,1.0,1.0,0.0,0.0,16.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,13.0,2.0,3.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,14.0,8.0,0.0,23.0,50.0,1.0,0.0,83.0,27.0,1.0,0.0,1.0,2.0,18.0,17.0,94.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
4,Papu Gómez,10.0,ar ARG,"AM,LW",32-144,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,2.0,0.0,1.0,2.0,0.0,0.0,0.6,6.0,0.0,51.0,65.0,78.5,8.0,63.0,15.0,5.0,6.0,1126.0,398.0,19.0,22.0,86.4,19.0,25.0,76.0,13.0,16.0,81.3,5.0,8.0,4.0,1.0,57.0,8.0,5.0,3.0,9.0,5.0,4.0,2.0,0.0,1.0,1.0,39.0,9.0,17.0,20.0,42.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,49.0,31.0,4.0,70.0,83.3,5.0,0.0,419.0,249.0,5.0,2.0,3.0,4.0,65.0,62.0,95.4,5.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
5,Mario Pašalić,88.0,hr CRO,DM,25-150,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,7.0,0.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,50.0,52.0,96.2,5.0,40.0,3.0,0.0,0.0,1027.0,172.0,17.0,18.0,94.4,24.0,25.0,96.0,9.0,9.0,100.0,2.0,7.0,1.0,0.0,51.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,6.0,19.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,42.9,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,8.0,40.0,15.0,3.0,56.0,0.0,0.0,0.0,239.0,97.0,1.0,0.0,1.0,1.0,50.0,47.0,94.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,60.0
6,Luis Muriel,9.0,co COL,RW,29-083,21.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,75.0,1.0,15.0,2.0,2.0,4.0,191.0,22.0,8.0,10.0,80.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,1.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,1.0,21.0,50.0,2.0,0.0,49.0,20.0,0.0,0.0,0.0,0.0,17.0,15.0,88.2,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
7,Remo Freuler,11.0,ch SUI,"DM,CM",28-084,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,18.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,64.0,77.0,83.1,2.0,66.0,7.0,1.0,3.0,1164.0,238.0,21.0,24.0,87.5,36.0,43.0,83.7,5.0,7.0,71.4,0.0,4.0,1.0,1.0,72.0,5.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,60.0,6.0,11.0,13.0,61.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,9.0,50.0,3.0,10.0,5.0,0.0,0.0,4.0,3.0,2.0,0.0,3.0,17.0,50.0,25.0,2.0,85.0,33.3,1.0,0.0,315.0,160.0,1.0,0.0,3.0,0.0,60.0,60.0,100.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,0.0
8,Robin Gosens,8.0,de GER,"WB,LB",26-003,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,12.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0,41.0,85.4,5.0,28.0,5.0,1.0,2.0,622.0,289.0,17.0,17.0,100.0,14.0,17.0,82.4,3.0,5.0,60.0,0.0,5.0,1.0,0.0,35.0,6.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,13.0,32.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,25.0,5.0,6.0,1.0,1.0,0.0,3.0,2.0,5.0,0.0,3.0,16.0,24.0,19.0,1.0,53.0,50.0,1.0,0.0,96.0,64.0,0.0,0.0,3.0,1.0,37.0,34.0,91.9,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,66.7
9,Timothy Castagne,21.0,be BEL,FW,24-216,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,1.0,6.0,1.0,0.0,1.0,77.0,34.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,8.0,0.0,0.0,0.0,29.0,16.0,0.0,1.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
