,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Raúl García,22.0,es ESP,"FW,AM",33-192,90.0,1.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,33.0,22.0,3.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,10.0,21.0,47.6,0.0,10.0,3.0,0.0,1.0,126.0,4.0,7.0,11.0,63.6,3.0,5.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,10.0,1.0,10.0,6.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,45.5,0.0,10.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,13.0,22.0,11.0,32.0,0.0,0.0,0.0,63.0,28.0,2.0,1.0,1.0,1.0,42.0,22.0,52.4,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,6.0,4.0,5.0,44.4
1,Ibai Gómez,19.0,es ESP,LW,30-069,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,5.0,0.0,0.0,1.0,0.1,0.1,0.2,6.0,0.0,26.0,38.0,68.4,2.0,20.0,5.0,1.0,1.0,506.0,231.0,8.0,9.0,88.9,10.0,11.0,90.9,6.0,15.0,40.0,3.0,2.0,1.0,1.0,24.0,14.0,3.0,1.0,3.0,3.0,3.0,11.0,6.0,0.0,4.0,20.0,3.0,15.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,32.0,2.0,30.0,100.0,1.0,0.0,177.0,109.0,2.0,0.0,0.0,3.0,30.0,25.0,83.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2,Asier Villalibre,25.0,es ESP,FW,22-111,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,1.0,45.0,0.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,8.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,1.0,12.0,7.0,58.3,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
3,Iñaki Williams,9.0,es ESP,RW,25-218,81.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,11.0,2.0,0.0,1.0,0.2,0.2,0.1,5.0,0.0,19.0,27.0,70.4,2.0,34.0,9.0,2.0,3.0,258.0,53.0,11.0,13.0,84.6,8.0,13.0,61.5,0.0,1.0,0.0,1.0,0.0,2.0,1.0,26.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,23.0,3.0,1.0,2.0,24.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,36.4,0.0,5.0,6.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,15.0,27.0,5.0,41.0,66.7,2.0,0.0,280.0,178.0,2.0,2.0,4.0,3.0,43.0,35.0,81.4,15.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
4,Iñigo Lekue,15.0,es ESP,RW,26-260,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,13.0,76.9,0.0,10.0,2.0,0.0,2.0,173.0,54.0,5.0,5.0,100.0,4.0,5.0,80.0,1.0,3.0,33.3,1.0,0.0,1.0,1.0,11.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,66.7,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,12.0,0.0,14.0,0.0,0.0,0.0,100.0,83.0,2.0,0.0,0.0,0.0,11.0,11.0,100.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,Iker Muniain,10.0,es ESP,"AM,LW",27-031,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,72.0,16.0,0.0,0.0,1.0,0.9,0.9,0.5,5.0,0.0,53.0,59.0,89.8,6.0,51.0,6.0,1.0,2.0,908.0,196.0,28.0,29.0,96.6,19.0,24.0,79.2,6.0,6.0,100.0,3.0,5.0,2.0,0.0,55.0,4.0,0.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,49.0,7.0,3.0,6.0,51.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,12.5,0.0,10.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,35.0,37.0,9.0,68.0,50.0,1.0,0.0,223.0,91.0,2.0,2.0,2.0,4.0,70.0,57.0,81.4,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0
6,Unai López,8.0,es ESP,CM,24-081,90.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,111.0,14.0,2.0,0.0,0.0,0.1,0.1,0.3,7.0,1.0,94.0,106.0,88.7,11.0,77.0,7.0,0.0,0.0,2026.0,440.0,27.0,29.0,93.1,44.0,47.0,93.6,20.0,26.0,76.9,4.0,8.0,4.0,1.0,100.0,6.0,4.0,1.0,13.0,5.0,5.0,2.0,1.0,0.0,1.0,74.0,12.0,20.0,4.0,97.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,21.4,5.0,8.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,15.0,73.0,33.0,1.0,105.0,0.0,0.0,0.0,531.0,299.0,2.0,0.0,0.0,0.0,89.0,87.0,97.8,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,1.0,75.0
7,Dani García,14.0,es ESP,CM,29-240,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,17.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,53.0,61.0,86.9,3.0,45.0,2.0,0.0,0.0,1179.0,194.0,19.0,22.0,86.4,20.0,22.0,90.9,12.0,14.0,85.7,1.0,4.0,0.0,0.0,60.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,39.0,12.0,10.0,6.0,47.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,100.0,0.0,7.0,41.2,3.0,8.0,6.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,10.0,57.0,6.0,1.0,70.0,0.0,0.0,0.0,114.0,57.0,0.0,0.0,0.0,2.0,48.0,47.0,97.9,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,2.0,33.3
8,Yuri Berchiche,17.0,es ESP,LB,29-343,90.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,75.0,16.0,1.0,0.0,4.0,0.0,0.0,0.1,2.0,0.0,52.0,62.0,83.9,9.0,50.0,7.0,3.0,4.0,1008.0,426.0,23.0,26.0,88.5,23.0,25.0,92.0,5.0,6.0,83.3,2.0,4.0,2.0,1.0,52.0,10.0,1.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,41.0,17.0,4.0,44.0,9.0,0.0,9.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,3.0,5.0,8.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,10.0,37.0,34.0,6.0,65.0,75.0,3.0,0.0,253.0,142.0,4.0,1.0,2.0,3.0,58.0,51.0,87.9,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
9,Iñigo Martínez,4.0,es ESP,CB,28-247,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,70.0,7.0,2.0,0.0,2.0,0.1,0.1,0.6,2.0,1.0,49.0,60.0,81.7,8.0,44.0,11.0,1.0,3.0,1269.0,404.0,11.0,12.0,91.7,23.0,27.0,85.2,15.0,21.0,71.4,1.0,7.0,1.0,0.0,59.0,1.0,1.0,1.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,33.0,10.0,17.0,36.0,14.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,3.0,42.9,2.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,21.0,45.0,16.0,3.0,69.0,33.3,1.0,0.0,421.0,280.0,6.0,0.0,0.0,1.0,47.0,45.0,95.7,7.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,19.0,6.0,0.0,100.0
