,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Enric Gallego,11.0,es ESP,FW,33-157,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,30.0,27.0,1.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,10.0,18.0,55.6,0.0,12.0,2.0,1.0,1.0,150.0,13.0,6.0,9.0,66.7,3.0,5.0,60.0,1.0,4.0,25.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,6.0,9.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,7.0,25.9,4.0,12.0,11.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,4.0,21.0,7.0,1.0,30.0,100.0,1.0,0.0,39.0,18.0,1.0,0.0,5.0,0.0,57.0,21.0,36.8,6.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,9.0,35.7
1,Adrián López,22.0,es ESP,FW,32-039,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,24.0,62.5,2.0,19.0,2.0,4.0,5.0,206.0,67.0,11.0,18.0,61.1,3.0,5.0,60.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,22.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,6.0,2.0,14.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,16.7,2.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,18.0,11.0,1.0,30.0,80.0,4.0,0.0,47.0,32.0,0.0,0.0,3.0,1.0,39.0,23.0,59.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,4.0,55.6
2,Roberto Torres,10.0,es ESP,DM,30-346,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,100.0,0.0,2.0,0.0,0.0,1.0,104.0,43.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Iñigo Pérez,21.0,es ESP,"CM,AM",32-029,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,35.0,77.1,4.0,22.0,2.0,0.0,0.0,482.0,225.0,12.0,14.0,85.7,12.0,13.0,92.3,3.0,8.0,37.5,0.0,6.0,0.0,0.0,30.0,5.0,5.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,17.0,4.0,14.0,30.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,33.3,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,28.0,7.0,0.0,37.0,0.0,0.0,0.0,92.0,25.0,0.0,0.0,3.0,0.0,33.0,30.0,90.9,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
4,Darko Brašanac,20.0,rs SRB,"CM,AM",28-004,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,27.0,26.0,4.0,1.0,0.0,0.1,0.1,0.0,2.0,1.0,10.0,20.0,50.0,1.0,10.0,2.0,0.0,0.0,177.0,80.0,4.0,7.0,57.1,5.0,8.0,62.5,1.0,3.0,33.3,0.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,6.0,0.0,14.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,3.0,0.0,1.0,2.0,50.0,1.0,7.0,26.9,7.0,13.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,8.0,14.0,5.0,1.0,27.0,0.0,0.0,0.0,74.0,42.0,0.0,0.0,0.0,0.0,22.0,13.0,59.1,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,33.3
5,Oier Sanjurjo,6.0,es ESP,DM,33-267,89.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,32.0,34.0,2.0,0.0,0.0,0.2,0.2,0.1,3.0,0.0,16.0,25.0,64.0,0.0,12.0,3.0,0.0,1.0,309.0,81.0,6.0,7.0,85.7,6.0,12.0,50.0,3.0,4.0,75.0,2.0,1.0,0.0,0.0,24.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,8.0,6.0,2.0,18.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,20.6,9.0,25.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0,22.0,4.0,1.0,31.0,0.0,0.0,0.0,66.0,39.0,0.0,0.0,1.0,0.0,10.0,10.0,100.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,16.0,2.0,3.0,40.0
6,Fran Mérida,8.0,es ESP,DM,29-349,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,14.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,Pervis Estupiñán,30.0,ec ECU,WB,22-026,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,17.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,37.0,70.3,1.0,30.0,6.0,3.0,6.0,444.0,164.0,17.0,18.0,94.4,5.0,8.0,62.5,4.0,8.0,50.0,0.0,2.0,1.0,1.0,26.0,11.0,0.0,0.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,13.0,14.0,10.0,21.0,3.0,2.0,11.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,33.3,2.0,4.0,23.5,8.0,6.0,3.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,12.0,24.0,15.0,1.0,41.0,50.0,3.0,0.0,126.0,78.0,0.0,0.0,1.0,1.0,28.0,22.0,78.6,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,25.0
8,Nacho Vidal,2.0,es ESP,WB,25-023,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,19.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,25.0,56.0,2.0,17.0,1.0,0.0,0.0,259.0,161.0,6.0,8.0,75.0,7.0,8.0,87.5,1.0,6.0,16.7,0.0,1.0,0.0,0.0,22.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,6.0,10.0,0.0,20.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,4.0,50.0,2.0,4.0,21.1,7.0,6.0,6.0,1.0,0.0,3.0,3.0,2.0,0.0,5.0,15.0,10.0,12.0,1.0,34.0,0.0,0.0,0.0,82.0,41.0,0.0,0.0,1.0,0.0,25.0,21.0,84.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
9,David García,5.0,es ESP,CB,26-002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,0.0,0.0,0.0,77.0,49.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,Facundo Roncaglia,12.0,ar ARG,"CB,WB",33-006,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,84.0,0.0,17.0,0.0,0.0,0.0,460.0,192.0,5.0,5.0,100.0,12.0,12.0,100.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,7.0,6.0,16.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,4.0,4.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,9.0,26.0,16.0,0.0,0.0,40.0,0.0,0.0,0.0,152.0,26.0,0.0,0.0,0.0,0.0,14.0,13.0,92.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,4.0,20.0
