,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Benito Raman,9.0,be BEL,FW,24-361,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,18.0,66.7,2.0,25.0,3.0,1.0,3.0,236.0,56.0,3.0,6.0,50.0,8.0,9.0,88.9,1.0,2.0,50.0,2.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,3.0,1.0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,11.0,14.0,2.0,26.0,33.3,1.0,1.0,211.0,106.0,2.0,1.0,3.0,1.0,30.0,21.0,70.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
1,Alessandro Schöpf,28.0,at AUT,FW,25-269,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,4.0,0.0,0.0,0.0,35.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2,Mark Uth,7.0,de GER,FW,28-071,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,21.0,76.2,1.0,17.0,2.0,0.0,2.0,260.0,44.0,11.0,13.0,84.6,2.0,4.0,50.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,4.0,2.0,16.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,10.0,2.0,26.0,0.0,0.0,0.0,95.0,32.0,1.0,0.0,1.0,1.0,43.0,23.0,53.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.3
3,Guido Burgstaller,19.0,at AUT,FW,30-188,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,Amine Harit,25.0,ma MAR,AM,22-138,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,11.0,2.0,0.0,0.0,0.3,0.3,0.0,1.0,1.0,33.0,42.0,78.6,4.0,41.0,7.0,2.0,2.0,658.0,126.0,14.0,17.0,82.4,16.0,21.0,76.2,3.0,3.0,100.0,0.0,4.0,0.0,0.0,39.0,3.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,4.0,1.0,39.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,50.0,1.0,7.0,63.6,2.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,32.0,22.0,3.0,51.0,100.0,2.0,0.0,244.0,147.0,4.0,1.0,2.0,5.0,53.0,40.0,75.5,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
5,Suat Serdar,8.0,de GER,CM,22-206,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,42.0,20.0,2.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,24.0,32.0,75.0,1.0,29.0,5.0,1.0,1.0,530.0,69.0,7.0,11.0,63.6,15.0,17.0,88.2,2.0,3.0,66.7,0.0,3.0,0.0,0.0,32.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,7.0,5.0,25.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,25.0,3.0,6.0,30.0,6.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,8.0,30.0,6.0,1.0,42.0,100.0,1.0,0.0,178.0,56.0,1.0,0.0,2.0,0.0,31.0,27.0,87.1,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,40.0
6,Weston McKennie,2.0,us USA,"CB,CM",21-067,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,82.0,89.0,92.1,6.0,68.0,4.0,0.0,1.0,1809.0,550.0,25.0,25.0,100.0,37.0,41.0,90.2,20.0,23.0,87.0,0.0,4.0,0.0,0.0,83.0,6.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,71.0,4.0,14.0,19.0,61.0,4.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0,8.0,0.0,11.0,55.0,52.0,2.0,1.0,95.0,0.0,1.0,0.0,427.0,270.0,0.0,0.0,1.0,0.0,73.0,71.0,97.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
7,Omar Mascarell,6.0,es ESP,DM,26-274,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89.0,14.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,0.0,71.0,79.0,89.9,5.0,55.0,2.0,0.0,0.0,1758.0,379.0,13.0,17.0,76.5,37.0,39.0,94.9,21.0,23.0,91.3,1.0,6.0,1.0,0.0,79.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,20.0,15.0,54.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,33.3,2.0,5.0,35.7,7.0,6.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,28.0,58.0,7.0,0.0,89.0,0.0,0.0,0.0,285.0,117.0,0.0,0.0,0.0,1.0,63.0,62.0,98.4,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,100.0
8,Bastian Oczipka,24.0,de GER,LB,30-295,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,48.0,61.0,78.7,6.0,44.0,9.0,2.0,4.0,860.0,223.0,25.0,28.0,89.3,18.0,23.0,78.3,5.0,10.0,50.0,1.0,2.0,1.0,0.0,48.0,13.0,3.0,0.0,7.0,4.0,1.0,2.0,0.0,2.0,0.0,41.0,2.0,18.0,44.0,9.0,0.0,8.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,4.0,50.0,2.0,4.0,33.3,8.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,14.0,42.0,25.0,2.0,60.0,50.0,2.0,0.0,373.0,254.0,5.0,1.0,1.0,0.0,50.0,47.0,94.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0
9,Salif Sané,26.0,sn SEN,CB,29-070,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Daniel Caligiuri,18.0,it ITA,CM,31-292,82.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,54.0,19.0,1.0,0.0,0.0,0.0,0.0,0.1,5.0,2.0,33.0,44.0,75.0,3.0,26.0,3.0,0.0,1.0,619.0,179.0,16.0,17.0,94.1,12.0,17.0,70.6,5.0,8.0,62.5,2.0,2.0,2.0,0.0,35.0,9.0,4.0,0.0,6.0,1.0,1.0,4.0,0.0,4.0,0.0,26.0,4.0,14.0,3.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,20.0,4.0,5.0,26.3,8.0,8.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,28.0,22.0,1.0,48.0,0.0,0.0,0.0,113.0,37.0,2.0,0.0,1.0,3.0,44.0,35.0,79.5,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,50.0
