,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Erling Haaland,17.0,no NOR,FW,19-202,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,39.0,11.0,0.0,1.0,2.0,0.2,0.2,0.0,0.0,0.0,19.0,26.0,73.1,0.0,20.0,0.0,1.0,4.0,266.0,35.0,12.0,14.0,85.7,5.0,9.0,55.6,1.0,1.0,100.0,0.0,2.0,0.0,0.0,20.0,6.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,5.0,5.0,14.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,0.0,3.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,22.0,8.0,33.0,25.0,2.0,1.0,46.0,11.0,0.0,0.0,3.0,1.0,43.0,25.0,58.1,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,4.0,63.6
1,Jadon Sancho,7.0,eng ENG,LW,19-320,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,14.0,1.0,1.0,1.0,0.0,0.0,0.4,7.0,1.0,38.0,49.0,77.6,6.0,44.0,6.0,1.0,3.0,628.0,236.0,23.0,27.0,85.2,8.0,11.0,72.7,6.0,9.0,66.7,6.0,1.0,5.0,1.0,42.0,7.0,1.0,1.0,13.0,4.0,1.0,5.0,4.0,1.0,0.0,36.0,6.0,7.0,4.0,43.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,8.0,57.1,2.0,5.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,33.0,30.0,4.0,57.0,33.3,1.0,0.0,255.0,167.0,2.0,2.0,4.0,3.0,72.0,49.0,68.1,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
2,Achraf Hakimi,5.0,ma MAR,"RW,RB",21-096,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,28.0,3.0,1.0,1.0,0.0,0.0,0.2,3.0,2.0,32.0,37.0,86.5,4.0,36.0,5.0,1.0,2.0,394.0,129.0,22.0,24.0,91.7,10.0,13.0,76.9,0.0,0.0,0.0,1.0,2.0,2.0,0.0,37.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,1.0,4.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0,66.7,1.0,8.0,28.6,8.0,10.0,10.0,0.0,0.0,1.0,4.0,1.0,0.0,2.0,10.0,26.0,18.0,1.0,53.0,50.0,1.0,0.0,107.0,57.0,0.0,0.0,1.0,7.0,50.0,43.0,86.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0
3,Julian Brandt,19.0,de GER,AM,23-282,44.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,21.0,66.7,2.0,18.0,3.0,1.0,1.0,212.0,88.0,9.0,12.0,75.0,3.0,4.0,75.0,2.0,5.0,40.0,0.0,1.0,1.0,0.0,20.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,4.0,3.0,6.0,15.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,13.0,12.0,3.0,26.0,100.0,1.0,0.0,79.0,45.0,1.0,1.0,1.0,2.0,31.0,21.0,67.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4,Gio Reyna,32.0,us USA,AM,17-087,46.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,42.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,21.0,26.0,80.8,3.0,24.0,4.0,1.0,1.0,312.0,83.0,17.0,21.0,81.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,4.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,16.7,1.0,8.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,5.0,22.0,17.0,3.0,42.0,100.0,1.0,0.0,115.0,72.0,1.0,1.0,3.0,2.0,33.0,27.0,81.8,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
5,Emre Can,27.0,de GER,DM,26-027,86.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,55.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,38.0,47.0,80.9,2.0,33.0,2.0,1.0,3.0,790.0,170.0,15.0,18.0,83.3,17.0,18.0,94.4,6.0,9.0,66.7,0.0,4.0,0.0,0.0,46.0,1.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,29.0,8.0,10.0,8.0,34.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,3.0,18.8,5.0,6.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,11.0,33.0,16.0,1.0,54.0,33.3,2.0,0.0,183.0,44.0,0.0,0.0,1.0,1.0,42.0,36.0,85.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,50.0
6,Mario Götze,10.0,de GER,DM,27-250,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,37.5,1.0,4.0,0.0,0.0,0.0,73.0,49.0,1.0,3.0,33.3,1.0,2.0,50.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Axel Witsel,28.0,be BEL,DM,31-027,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,17.0,0.0,1.0,2.0,0.1,0.1,0.0,1.0,1.0,43.0,49.0,87.8,2.0,38.0,3.0,1.0,1.0,802.0,129.0,20.0,24.0,83.3,19.0,20.0,95.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,46.0,3.0,3.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,6.0,5.0,4.0,41.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.4,1.0,15.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,15.0,38.0,7.0,2.0,55.0,100.0,1.0,0.0,151.0,51.0,0.0,0.0,0.0,2.0,45.0,41.0,91.1,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
8,Raphaël Guerreiro,13.0,pt POR,LB,26-048,90.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,90.0,23.0,9.0,0.0,3.0,0.2,0.2,0.0,1.0,0.0,60.0,74.0,81.1,2.0,49.0,7.0,3.0,5.0,1002.0,413.0,36.0,44.0,81.8,16.0,20.0,80.0,8.0,9.0,88.9,0.0,6.0,0.0,0.0,60.0,14.0,2.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,19.0,12.0,55.0,5.0,1.0,12.0,0.0,0.0,0.0,4.0,4.0,7.0,3.0,5.0,1.0,5.0,7.0,71.4,2.0,12.0,52.2,7.0,13.0,3.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,28.0,56.0,12.0,2.0,78.0,60.0,4.0,3.0,242.0,172.0,2.0,0.0,0.0,1.0,49.0,48.0,98.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,100.0
9,Dan-Axel Zagadou,2.0,fr FRA,CB,20-250,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,54.0,88.9,2.0,45.0,1.0,0.0,0.0,1208.0,340.0,7.0,10.0,70.0,27.0,28.0,96.4,14.0,16.0,87.5,0.0,4.0,0.0,0.0,52.0,2.0,2.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,5.0,44.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,45.5,2.0,9.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,9.0,36.0,29.0,0.0,0.0,60.0,0.0,0.0,0.0,195.0,69.0,0.0,0.0,0.0,0.0,46.0,46.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,20.0
