,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Kevin Volland,31.0,de GER,FW,27-123,90.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,56.0,1.0,1.0,2.0,0.1,0.1,0.3,5.0,3.0,13.0,19.0,68.4,3.0,18.0,2.0,1.0,2.0,230.0,73.0,6.0,9.0,66.7,6.0,8.0,75.0,1.0,1.0,100.0,2.0,2.0,0.0,0.0,17.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,2.0,9.0,8.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,11.0,19.6,1.0,39.0,16.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,21.0,7.0,2.0,28.0,50.0,1.0,0.0,56.0,23.0,0.0,0.0,1.0,3.0,47.0,19.0,40.4,7.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,5.0,1.0,4.0,20.0
1,Leon Bailey,9.0,jm JAM,LW,22-113,62.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,32.0,27.0,1.0,1.0,1.0,0.3,0.3,0.0,2.0,1.0,13.0,21.0,61.9,3.0,24.0,5.0,2.0,3.0,245.0,119.0,3.0,5.0,60.0,7.0,7.0,100.0,2.0,6.0,33.3,1.0,1.0,2.0,0.0,21.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,7.0,2.0,12.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,7.0,25.9,8.0,14.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,6.0,17.0,12.0,3.0,32.0,66.7,2.0,0.0,113.0,85.0,2.0,3.0,0.0,2.0,28.0,18.0,64.3,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
2,Karim Bellarabi,38.0,de GER,RW,29-236,28.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,18.0,1.0,0.0,2.0,0.0,0.0,0.1,1.0,0.0,3.0,6.0,50.0,0.0,9.0,3.0,1.0,1.0,65.0,26.0,1.0,1.0,100.0,2.0,3.0,66.7,0.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,3.0,3.0,16.7,14.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,3.0,1.0,11.0,100.0,1.0,0.0,37.0,29.0,0.0,0.0,0.0,1.0,10.0,5.0,50.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Moussa Diaby,19.0,fr FRA,"RW,LW,LB",20-146,90.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,35.0,36.0,1.0,1.0,3.0,0.5,0.5,0.4,4.0,0.0,11.0,19.0,57.9,1.0,35.0,8.0,7.0,8.0,154.0,43.0,4.0,4.0,100.0,5.0,9.0,55.6,0.0,2.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,4.0,2.0,10.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,9.0,25.0,3.0,24.0,9.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,6.0,25.0,16.0,2.0,35.0,87.5,7.0,0.0,329.0,255.0,7.0,2.0,3.0,3.0,35.0,24.0,68.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
4,Nadiem Amiri,11.0,de GER,AM,23-034,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,32.0,0.0,1.0,1.0,0.4,0.4,0.4,3.0,0.0,20.0,29.0,69.0,6.0,25.0,4.0,1.0,3.0,347.0,172.0,12.0,12.0,100.0,6.0,8.0,75.0,2.0,9.0,22.2,2.0,3.0,0.0,0.0,26.0,3.0,0.0,1.0,9.0,1.0,0.0,2.0,1.0,1.0,0.0,18.0,7.0,4.0,6.0,22.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.8,9.0,19.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,22.0,6.0,2.0,33.0,33.3,1.0,0.0,105.0,43.0,0.0,1.0,0.0,2.0,30.0,21.0,70.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
5,Julian Baumgartlinger,15.0,at AUT,CM,31-332,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,47.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,22.0,26.0,84.6,1.0,15.0,1.0,1.0,1.0,356.0,118.0,13.0,14.0,92.9,7.0,9.0,77.8,1.0,2.0,50.0,0.0,1.0,0.0,0.0,24.0,2.0,2.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,2.0,4.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,15.0,31.9,24.0,21.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,18.0,14.0,3.0,0.0,30.0,100.0,1.0,0.0,68.0,33.0,2.0,0.0,2.0,0.0,17.0,15.0,88.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
6,Charles Aránguiz,20.0,cl CHI,CM,30-227,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,39.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,79.2,2.0,21.0,2.0,1.0,1.0,272.0,124.0,9.0,9.0,100.0,8.0,10.0,80.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,7.0,1.0,5.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,50.0,2.0,9.0,23.1,18.0,19.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,19.0,16.0,1.0,1.0,32.0,100.0,1.0,0.0,167.0,85.0,0.0,0.0,0.0,0.0,18.0,13.0,72.2,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
7,Kerem Demirbay,10.0,de GER,CM,26-150,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Wendell,18.0,br BRA,LB,26-133,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,15.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,20.0,65.0,1.0,14.0,0.0,0.0,1.0,251.0,96.0,7.0,9.0,77.8,3.0,3.0,100.0,3.0,8.0,37.5,0.0,2.0,0.0,0.0,14.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,14.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,2.0,0.0,3.0,3.0,100.0,0.0,4.0,26.7,8.0,7.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,6.0,20.0,14.0,1.0,0.0,28.0,0.0,0.0,0.0,84.0,14.0,0.0,0.0,0.0,0.0,9.0,9.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
9,Daley Sinkgraven,22.0,nl NED,"LB,CB",24-149,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,3.0,0.0,0.0,0.0,110.0,60.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,7.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,5.0,9.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
